"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","expression_cluster","n_cluster_genes","pathway_theme","pathway_scope"
"ko04350","TGF-beta signaling pathway","3/194","7/698",0.428571428571429,1.5419734904271,0.893490679514936,0.302987225712286,1,1,"LOC126297745/LOC126297744/LOC126278442",3,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Cellular process","Eukaryote/metazoan-compatible"
"ko04514","Cell adhesion molecule (CAM) interaction","3/194","7/698",0.428571428571429,1.5419734904271,0.893490679514936,0.302987225712286,1,1,"LOC126336044/LOC126365371/LOC126336045",3,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Cellular process","Eukaryote/metazoan-compatible"
"ko04924","Renin secretion","3/194","7/698",0.428571428571429,1.5419734904271,0.893490679514936,0.302987225712286,1,1,"LOC126284222/LOC126353858/LOC126281618",3,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko05020","Prion disease","3/194","7/698",0.428571428571429,1.5419734904271,0.893490679514936,0.302987225712286,1,1,"LOC126267772/LOC126354439/LOC126267773",3,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Reference disease pathway","Reference disease pathway"
"ko00260","Glycine, serine and threonine metabolism","5/194","14/698",0.357142857142857,1.28497790868925,0.667804202649794,0.343460347909789,1,1,"LOC126349907/LOC126295405/LOC126334613/LOC126266840/LOC126335010",5,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko04015","Rap1 signaling pathway","5/194","14/698",0.357142857142857,1.28497790868925,0.667804202649794,0.343460347909789,1,1,"LOC126353858/LOC126266679/LOC126298972/LOC126355582/LOC126335781",5,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04925","Aldosterone synthesis and secretion","5/194","14/698",0.357142857142857,1.28497790868925,0.667804202649794,0.343460347909789,1,1,"LOC126284222/LOC126278432/LOC126353858/LOC126335781/LOC126266590",5,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko01120","Microbial metabolism in diverse environments","14/194","45/698",0.311111111111111,1.11935853379152,0.513221837557487,0.359130285246542,1,1,"LOC126349907/LOC126295405/LOC126334613/LOC126356044/LOC126298400/LOC126334596/LOC126298632/LOC126274964/LOC126266840/LOC126272511/LOC126335242/LOC126278052/LOC126278953/LOC126284404",14,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Detoxification and secondary metabolism","Broad KEGG reference map"
"ko01110","Biosynthesis of secondary metabolites","28/194","94/698",0.297872340425532,1.07172625575784,0.463474242956442,0.362532507151138,1,1,"LOC126334613/LOC126284341/LOC126324953/LOC126298774/LOC126298400/LOC126272928/LOC126336627/LOC126341660/LOC126334596/LOC126335171/LOC126276148/LOC126282460/LOC126298632/LOC126274964/LOC126266840/LOC126352958/LOC126356050/LOC126281265/LOC126282346/LOC126312349/LOC126268198/LOC126335242/LOC126278052/LOC126335010/LOC126278953/LOC126285116/LOC126354610/LOC126284404",28,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Detoxification and secondary metabolism","Broad KEGG reference map"
"ko04911","Insulin secretion","4/194","11/698",0.363636363636364,1.30834114339269,0.639074425617465,0.365469099247382,1,1,"LOC126298918/LOC126268161/LOC126335781/LOC126298156",4,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04013","MAPK signaling pathway - fly","3/194","8/698",0.375,1.34922680412371,0.61592807946325,0.391913570066834,1,1,"LOC126335350/LOC126278442/LOC126281928",3,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04611","Platelet activation","3/194","8/698",0.375,1.34922680412371,0.61592807946325,0.391913570066834,1,1,"LOC126284222/LOC126335781/LOC126281618",3,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04912","GnRH signaling pathway","3/194","8/698",0.375,1.34922680412371,0.61592807946325,0.391913570066834,1,1,"LOC126353858/LOC126335781/LOC126282477",3,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04921","Oxytocin signaling pathway","3/194","8/698",0.375,1.34922680412371,0.61592807946325,0.391913570066834,1,1,"LOC126353858/LOC126335781/LOC126281618",3,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04931","Insulin resistance","3/194","8/698",0.375,1.34922680412371,0.61592807946325,0.391913570066834,1,1,"LOC126268161/LOC126279109/LOC126278052",3,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04974","Protein digestion and absorption","5/194","15/698",0.333333333333333,1.19931271477663,0.483807134081809,0.408043771892091,1,1,"LOC126272864/LOC126299360/LOC126273001/LOC126272513/LOC126273243",5,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko05200","Pathways in cancer","13/194","43/698",0.302325581395349,1.08774874130904,0.368261619851472,0.415024193757544,1,1,"LOC126267772/LOC126353858/LOC126359421/LOC126266679/LOC126268161/LOC126281404/LOC126267711/LOC126297745/LOC126335781/LOC126281729/LOC126297744/LOC126267773/LOC126278442",13,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Reference disease pathway","Reference disease pathway"
"ko00531","Glycosaminoglycan degradation","2/194","5/698",0.4,1.43917525773196,0.611023952940883,0.426127275292609,1,1,"LOC126284570/LOC126298123",2,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Other KEGG pathway","Core metabolism or cross-domain"
"ko00720","Other carbon fixation pathways","2/194","5/698",0.4,1.43917525773196,0.611023952940883,0.426127275292609,1,1,"LOC126334596/LOC126335242",2,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Carbohydrate and energy metabolism","Core metabolism or cross-domain"
