"comparison_type","comparison","gene_id","scenarios_detected","n_scenarios","directions","min_padj","max_abs_lfc"
"Diet contrasts among control","Control 83 vs 33","LOC126330066","Current outliers removed; Expanded outlier set",2,"Upregulated",0.026116673135996,7.13858362110056
"Diet contrasts among control","Control 83 vs 33","LOC126320380","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0267714499759023,7.71876333202261
"Diet contrasts among control","Control 83 vs 33","LOC126269651","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0268846655247747,5.7316675260735
"Diet contrasts among control","Control 83 vs 33","LOC126336201","Current outliers removed; Expanded outlier set",2,"Downregulated",0.0274556847615945,1.89979889022597
"Diet contrasts among control","Control 83 vs 33","LOC126297442","Current outliers removed; Expanded outlier set",2,"Downregulated",0.0315476735431616,1.60369050008308
"Diet contrasts among control","Control 83 vs 33","LOC126284087","Current outliers removed; Expanded outlier set",2,"Downregulated",0.0337597222009438,3.16237563656973
"Diet contrasts among control","Control 83 vs 33","LOC126344004","Current outliers removed; Expanded outlier set",2,"Downregulated",0.0337597222009438,1.98784262575416
"Diet contrasts among control","Control 83 vs 33","LOC126266804","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0355449895721698,4.63778561606856
"Diet contrasts among control","Control 83 vs 33","LOC126266840","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0355449895721698,3.67182355241499
"Diet contrasts among control","Control 83 vs 33","LOC126355150","Current outliers removed; Expanded outlier set",2,"Downregulated",0.0355449895721698,2.28000658871207
"Diet contrasts among control","Control 83 vs 33","LOC126324029","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0356329710844616,7.4043240151232
"Diet contrasts among control","Control 83 vs 33","LOC126304741","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0373173514902029,7.89827025047438
"Diet contrasts among control","Control 83 vs 33","LOC126323937","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0373173514902029,7.80004279572131
"Diet contrasts among control","Control 83 vs 33","LOC126326071","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0373173514902029,6.82966307350716
"Diet contrasts among control","Control 83 vs 33","LOC126278130","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0375827389662234,7.60353999316947
"Diet contrasts among control","Control 83 vs 33","LOC126278407","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0395948194040759,6.83178100273273
"Diet contrasts among control","Control 83 vs 33","LOC126266848","Current outliers removed; Expanded outlier set",2,"Downregulated",0.0399399086910523,1.09849543842327
"Diet contrasts among control","Control 83 vs 33","LOC126326591","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0410537598302059,6.65880095160048
"Diet contrasts among control","Control 83 vs 33","LOC126281974","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0435034408547938,5.42415673819638
"Diet contrasts among control","Control 83 vs 33","LOC126295292","Current outliers removed; Expanded outlier set",2,"Downregulated",0.0471141060295299,1.77424672339265
"Diet contrasts among control","Control 83 vs 33","LOC126305012","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0478047432904385,6.79990550478968
"Diet contrasts among control","Control 83 vs 33","LOC126322729","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0488659614804451,7.10548070996927
"Diet contrasts among control","Control 83 vs 33","LOC126281231","Current outliers removed; Expanded outlier set",2,"Downregulated",0.0497259821919768,1.64789703709418
"Diet contrasts among control","Control 83 vs 33","LOC126315387","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0497259821919768,8.03717642766473
"Diet contrasts among control","Control 83 vs 33","LOC126319945","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0497259821919768,7.30832212387299
"Diet contrasts among control","Control 83 vs 33","LOC126322585","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0497259821919768,6.84520159299862
"Diet contrasts among control","Control 83 vs 33","LOC126323241","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0497259821919768,6.84273564044522
"Diet contrasts among control","Control 83 vs 33","LOC126354365","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0497259821919768,1.87058681446338
"Diet contrasts among control","Control 83 vs 33","LOC126335259","All samples",1,"Downregulated",4.87218143916123e-08,21.6562056935472
