source_sheet,umbrella,subcategory,gene_id,description_workbook,description_gff,gene_biotype,seqid,sequence_class,contrast_id,contrast_label,figure_scope,positive_condition,negative_condition,baseMean,log2FoldChange,oriented_log2FC,padj,status,higher_expression_condition,original_status,original_value,show_in_figure
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126304976,puromycin-sensitive aminopeptidase-like (peptide metabolism),puromycin-sensitive aminopeptidase-like,protein_coding,NW_026061743.1,Unplaced scaffold,control_diet83_vs50,Control: diet 83 vs 50,Diet comparison among controls,Control diet 83,Control diet 50,65.47729063226971,-3.9391878031641943,-3.9391878031641943,0.3104939152003129,N.S.,Not significant,N.S.,,FALSE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126304976,puromycin-sensitive aminopeptidase-like (peptide metabolism),puromycin-sensitive aminopeptidase-like,protein_coding,NW_026061743.1,Unplaced scaffold,infected_diet33_vs50,Infected: diet 50 vs 33,Diet comparison among infected,Infected diet 50,Infected diet 33,65.47729063226971,-3.5502819672627774,3.5502819672627774,0.23862841782626068,N.S.,Not significant,N.S.,,TRUE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126304976,puromycin-sensitive aminopeptidase-like (peptide metabolism),puromycin-sensitive aminopeptidase-like,protein_coding,NW_026061743.1,Unplaced scaffold,infected_diet83_vs33,Infected: diet 83 vs 33,Diet comparison among infected,Infected diet 83,Infected diet 33,65.47729063226971,0.9658559242478656,0.9658559242478656,0.9173648813073904,N.S.,Not significant,N.S.,,TRUE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126304976,puromycin-sensitive aminopeptidase-like (peptide metabolism),puromycin-sensitive aminopeptidase-like,protein_coding,NW_026061743.1,Unplaced scaffold,infected_diet83_vs50,Infected: diet 83 vs 50,Diet comparison among infected,Infected diet 83,Infected diet 50,65.47729063226971,-2.5844260430149117,-2.5844260430149117,0.6457571046805051,N.S.,Not significant,N.S.,,TRUE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126304976,puromycin-sensitive aminopeptidase-like (peptide metabolism),puromycin-sensitive aminopeptidase-like,protein_coding,NW_026061743.1,Unplaced scaffold,infection_diet33,Diet 33: infected vs control,Within-diet infection response,Infected diet 33,Control diet 33,65.47729063226971,-3.3124860687694384,-3.3124860687694384,0.4664800280852774,N.S.,Not significant,N.S.,,TRUE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126304976,puromycin-sensitive aminopeptidase-like (peptide metabolism),puromycin-sensitive aminopeptidase-like,protein_coding,NW_026061743.1,Unplaced scaffold,infection_diet50,Diet 50: infected vs control,Within-diet infection response,Infected diet 50,Control diet 50,65.47729063226971,-2.2241126112645,-2.2241126112645,0.84385521358725,N.S.,Not significant,N.S.,,TRUE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126304976,puromycin-sensitive aminopeptidase-like (peptide metabolism),puromycin-sensitive aminopeptidase-like,protein_coding,NW_026061743.1,Unplaced scaffold,infection_diet83,Diet 83: infected vs control,Within-diet infection response,Infected diet 83,Control diet 83,65.47729063226971,-0.8693508511152166,-0.8693508511152166,1,N.S.,Not significant,N.S.,,TRUE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126316674,dipeptidyl aminopeptidase BI-like,dipeptidyl aminopeptidase BI-like,protein_coding,NW_026061985.1,Unplaced scaffold,control_diet33_vs50,Control: diet 50 vs 33,Diet comparison among controls,Control diet 50,Control diet 33,24.28347173237814,-2.463052150477317,2.463052150477317,0.4758031868730695,N.S.,Not significant,N.S.,,FALSE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126316674,dipeptidyl aminopeptidase BI-like,dipeptidyl aminopeptidase BI-like,protein_coding,NW_026061985.1,Unplaced scaffold,control_diet83_vs33,Control: diet 83 vs 33,Diet comparison among controls,Control diet 83,Control diet 33,24.28347173237814,-0.9707473014272372,-0.9707473014272372,0.996951870431623,N.S.,Not significant,N.S.,,FALSE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126316674,dipeptidyl aminopeptidase BI-like,dipeptidyl aminopeptidase BI-like,protein_coding,NW_026061985.1,Unplaced scaffold,control_diet83_vs50,Control: diet 83 vs 50,Diet comparison among controls,Control diet 83,Control diet 50,24.28347173237814,-3.4337994519045543,-3.4337994519045543,0.3104939152003129,N.S.,Not significant,N.S.,,FALSE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126316674,dipeptidyl aminopeptidase BI-like,dipeptidyl aminopeptidase BI-like,protein_coding,NW_026061985.1,Unplaced scaffold,infected_diet33_vs50,Infected: diet 50 vs 33,Diet comparison among infected,Infected diet 50,Infected diet 33,24.28347173237814,-3.0186555073479053,3.0186555073479053,0.28628615754079495,N.S.,Not significant,N.S.,,TRUE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126316674,dipeptidyl aminopeptidase BI-like,dipeptidyl aminopeptidase BI-like,protein_coding,NW_026061985.1,Unplaced scaffold,infected_diet83_vs33,Infected: diet 83 vs 33,Diet comparison among infected,Infected diet 83,Infected diet 33,24.28347173237814,1.1310669845057355,1.1310669845057355,0.899415081674059,N.S.,Not significant,N.S.,,TRUE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126316674,dipeptidyl aminopeptidase BI-like,dipeptidyl aminopeptidase BI-like,protein_coding,NW_026061985.1,Unplaced scaffold,infected_diet83_vs50,Infected: diet 83 vs 50,Diet comparison among infected,Infected diet 83,Infected diet 50,24.28347173237814,-1.8875885228421696,-1.8875885228421696,0.6693897641273989,N.S.,Not significant,N.S.,,TRUE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126316674,dipeptidyl aminopeptidase BI-like,dipeptidyl aminopeptidase BI-like,protein_coding,NW_026061985.1,Unplaced scaffold,infection_diet33,Diet 33: infected vs control,Within-diet infection response,Infected diet 33,Control diet 33,24.28347173237814,-2.12276179265782,-2.12276179265782,0.5877860051981704,N.S.,Not significant,N.S.,,TRUE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126316674,dipeptidyl aminopeptidase BI-like,dipeptidyl aminopeptidase BI-like,protein_coding,NW_026061985.1,Unplaced scaffold,infection_diet50,Diet 50: infected vs control,Within-diet infection response,Infected diet 50,Control diet 50,24.28347173237814,-1.5671584357872317,-1.5671584357872317,0.84385521358725,N.S.,Not significant,N.S.,,TRUE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126316674,dipeptidyl aminopeptidase BI-like,dipeptidyl aminopeptidase BI-like,protein_coding,NW_026061985.1,Unplaced scaffold,infection_diet83,Diet 83: infected vs control,Within-diet infection response,Infected diet 83,Control diet 83,24.28347173237814,-0.02094750672484692,-0.02094750672484692,1,N.S.,Not significant,N.S.,,TRUE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126335041,xaa-Pro aminopeptidase ApepP-like,xaa-Pro aminopeptidase ApepP-like,protein_coding,NC_064921.1,Nuclear chromosome,control_diet33_vs50,Control: diet 50 vs 33,Diet comparison among controls,Control diet 50,Control diet 33,33.56072493262642,0.874257086492364,-0.874257086492364,0.9996296793832424,N.S.,Not significant,N.S.,,FALSE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126335041,xaa-Pro aminopeptidase ApepP-like,xaa-Pro aminopeptidase ApepP-like,protein_coding,NC_064921.1,Nuclear chromosome,control_diet83_vs33,Control: diet 83 vs 33,Diet comparison among controls,Control diet 83,Control diet 33,33.56072493262642,-0.06290022927531994,-0.06290022927531994,0.9994554209506452,N.S.,Not significant,N.S.,,FALSE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126335041,xaa-Pro aminopeptidase ApepP-like,xaa-Pro aminopeptidase ApepP-like,protein_coding,NC_064921.1,Nuclear chromosome,control_diet83_vs50,Control: diet 83 vs 50,Diet comparison among controls,Control diet 83,Control diet 50,33.56072493262642,0.8113568572170441,0.8113568572170441,0.9638315844404136,N.S.,Not significant,N.S.,,FALSE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126335041,xaa-Pro aminopeptidase ApepP-like,xaa-Pro aminopeptidase ApepP-like,protein_coding,NC_064921.1,Nuclear chromosome,infected_diet33_vs50,Infected: diet 50 vs 33,Diet comparison among infected,Infected diet 50,Infected diet 33,33.56072493262642,-1.6225650986915705,1.6225650986915705,0.00747603213696006,Upregulated,Infected diet 50,N.S.,,TRUE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126335041,xaa-Pro aminopeptidase ApepP-like,xaa-Pro aminopeptidase ApepP-like,protein_coding,NC_064921.1,Nuclear chromosome,infected_diet83_vs33,Infected: diet 83 vs 33,Diet comparison among infected,Infected diet 83,Infected diet 33,33.56072493262642,0.3692848094229202,0.3692848094229202,0.8564040724154208,N.S.,Not significant,N.S.,,TRUE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126335041,xaa-Pro aminopeptidase ApepP-like,xaa-Pro aminopeptidase ApepP-like,protein_coding,NC_064921.1,Nuclear chromosome,infected_diet83_vs50,Infected: diet 83 vs 50,Diet comparison among infected,Infected diet 83,Infected diet 50,33.56072493262642,-1.25328028926865,-1.25328028926865,0.18322954098512795,N.S.,Not significant,N.S.,,TRUE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126335041,xaa-Pro aminopeptidase ApepP-like,xaa-Pro aminopeptidase ApepP-like,protein_coding,NC_064921.1,Nuclear chromosome,infection_diet33,Diet 33: infected vs control,Within-diet infection response,Infected diet 33,Control diet 33,33.56072493262642,-0.217349155766062,-0.217349155766062,0.8067803037917172,N.S.,Not significant,N.S.,,TRUE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126335041,xaa-Pro aminopeptidase ApepP-like,xaa-Pro aminopeptidase ApepP-like,protein_coding,NC_064921.1,Nuclear chromosome,infection_diet50,Diet 50: infected vs control,Within-diet infection response,Infected diet 50,Control diet 50,33.56072493262642,2.279473029417872,2.279473029417872,3.3099942469478426e-5,Upregulated,Infected diet 50,N.S.,,TRUE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126335041,xaa-Pro aminopeptidase ApepP-like,xaa-Pro aminopeptidase ApepP-like,protein_coding,NC_064921.1,Nuclear chromosome,infection_diet83,Diet 83: infected vs control,Within-diet infection response,Infected diet 83,Control diet 83,33.56072493262642,0.21483588293217817,0.21483588293217817,0.8120124887038885,N.S.,Not significant,N.S.,,TRUE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Polyamine Biosynthesis & Growth Priming,LOC126278485,ornithine decarboxylase-like,ornithine decarboxylase-like,protein_coding,NC_064925.1,Nuclear chromosome,control_diet33_vs50,Control: diet 50 vs 33,Diet comparison among controls,Control diet 50,Control diet 33,347.6815638286841,-0.9010643878966712,0.9010643878966712,0.9996296793832424,N.S.,Not significant,N.S.,,FALSE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Polyamine Biosynthesis & Growth Priming,LOC126278485,ornithine decarboxylase-like,ornithine decarboxylase-like,protein_coding,NC_064925.1,Nuclear chromosome,control_diet83_vs33,Control: diet 83 vs 33,Diet comparison among controls,Control diet 83,Control diet 33,347.6815638286841,-2.5347356622357315,-2.5347356622357315,0.7812491647338351,N.S.,Not significant,N.S.,,FALSE
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Polyamine Biosynthesis & Growth Priming,LOC126278485,ornithine decarboxylase-like,ornithine decarboxylase-like,protein_coding,NC_064925.1,Nuclear chromosome,control_diet83_vs50,Control: diet 83 vs 50,Diet comparison among controls,Control diet 83,Control diet 50,347.6815638286841,-3.435800050132402,-3.435800050132402,0.15136997926745246,N.S.,Not significant,N.S.,,FALSE
