"gene_id","log2FoldChange","padj","source","direction","source_direction","gene_biotype","gene_description","Gene_class","Direction","signed_direction","source_label","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway"
"LOC126305117",1.04413884826009,0.0211814428537146,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126305117","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126313188",1.37464449290179,0.00403942128478296,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126313188","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126332140",8.36791003183518,9.21436931625595e-14,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126332140","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126332151",7.69237485841129,0.000735824789362553,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126332151","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126335700",6.56225228519687,5.72242522084225e-08,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126335700","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126336554",7.63646070580556,5.38564737801755e-10,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126336554","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126354299",3.64097379695598,0.00502302425605913,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126354299","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126354418",2.65149439479063,5.70972325307012e-06,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126354418","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126354934",2.54116844265372,0.0282295047380567,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126354934","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126355826",1.44893922256883,0.0261009628649576,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126355826","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126365913",1.0652227416611,0.0498038336653779,"DESeq2_infected_vs_control_diet_33","UP","DESeq2_infected_vs_control_diet_33__UP","lncRNA","uncharacterized LOC126365913","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 33",NA,NA,NA,NA,NA
"LOC126266751",-2.13345777169048,0.0152861800285839,"DESeq2_infected_vs_control_diet_50","DOWN","DESeq2_infected_vs_control_diet_50__DOWN","lncRNA","uncharacterized LOC126266751","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126272463",-1.22610801985551,0.000712748651507766,"DESeq2_infected_vs_control_diet_50","DOWN","DESeq2_infected_vs_control_diet_50__DOWN","lncRNA","uncharacterized LOC126272463","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126278514",-1.21180956812215,0.00286704309918845,"DESeq2_infected_vs_control_diet_50","DOWN","DESeq2_infected_vs_control_diet_50__DOWN","lncRNA","uncharacterized LOC126278514","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126281302",-4.81333841429642,9.13820730145023e-08,"DESeq2_infected_vs_control_diet_50","DOWN","DESeq2_infected_vs_control_diet_50__DOWN","lncRNA","uncharacterized LOC126281302","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126281443",-2.0264845352304,0.00487702341478187,"DESeq2_infected_vs_control_diet_50","DOWN","DESeq2_infected_vs_control_diet_50__DOWN","lncRNA","uncharacterized LOC126281443","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126284914",-2.31661127227922,0.00276585150133848,"DESeq2_infected_vs_control_diet_50","DOWN","DESeq2_infected_vs_control_diet_50__DOWN","lncRNA","uncharacterized LOC126284914","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126284936",-4.42005065854442,4.99077617121608e-09,"DESeq2_infected_vs_control_diet_50","DOWN","DESeq2_infected_vs_control_diet_50__DOWN","lncRNA","uncharacterized LOC126284936","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126297379",-1.82325744502751,0.000111177768560445,"DESeq2_infected_vs_control_diet_50","DOWN","DESeq2_infected_vs_control_diet_50__DOWN","lncRNA","uncharacterized LOC126297379","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126299034",-1.51734425406218,0.0389954985192565,"DESeq2_infected_vs_control_diet_50","DOWN","DESeq2_infected_vs_control_diet_50__DOWN","lncRNA","uncharacterized LOC126299034","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126334533",-1.32151932613599,0.0338250789130271,"DESeq2_infected_vs_control_diet_50","DOWN","DESeq2_infected_vs_control_diet_50__DOWN","lncRNA","uncharacterized LOC126334533","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126335450",-1.46561581768621,0.00633238756620308,"DESeq2_infected_vs_control_diet_50","DOWN","DESeq2_infected_vs_control_diet_50__DOWN","lncRNA","uncharacterized LOC126335450","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126354199",-1.55257564226172,0.0400654685395197,"DESeq2_infected_vs_control_diet_50","DOWN","DESeq2_infected_vs_control_diet_50__DOWN","lncRNA","uncharacterized LOC126354199","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126354927",-3.80458684228092,0.003012567368105,"DESeq2_infected_vs_control_diet_50","DOWN","DESeq2_infected_vs_control_diet_50__DOWN","lncRNA","uncharacterized LOC126354927","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126354929",-3.98376259906563,0.00449044645473379,"DESeq2_infected_vs_control_diet_50","DOWN","DESeq2_infected_vs_control_diet_50__DOWN","lncRNA","uncharacterized LOC126354929","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126363250",-1.04761257372231,0.00196991911826355,"DESeq2_infected_vs_control_diet_50","DOWN","DESeq2_infected_vs_control_diet_50__DOWN","lncRNA","uncharacterized LOC126363250","Long non-coding RNA","Higher in denominator/control",-1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126266789",5.45011744692432,8.01382114075116e-06,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126266789","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126267575",1.65315813495837,0.0141381628493177,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126267575","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126267627",1.60299754147647,0.0207471211443003,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126267627","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126272149",5.58547087987666,0.00072469895346672,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126272149","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126273060",4.45697803652473,1.79803237309393e-07,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126273060","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126276175",1.35055391699908,8.36679101707231e-05,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126276175","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126278127",6.63134679225519,6.52472033886115e-16,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126278127","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126278265",1.54927449763505,0.0153227741106152,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126278265","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126278436",9.21775442653153,2.18713134559963e-14,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126278436","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126278644",1.4721758081833,0.0421623210791105,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126278644","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126281664",5.34110517085539,0.00455805639920644,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126281664","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126282072",4.08064430330197,6.27101401378326e-08,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126282072","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126284305",6.24163436901217,2.01397401051977e-13,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126284305","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126285004",4.61775694144478,0.0406391545903275,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126285004","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
