Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
mehreen_1029_MERGE_1_val_1	(1.0, 17.986005344702008)	(2.0, 5.366262542199494)	(3.0, 2.1059073947742943)	(4.0, 1.1801382682030797)	(5.0, 0.7798050845035689)	(6.0, 0.552256981255371)	(7.0, 0.44992936509877207)	(8.0, 0.3880121561184951)	(9.0, 0.33529129228467464)	('>10', 4.227026156541874)	('>50', 1.6647858185063937)	('>100', 3.8916696600017064)	('>500', 1.662098926388247)	('>1k', 5.256555041053629)	('>5k', 3.58935630258926)	('>10k+', 50.56489966577924)
mehreen_1029_MERGE_2_val_2	(1.0, 20.552946618631932)	(2.0, 5.286080379540933)	(3.0, 1.885942177977496)	(4.0, 0.9686690693008956)	(5.0, 0.6535003765656282)	(6.0, 0.5027506872010249)	(7.0, 0.3932174823622932)	(8.0, 0.3070217660061284)	(9.0, 0.28944302197949107)	('>10', 3.9141744817598974)	('>50', 1.475434627861407)	('>100', 2.981740115293215)	('>500', 1.504157569877586)	('>1k', 6.539201572472147)	('>5k', 5.90545517799162)	('>10k+', 46.84026487517832)
mehreen_1030_MERGE_1_val_1	(1.0, 11.792986918763933)	(2.0, 5.439469234227254)	(3.0, 2.4732938271933627)	(4.0, 1.2518978219033303)	(5.0, 0.717703326795639)	(6.0, 0.4885581293014191)	(7.0, 0.37048336368501417)	(8.0, 0.30750144285661746)	(9.0, 0.2655362374269702)	('>10', 3.475373996790059)	('>50', 1.4958007470446926)	('>100', 4.157351849556142)	('>500', 2.0873472052421174)	('>1k', 5.23149066751695)	('>5k', 2.571170871079461)	('>10k+', 57.874034360617046)
mehreen_1030_MERGE_2_val_2	(1.0, 13.666555571379618)	(2.0, 5.733504051707137)	(3.0, 2.4144964763405303)	(4.0, 1.0757827485021438)	(5.0, 0.605580719773954)	(6.0, 0.38521838967045835)	(7.0, 0.3089614443989976)	(8.0, 0.2800851026110005)	(9.0, 0.21868927143088496)	('>10', 3.38122419530422)	('>50', 1.5620038245707626)	('>100', 4.245603488488881)	('>500', 1.8778390124034972)	('>1k', 4.341720748192993)	('>5k', 2.750683283785375)	('>10k+', 57.152051671439565)
mehreen_1031_MERGE_1_val_1	(1.0, 15.3172472021586)	(2.0, 4.448735286796966)	(3.0, 1.7250853942523552)	(4.0, 0.9126378327011193)	(5.0, 0.6071332412392704)	(6.0, 0.43648347331981263)	(7.0, 0.3686678674589364)	(8.0, 0.31719300496635267)	(9.0, 0.24514518546618794)	('>10', 3.5527462767622904)	('>50', 1.5191545389273053)	('>100', 4.106353945608198)	('>500', 2.0236401003805615)	('>1k', 5.635710510142916)	('>5k', 3.292552044506096)	('>10k+', 55.491514095313)
mehreen_1031_MERGE_2_val_2	(1.0, 17.491185246884775)	(2.0, 4.377620306314049)	(3.0, 1.4700940049943731)	(4.0, 0.7191495319235146)	(5.0, 0.4959007067914555)	(6.0, 0.3581446037010374)	(7.0, 0.2848268912187342)	(8.0, 0.24151001690999352)	(9.0, 0.23150042428823409)	('>10', 3.2736959280299223)	('>50', 1.4610761434959854)	('>100', 3.678520117672299)	('>500', 1.678753299435849)	('>1k', 5.928338579831459)	('>5k', 5.728067866601572)	('>10k+', 52.58161633190681)
mehreen_1032_MERGE_1_val_1	(1.0, 16.915607563473465)	(2.0, 4.866670323910666)	(3.0, 1.7592350336332176)	(4.0, 0.9140783845262046)	(5.0, 0.5582349910910039)	(6.0, 0.40372505359986316)	(7.0, 0.32394868587913833)	(8.0, 0.26022734687525106)	(9.0, 0.21960479546021178)	('>10', 3.1134689798269783)	('>50', 1.31998362199168)	('>100', 3.4617841767139645)	('>500', 1.6828368015427184)	('>1k', 4.780098274700256)	('>5k', 3.1231420314860077)	('>10k+', 56.29735393528945)
mehreen_1032_MERGE_2_val_2	(1.0, 19.118785699756625)	(2.0, 4.699939652991297)	(3.0, 1.4367541098447547)	(4.0, 0.693777778056201)	(5.0, 0.4281356119670212)	(6.0, 0.3094047038576185)	(7.0, 0.26412036705900915)	(8.0, 0.2211745911033929)	(9.0, 0.18663437230898894)	('>10', 2.8565290493166784)	('>50', 1.2787872589180025)	('>100', 3.1896308771658637)	('>500', 1.3843474178883395)	('>1k', 4.657086973813571)	('>5k', 4.793282205161075)	('>10k+', 54.4816093307916)
mehreen_1033_MERGE_1_val_1	(1.0, 15.237109483119179)	(2.0, 5.105078541762393)	(3.0, 2.0326054007599037)	(4.0, 1.0501238831055641)	(5.0, 0.6422820948682388)	(6.0, 0.49073551418661)	(7.0, 0.3536269142953992)	(8.0, 0.3068499403816541)	(9.0, 0.2674091183518856)	('>10', 3.6196376604435843)	('>50', 1.5424354643825684)	('>100', 4.200455712642412)	('>500', 2.079671661509206)	('>1k', 5.449635460872364)	('>5k', 2.914773110734799)	('>10k+', 54.70757003858413)
mehreen_1033_MERGE_2_val_2	(1.0, 17.26029732195299)	(2.0, 5.104470831983818)	(3.0, 1.825875836601994)	(4.0, 0.8553847364612621)	(5.0, 0.539179639320182)	(6.0, 0.3990770926747859)	(7.0, 0.2994963400016518)	(8.0, 0.2684616310562196)	(9.0, 0.23219466877836548)	('>10', 3.298683049028968)	('>50', 1.5463421588783994)	('>100', 4.043743644053868)	('>500', 1.8330847494110316)	('>1k', 5.109587846358178)	('>5k', 4.21973361843926)	('>10k+', 53.164386834999014)
