Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
mehreen_1042_MERGE_1_val_1	mehreen_1042_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	80726717.0	10.4 Gbp	0.0	20-148	55.0	22.87863070451019	129.61926234408864	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1042_MERGE_2_val_2	mehreen_1042_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	80726717.0	10.4 Gbp	0.0	20-148	55.0	24.799337026669495	129.54853284817713	147	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
mehreen_1043_MERGE_1_val_1	mehreen_1043_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	99975184.0	13.1 Gbp	0.0	20-148	55.0	19.288083652185275	131.28087419173943	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1043_MERGE_2_val_2	mehreen_1043_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	99975184.0	13.1 Gbp	0.0	20-148	55.0	20.79902442969411	131.15359295562786	147	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
mehreen_1045_MERGE_1_val_1	mehreen_1045_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	82290947.0	10.7 Gbp	0.0	20-148	53.0	22.25880362160404	129.85603931620813	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1045_MERGE_2_val_2	mehreen_1045_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	82290947.0	10.6 Gbp	0.0	20-148	53.0	24.20439503066949	129.68181286089708	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1046_MERGE_1_val_1	mehreen_1046_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	81042454.0	10.4 Gbp	0.0	20-148	53.0	16.071705556717742	128.41783533603265	142	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1046_MERGE_2_val_2	mehreen_1046_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	81042454.0	10.4 Gbp	0.0	20-148	54.0	17.891873299063864	128.3466944127827	142	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1049_MERGE_1_val_1	mehreen_1049_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	97394059.0	12.2 Gbp	0.0	20-148	52.0	17.27999211230962	125.49716644420785	137	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1049_MERGE_2_val_2	mehreen_1049_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	97394059.0	12.2 Gbp	0.0	20-148	53.0	19.25970053494364	125.40681278105474	137	pass	pass	fail	pass	warn	warn	pass	warn	fail	fail	pass
mehreen_1050_MERGE_1_val_1	mehreen_1050_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	77994839.0	10.1 Gbp	0.0	20-148	54.0	19.722047166641442	129.97732129429744	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1050_MERGE_2_val_2	mehreen_1050_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	77994839.0	10.1 Gbp	0.0	20-148	55.0	21.576225296957933	129.8856809999954	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1051_MERGE_1_val_1	mehreen_1051_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	73265194.0	9.6 Gbp	0.0	20-148	53.0	21.012629266325806	130.8804370735714	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1051_MERGE_2_val_2	mehreen_1051_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	73265194.0	9.5 Gbp	0.0	20-148	54.0	23.227283012893714	130.70551021812622	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1052_MERGE_1_val_1	mehreen_1052_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	75961650.0	9.7 Gbp	0.0	20-148	53.0	16.480747225073436	128.55169891649274	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1052_MERGE_2_val_2	mehreen_1052_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	75961650.0	9.7 Gbp	0.0	20-148	54.0	18.349792639787747	128.4522366220323	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1054_MERGE_1_val_1	mehreen_1054_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86481255.0	11.3 Gbp	0.0	20-148	55.0	16.470118819837804	130.841036129737	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1054_MERGE_2_val_2	mehreen_1054_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86481255.0	11.3 Gbp	0.0	20-148	55.0	18.000570373317373	130.71668317024307	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1055_MERGE_1_val_1	mehreen_1055_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86042921.0	11.3 Gbp	0.0	20-148	54.0	16.846732812154492	131.46689071608807	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1055_MERGE_2_val_2	mehreen_1055_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86042921.0	11.3 Gbp	0.0	20-148	54.0	18.435942336197236	131.33875036622712	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1057_MERGE_1_val_1	mehreen_1057_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	71108657.0	9.3 Gbp	0.0	20-148	52.0	25.294847659055776	131.48569131322506	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1057_MERGE_2_val_2	mehreen_1057_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	71108657.0	9.3 Gbp	0.0	20-148	53.0	27.695581256050517	131.4336279617825	147	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1058_MERGE_1_val_1	mehreen_1058_MERGE_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66586512.0	8.3 Gbp	0.0	20-148	54.0	11.153277657909024	125.44391939316479	137	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
mehreen_1058_MERGE_2_val_2	mehreen_1058_MERGE_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66586512.0	8.3 Gbp	0.0	20-148	54.0	12.377760953568426	125.34438361931318	137	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
