gene_id,Description,gene_biotype,meeting_theme,called_in_diets,n_called_diets,max_abs_log2FC,min_padj,response_directions
LOC126354365,juvenile hormone esterase-like,protein_coding,Detoxification,83,1,1.79578306255334,0.0285980876110215,Higher in control
LOC126354174,cytochrome P450 4V2-like,protein_coding,Detoxification,33,1,1.69338046756844,0.0289142637465216,Higher in control
LOC126293721,probable cytochrome P450 304a1,protein_coding,Detoxification,33;50,2,3.28848258047423,0.0289616749772732,Higher in control
LOC126334679,esterase FE4-like,protein_coding,Detoxification,50,1,1.55366367361497,0.0290062517145777,Higher in infected
LOC126278867,cytochrome P450 4c3,protein_coding,Detoxification,50,1,3.65766665776278,0.032047360014857,Higher in infected
LOC126336724,glutathione S-transferase 1-like,protein_coding,Detoxification,50,1,2.47577542749777,0.0335762655245543,Higher in control
LOC126267752,acetylcholinesterase collagenic tail peptide-like,protein_coding,Detoxification,50,1,2.66772188552096,0.0346753748540616,Higher in infected
LOC126355192,glutathione hydrolase-like YwrD proenzyme,protein_coding,Detoxification,33,1,1.28987024633319,0.0356247353054295,Higher in control
LOC126266662,heat shock protein 68-like,protein_coding,Detoxification,50,1,1.78791023390031,0.0394965404436241,Higher in control
LOC126336715,glutathione S-transferase 1-like,protein_coding,Detoxification,50,1,1.70960709640891,0.0401697728663669,Higher in control
