"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant"
"LOC126298418",82.2654346508736,0.0872986338617206,0.349503939579255,0.698855782955775,0.70509136312735,0.999781581310749,FALSE
"LOC126298420",78.0500516794535,0.0345692884164254,0.33314853747008,0.257610647770946,0.879145097439072,0.999781581310749,FALSE
"LOC126298423",90.0832596822788,0.0139795869664695,0.347331457907314,0.629240804891651,0.730065952926656,0.999781581310749,FALSE
"LOC126298424",124.375660407599,0.154630988461981,0.281643061982048,0.373228847643247,0.829763611795664,0.999781581310749,FALSE
"LOC126298428",40.2680400310052,-0.113934234093385,0.314504718621439,0.227571584237523,0.892449105040753,0.999781581310749,FALSE
"LOC126298434",53.4116221550999,0.437279105752295,0.243530046043593,3.65982563052103,0.160427553999973,0.999781581310749,FALSE
"LOC126298435",63.7408735530505,0.137570163358067,0.327636733813787,0.970816052849898,0.615446027283616,0.999781581310749,FALSE
"LOC126298437",29.5311144534754,-0.484532783860732,0.876862682489406,0.324188708990391,0.850360965375208,0.999781581310749,FALSE
"LOC126298438",77.0403270957744,-0.261751217836806,0.205597462828112,2.9847130561563,0.224842183829838,0.999781581310749,FALSE
"LOC126298440",108.052708465264,0.914631346172364,0.55106748474886,6.94864601139352,0.0309828019051282,0.999781581310749,FALSE
"LOC126298441",81.5793586014005,-0.301917760169531,0.781146699558569,0.47242994558394,0.789610910824162,0.999781581310749,FALSE
"LOC126298442",44.0365046206559,0.606452249859764,0.480524645630889,1.69473383865619,0.428541832904409,0.999781581310749,FALSE
"LOC126298445",66.4458109166676,0.0916768144799172,0.267349863921251,0.349810523676126,0.839536553151696,0.999781581310749,FALSE
"LOC126298447",78.1851888076254,0.225539457343862,0.230579524827208,1.55492570273833,0.459570532145721,0.999781581310749,FALSE
"LOC126298448",80.7550044903563,0.117685138870786,0.248587169808599,0.244343875838979,0.884996191016622,0.999781581310749,FALSE
"LOC126298449",74.0101363462794,0.139470521744944,0.239114197806623,0.395535358137465,0.820560464366727,0.999781581310749,FALSE
"LOC126298452",1.45531913623463,4.74446273066508,3.10087038813978,3.15565273876287,0.206423298919936,0.999781581310749,FALSE
"LOC126298453",9.46826564072812,0.299794628903218,0.625110277484885,1.32659241195074,0.515150490740206,0.999781581310749,FALSE
"LOC126298455",8.24364996806489,-2.24104978764848,1.0214083903807,5.89805837892357,0.0523905425589002,0.999781581310749,FALSE
"LOC126298458",9.3585689511399,-0.17703832931274,0.695141459912697,1.30453076196625,0.520864482731731,0.999781581310749,FALSE
"LOC126298459",64.9095348048657,0.35963513798281,0.252326095018278,3.0600351516681,0.216531861554497,0.999781581310749,FALSE
"LOC126298461",5.4453657605351,0.562429113710965,0.783828226615313,1.05963596111584,0.58871211697769,0.999781581310749,FALSE
"LOC126298462",4.72200677070322,-1.60396685129456,1.30419184148217,6.10601182263184,0.0472167814060352,0.999781581310749,FALSE
"LOC126298463",2.00898523261311,-2.66870843753683,3.31686485182887,0.635504699890163,0.727783001599087,0.999781581310749,FALSE
"LOC126298465",84.1122710100911,0.390656603551002,0.338744826688155,2.55197224810439,0.279155550443083,0.999781581310749,FALSE
"LOC126298466",28.9126499568177,-1.78952861142735,0.874066127965152,4.05287312126342,0.131804362162156,0.999781581310749,FALSE
"LOC126298468",168.741903002212,0.211456169251321,0.181252087004736,1.41042307384237,0.494004063103987,0.999781581310749,FALSE
"LOC126298470",107.498884566089,0.182138145311005,0.31287242090993,0.810941251529243,0.666662988239177,0.999781581310749,FALSE
"LOC126298471",195.426883088823,0.0830448454145776,0.463975965103779,4.83839379576722,0.0889930592822606,0.999781581310749,FALSE
"LOC126298472",44.9156907155059,0.204424988338723,0.289102860357999,1.60553294857374,0.448087624949793,0.999781581310749,FALSE
"LOC126298473",18.2132935784406,-0.129756584300024,0.388660691312986,0.607640367659315,0.7379935576955,0.999781581310749,FALSE
"LOC126298476",32.1764845508292,0.37173220775564,0.517922999280875,0.632183152797666,0.728992688585582,0.999781581310749,FALSE
