"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","expression_cluster","n_cluster_genes","pathway_theme","pathway_scope"
"ko00650","Butanoate metabolism","4/275","5/560",0.8,1.62909090909091,1.38676138734208,0.175419001670583,0.663840535733777,0.663840535733777,"LOC126299549/LOC126336244/LOC126336251/LOC126268126",4,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00720","Other carbon fixation pathways","4/275","5/560",0.8,1.62909090909091,1.38676138734208,0.175419001670583,0.663840535733777,0.663840535733777,"LOC126334596/LOC126336244/LOC126365941/LOC126335505",4,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko04530","Tight junction","4/275","5/560",0.8,1.62909090909091,1.38676138734208,0.175419001670583,0.663840535733777,0.663840535733777,"LOC126354218/LOC126267179/LOC126284030/LOC126356108",4,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Cellular process","Eukaryote/metazoan-compatible"
"ko04540","Gap junction","4/275","5/560",0.8,1.62909090909091,1.38676138734208,0.175419001670583,0.663840535733777,0.663840535733777,"LOC126267179/LOC126355586/LOC126282371/LOC126267042",4,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Cellular process","Eukaryote/metazoan-compatible"
"ko01523","Antifolate resistance","6/275","9/560",0.666666666666667,1.35757575757576,1.06136153339755,0.234813008626467,0.871517512786694,0.871517512786694,"LOC126354610/LOC126297511/LOC126325353/LOC126298974/LOC126293737/LOC126266788",6,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Other KEGG pathway","Core metabolism or cross-domain"
"ko01212","Fatty acid metabolism","7/275","11/560",0.636363636363636,1.29586776859504,0.972652365944001,0.252498483094175,0.886040131585015,0.886040131585015,"LOC126334918/LOC126336244/LOC126356371/LOC126336251/LOC126275659/LOC126285378/LOC126284002",7,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Lipid and membrane metabolism","Broad KEGG reference map"
"ko04152","AMPK signaling pathway","7/275","11/560",0.636363636363636,1.29586776859504,0.972652365944001,0.252498483094175,0.886040131585015,0.886040131585015,"LOC126281636/LOC126334918/LOC126299541/LOC126356371/LOC126278052/LOC126285378/LOC126281958",7,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Cellular process","Eukaryote/metazoan-compatible"
"ko04218","Cellular senescence","7/275","11/560",0.636363636363636,1.29586776859504,0.972652365944001,0.252498483094175,0.886040131585015,0.886040131585015,"LOC126281636/LOC126272743/LOC126353858/LOC126299541/LOC126282371/LOC126279072/LOC126326589",7,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko00240","Pyrimidine metabolism","8/275","13/560",0.615384615384615,1.25314685314685,0.906359240685342,0.266064674057358,0.91697289451911,0.91697289451911,"LOC126335182/LOC126337076/LOC126284573/LOC126277880/LOC126359832/LOC126335184/LOC126335481/LOC126292317",8,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko05418","Fluid shear stress and atherosclerosis","10/275","17/560",0.588235294117647,1.19786096256684,0.813082257453621,0.285548878647872,0.966858483842794,0.966858483842794,"LOC126336713/LOC126353858/LOC126299541/LOC126336724/LOC126331335/LOC126282396/LOC126356132/LOC126298299/LOC126336888/LOC126281404",10,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Immune and stress signaling","Core metabolism or cross-domain"
"ko01230","Biosynthesis of amino acids","12/275","21/560",0.571428571428571,1.16363636363636,0.750144458839891,0.298846147033105,0.99443631685154,0.99443631685154,"LOC126298104/LOC126325353/LOC126334596/LOC126284898/LOC126365941/LOC126335505/LOC126281532/LOC126295405/LOC126293368/LOC126269845/LOC126299542/LOC126272037",12,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Amino acid and nitrogen metabolism","Broad KEGG reference map"
"ko00511","Other glycan degradation","4/275","6/560",0.666666666666667,1.35757575757576,0.864248493356395,0.32626055779859,0.999496629446475,0.999496629446475,"LOC126336962/LOC126336948/LOC126272931/LOC126292034",4,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Other KEGG pathway","Core metabolism or cross-domain"
"ko00640","Propanoate metabolism","4/275","6/560",0.666666666666667,1.35757575757576,0.864248493356395,0.32626055779859,0.999496629446475,0.999496629446475,"LOC126335256/LOC126336244/LOC126336251/LOC126285378",4,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko04115","p53 signaling pathway","4/275","6/560",0.666666666666667,1.35757575757576,0.864248493356395,0.32626055779859,0.999496629446475,0.999496629446475,"LOC126272743/LOC126282371/LOC126279072/LOC126326589",4,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Cellular process","Eukaryote/metazoan-compatible"
"ko04213","Longevity regulating pathway - multiple species","4/275","6/560",0.666666666666667,1.35757575757576,0.864248493356395,0.32626055779859,0.999496629446475,0.999496629446475,"LOC126266662/LOC126299541/LOC126334959/LOC126334929",4,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko05161","Hepatitis B","4/275","6/560",0.666666666666667,1.35757575757576,0.864248493356395,0.32626055779859,0.999496629446475,0.999496629446475,"LOC126281636/LOC126299541/LOC126284030/LOC126278346",4,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Other KEGG pathway","Core metabolism or cross-domain"
"ko00350","Tyrosine metabolism","5/275","8/560",0.625,1.27272727272727,0.762524575274015,0.342841893230931,1,1,"LOC126336714/LOC126281954/LOC126335010/LOC126283954/LOC126272037",5,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko05169","Epstein-Barr virus infection","5/275","8/560",0.625,1.27272727272727,0.762524575274015,0.342841893230931,1,1,"LOC126281636/LOC126266662/LOC126299541/LOC126282371/LOC126279111",5,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Other KEGG pathway","Core metabolism or cross-domain"
"ko05203","Viral carcinogenesis","5/275","8/560",0.625,1.27272727272727,0.762524575274015,0.342841893230931,1,1,"LOC126281636/LOC126299541/LOC126282371/LOC126355257/LOC126279111",5,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Reference disease pathway","Reference disease pathway"
"ko00052","Galactose metabolism","6/275","10/560",0.6,1.22181818181818,0.69464932379626,0.353919265245727,1,1,"LOC126357545/LOC126283957/LOC126291591/LOC126283960/LOC126299071/LOC126277907",6,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko05225","Hepatocellular carcinoma","8/275","14/560",0.571428571428571,1.16363636363636,0.608551500063606,0.36771992583869,1,1,"LOC126336713/LOC126335021/LOC126299541/LOC126336724/LOC126331335/LOC126282396/LOC126336888/LOC126281404",8,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Reference disease pathway","Reference disease pathway"
"ko05166","Human T-cell leukemia virus 1 infection","9/275","16/560",0.5625,1.14545454545455,0.579345529147149,0.372247217649801,1,1,"LOC126272743/LOC126266967/LOC126335021/LOC126299541/LOC126284030/LOC126284276/LOC126279072/LOC126359832/LOC126326589",9,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Other KEGG pathway","Core metabolism or cross-domain"
"ko00520","Amino sugar and nucleotide sugar metabolism","7/275","13/560",0.538461538461538,1.0965034965035,0.34551816357618,0.473547594670749,1,1,"LOC126299078/LOC126291591/LOC126266657/LOC126299071/LOC126267263/LOC126277907/LOC126272931",7,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Other KEGG pathway","Core metabolism or cross-domain"
"ko04072","Phospholipase D signaling pathway","4/275","7/560",0.571428571428571,1.16363636363636,0.427578732123117,0.480369440052114,1,1,"LOC126298779/LOC126299541/LOC126272584/LOC126267042",4,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04150","mTOR signaling pathway","4/275","7/560",0.571428571428571,1.16363636363636,0.427578732123117,0.480369440052114,1,1,"LOC126335021/LOC126299541/LOC126272370/LOC126279111",4,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Cellular process","Eukaryote/metazoan-compatible"
"ko04612","Antigen processing and presentation","4/275","7/560",0.571428571428571,1.16363636363636,0.427578732123117,0.480369440052114,1,1,"LOC126291966/LOC126266662/LOC126268069/LOC126291748",4,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04714","Thermogenesis","4/275","7/560",0.571428571428571,1.16363636363636,0.427578732123117,0.480369440052114,1,1,"LOC126355586/LOC126267230/LOC126268200/LOC126332411",4,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Other KEGG pathway","Core metabolism or cross-domain"
"ko04915","Estrogen signaling pathway","4/275","7/560",0.571428571428571,1.16363636363636,0.427578732123117,0.480369440052114,1,1,"LOC126298572/LOC126266662/LOC126353858/LOC126299541",4,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04971","Gastric acid secretion","4/275","7/560",0.571428571428571,1.16363636363636,0.427578732123117,0.480369440052114,1,1,"LOC126322591/LOC126353858/LOC126292020/LOC126353821",4,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04975","Fat digestion and absorption","4/275","7/560",0.571428571428571,1.16363636363636,0.427578732123117,0.480369440052114,1,1,"LOC126323656/LOC126298779/LOC126272584/LOC126272037",4,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko05034","Alcoholism","4/275","7/560",0.571428571428571,1.16363636363636,0.427578732123117,0.480369440052114,1,1,"LOC126353858/LOC126278549/LOC126335010/LOC126282271",4,"KEGG_pathway","All fat body DEGs in heatmap",275,560,"DEG cluster 1",918,"Reference disease pathway","Reference disease pathway"
