"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
"LOC126272626",49.6686576917173,-1.01139405943694,0.17863575731883,-5.66176713227576,1.49822049124852e-08,2.98381946821819e-07,"LOC126272626"
"LOC126272947",68.8884814897522,0.454057839481598,0.173448912403506,2.61781889081721,0.00884937591422568,0.0267346686100839,"LOC126272947"
"LOC126272076",393.807326259546,-0.221320910940687,0.0919054452034101,-2.4081370853582,0.0160341590465979,0.0433027447406112,"LOC126272076"
"LOC126272077",362.919986760442,-0.536933917026184,0.104834597967249,-5.12172438715246,3.02754187490114e-07,4.25188114136281e-06,"LOC126272077"
"LOC126272803",94.6077310269045,-0.478639168220167,0.140083395781733,-3.41681585850435,0.000633581188062655,0.00304529271340657,"LOC126272803"
"LOC126272805",1043.70089823436,0.164632180375171,0.050633484571982,3.2514487550452,0.00114818471885439,0.00499411452159971,"LOC126272805"
"LOC126271950",2938.94897197219,0.392690635115564,0.0744911975511987,5.27163809986628,1.35211491505268e-07,2.10501207384909e-06,"LOC126271950"
"LOC126273114",603.33882017919,-0.155050489774799,0.0479364772362185,-3.23449904361454,0.00121856328771228,0.00524483443389582,"LOC126273114"
"LOC126273117",20.7630499849965,1.00788793209285,0.401176916856376,2.51232782780891,0.0119937613887319,0.0341692385379494,"LOC126273117"
"LOC126273121",86.5808856163964,0.430761742794269,0.155342220236599,2.7729856193518,0.00555445752565312,0.0182894518371132,"LOC126273121"
"LOC126272250",33.2609291940131,0.708747910310019,0.236093647715105,3.0019778895757,0.00268231657116699,0.0100802041058339,"LOC126272250"
"LOC126272252",129.38019590983,0.426213364119923,0.180482476174446,2.36152214416631,0.0182000849253817,0.0479550638095816,"LOC126272252"
"LOC126272251",408.59074965609,0.37012459290684,0.124237265532694,2.97917530074291,0.00289025372750229,0.0107289849041274,"LOC126272251"
"LOC126273370",95.7093094054412,0.77985675828027,0.221138037556252,3.52656090692626,0.000420994321110084,0.00215321053817762,"LOC126273370"
"LOC126273373",101.857148181499,-0.282819803999278,0.118400578806147,-2.38866909985574,0.0169095246411385,0.0452646239397723,"LOC126273373"
"LOC126272743",58.1072509498259,-0.693184884606524,0.147204709145477,-4.70898579692497,2.48952415952908e-06,2.62872335984683e-05,"LOC126272743"
"LOC126272246",434.452847683458,-0.254934395089521,0.0685261431634488,-3.720250160314,0.000199025542022665,0.00114707000878616,"LOC126272246"
"LOC126273001",114.894276415767,-1.09194830347101,0.22259924211645,-4.9054448392945,9.32158353125204e-07,1.13359580078042e-05,"LOC126273001"
"LOC126272550",80.7733295624864,-0.719546100040376,0.216007894698433,-3.33111019412013,0.000865003533685925,0.00395793373155359,"LOC126272550"
"LOC126271993",854.143265021673,0.288789675856802,0.0580279620639386,4.9767330367142,6.46664115341885e-07,8.18373094178077e-06,"LOC126271993"
"LOC126271992",95.8626667732857,-0.415763529728702,0.108060674136535,-3.84750079574169,0.000119328889783764,0.000740210207473048,"LOC126271992"
"LOC126271996",249.323378397866,-0.270730556264807,0.0837703385532123,-3.23181881487604,0.00123005022573899,0.00528892596220409,"LOC126271996"
"LOC126272002",94.3110645784875,-0.385293752548471,0.138863787050084,-2.77461648377418,0.00552668384797428,0.0182262066657814,"LOC126272002"
"LOC126272136",2466.82207563231,0.255251620610241,0.0542976027432624,4.7009740341053,2.58923441617834e-06,2.71380677807329e-05,"LOC126272136"
"LOC126272734",61.725137126183,-0.526259412571128,0.159073213563307,-3.30828428484403,0.000938694692320945,0.00422835877016514,"LOC126272734"
"LOC126272238",378.562301962569,-0.324406001812206,0.0915126021933597,-3.54493254521119,0.000392713573157485,0.00202888768714223,"LOC126272238"
"LOC126272512",81.1146284536049,-0.331388178931937,0.130647725346032,-2.53650171140927,0.0111966195459193,0.0323824297968297,"LOC126272512"
"LOC126272513",513.428203807382,-0.748359227548523,0.180084915486827,-4.1555908529344,3.24447983615753e-05,0.000241792350194904,"LOC126272513"
"LOC126272514",233.969347068517,-0.364381857749422,0.0884147392906386,-4.12127955896153,3.76773885020733e-05,0.000275638705797976,"LOC126272514"
"LOC126271911",176.277533562177,0.457705700764828,0.095714410077653,4.78199364540294,1.73565167185802e-06,1.91506735029727e-05,"LOC126271911"
"LOC126273286",13.1845462131069,1.02647891322287,0.406129297437742,2.52746827106268,0.0114888204553909,0.0330032137564176,"LOC126273286"
"LOC126272502",258.562228389886,0.293168816377724,0.0724799451410352,4.04482668698578,5.23618458635878e-05,0.000366679397345742,"LOC126272502"
"LOC126272341",49.7365814925427,-1.23162902586343,0.465056853631773,-2.64834077004834,0.00808879440417171,0.0247986429787839,"LOC126272341"
"LOC126272725",110.184306065983,-1.97951483499363,0.557889915814059,-3.54821763018458,0.000387847612180015,0.00200455976400408,"LOC126272725"
"LOC126272732",312.892709769719,-1.08423200715463,0.32104514216817,-3.37719486995597,0.000732291501590833,0.00343313746210377,"LOC126272732"
"LOC126273082",80.1923409341237,-2.13187436381586,0.360732995812197,-5.90984021025277,3.42439742901358e-09,7.89094902144176e-08,"LOC126273082"
"LOC126272541",1462.93522829684,-1.02612558457513,0.186385793329966,-5.50538518114706,3.68361977659567e-08,6.67022554156317e-07,"LOC126272541"
"LOC126272345",155.788052113386,-0.38443006727303,0.127782809332907,-3.00846466969974,0.00262571329782987,0.00990539478726243,"LOC126272345"
"LOC126272835",22.2480305415729,0.674397228050455,0.233858068307095,2.88378858566837,0.0039292244368847,0.0138107046148871,"LOC126272835"
"LOC126272379",206.774492095016,-0.190014320009868,0.079665363067526,-2.38515601628286,0.0170718795484072,0.0456036020746947,"LOC126272379"
"LOC126272690",416.142819721619,0.551800338852372,0.0832983513661943,6.62438487439638,3.4869715421718e-11,1.2162480521138e-09,"LOC126272690"
"LOC126272694",300.363660719832,0.226302199369173,0.0791468076052055,2.85927134923745,0.00424615401798887,0.014690081895297,"LOC126272694"
"LOC126272696",1892.88485038466,0.803947980700418,0.151387010834999,5.31054795431995,1.09296120165535e-07,1.74710765036205e-06,"LOC126272696"
"LOC126273293",903.351508856571,0.353481711658765,0.0922347859158926,3.8324121224838,0.000126892932925533,0.000781058428991008,"LOC126273293"
"LOC126272342",324.690605228388,-0.325248826496966,0.0855543022749855,-3.80166534993837,0.000143726771022429,0.000868757556284247,"LOC126272342"
"LOC126273088",718.84293478615,-0.261385147347856,0.10142430933638,-2.57714495724054,0.00996201638006465,0.0295001394358398,"LOC126273088"
"LOC126272742",298.341428447074,0.304460639558593,0.085472814538149,3.56207574541381,0.000367934188293707,0.00191794522162412,"LOC126272742"
"LOC126272876",256.783838082062,0.698750854124567,0.189960499000192,3.67840081386531,0.00023470092836902,0.00131990839275723,"LOC126272876"
"LOC126272075",3186.10302966556,0.410372163127934,0.120731688037283,3.39904270203864,0.000676221576337692,0.00321513766984245,"LOC126272075"
"LOC126271887",360.277942925,-0.285477158134603,0.0866195676031658,-3.29575829150374,0.00098156426560951,0.00439055690776839,"LOC126271887"
"LOC126272312",444.861026056766,-0.614716950280811,0.183995414257942,-3.34093625517776,0.000834963908649862,0.00383889878611266,"LOC126272312"
"LOC126272586",307.931901090369,-0.221404954522828,0.0687872880180991,-3.21868997749369,0.00128777633832326,0.00550561042700428,"LOC126272586"
"LOC126272588",75.7549738839866,-0.477026918849565,0.143752559518337,-3.31838904606577,0.00090538284301219,0.00411467332641282,"LOC126272588"
"LOC126272910",174.451108688774,0.36087271912612,0.127531423080089,2.82967687814081,0.0046595036241828,0.0158410714424281,"LOC126272910"
"LOC126272031",2045.06516567959,-0.3243956734164,0.0644798143914325,-5.03096475196279,4.88017872054575e-07,6.46269310648206e-06,"LOC126272031"
"LOC126272033",181.397760333693,-0.301930765594027,0.0801789148969771,-3.76571279346923,0.000166074610740739,0.000981077501488324,"LOC126272033"
"LOC126272034",1104.93528003348,-0.329313827571575,0.0474188170917169,-6.94479212618527,3.79018004433739e-12,1.59687915663403e-10,"LOC126272034"
"LOC126273194",595.323265238898,0.203184838716163,0.0606542448575713,3.3498865445161,0.000808446668656885,0.00373259680725996,"LOC126273194"
"LOC126272959",212.377276687402,-0.245169848641547,0.0871194882362082,-2.81417916479049,0.0048901964846188,0.0164935926876205,"LOC126272959"
"LOC126272960",35.5943827646582,-0.624725610823346,0.238302970020727,-2.62156032200945,0.00875282709889001,0.0265034608027585,"LOC126272960"
"LOC126272046",1523.37929069855,0.540835023275887,0.0676396722484273,7.99582560497197,1.28708455568302e-15,9.38909796448537e-14,"LOC126272046"
"LOC126272166",168.219486642817,-0.374863839563109,0.12217399740066,-3.06827841880111,0.00215295927063157,0.00841024420100448,"LOC126272166"
"LOC126272452",167.515330783075,-0.271574370929238,0.109504302676011,-2.48003379129989,0.0131369932280333,0.0367616956486352,"LOC126272452"
"LOC126273163",425.014101702567,0.361960381433537,0.079685642237154,4.5423538202315,5.56295700455917e-06,5.24883289875849e-05,"LOC126273163"
"LOC126273164",245.977847913634,-0.848755051000665,0.17006615343748,-4.99073468673875,6.0150069409553e-07,7.71734458374225e-06,"LOC126273164"
"LOC126272632",815.433999595569,-0.374590254131605,0.0653777424343874,-5.72962969021974,1.00650113222804e-08,2.09266994365197e-07,"LOC126272632"
"LOC126272327",38.9566373007579,-0.972355227630626,0.329654239440901,-2.9496214860751,0.00318163459140774,0.0115938354021443,"LOC126272327"
"LOC126272787",284.9684802199,1.07456478035378,0.162546754162,6.61080429377771,3.82237539259522e-11,1.31526803940352e-09,"LOC126272787"
"LOC126273028",632.837803425039,0.537116861078759,0.150227254382435,3.57536229552206,0.000349743228126638,0.00184192328806298,"LOC126273028"
"LOC126273026",57.7158261781966,2.86699662164233,1.04135777621453,2.75313315666036,0.00590278823575893,0.0191987247433627,"LOC126273026"
"LOC126273066",121.544064708054,0.609166037368629,0.173736139306783,3.50627129047092,0.00045443178754388,0.00229753512862779,"LOC126273066"
"LOC126272239",15.8634755817173,-1.15229451688285,0.349899330524649,-3.29321726667802,0.000990479033261288,0.0044242320988851,"LOC126272239"
"LOC126272241",13.1263853629274,-3.23128799147893,0.534365304748094,-6.04696443194829,1.47600326200518e-09,3.67303267890022e-08,"LOC126272241"
"LOC126272893",435.655777610351,-0.800603593260904,0.138959660806194,-5.76141009999657,8.34140892380911e-09,1.77009604877349e-07,"LOC126272893"
"LOC126273126",208.012971358276,-1.88822951665831,0.463416238275166,-4.0745864315983,4.60961912278867e-05,0.000328200768106638,"LOC126273126"
"LOC126273133",210.543734503379,-0.691649678332617,0.17604309686601,-3.92886566213412,8.53474982560518e-05,0.000554820063702621,"LOC126273133"
"LOC126273131",187.656719496659,1.44061492660019,0.313683516817798,4.59257451974107,4.37811097700514e-06,4.29600036375462e-05,"LOC126273131"
"LOC126273132",54.3534467605447,2.43986098001347,0.45908856934956,5.31457575489253,1.06906101104829e-07,1.7166833795022e-06,"LOC126273132"
"LOC126273129",436.790569411664,1.46248429904879,0.297789637847715,4.91113226645142,9.05519786345763e-07,1.10832843648035e-05,"LOC126273129"
"LOC126273136",217.738256846739,1.72870115233994,0.173272785448174,9.97676090834815,1.92653337606419e-23,4.39180804979203e-21,"LOC126273136"
"LOC126273134",226.564895339608,2.06083683537616,0.256896210233438,8.02206008996205,1.0398624661341e-15,7.67334349287161e-14,"LOC126273134"
"LOC126273138",124.873179762452,2.307064062803,0.604166208082623,3.81859169205222,0.000134215697824695,0.000819415398579655,"LOC126273138"
"LOC126273461",13.8614775037844,0.895495619120059,0.292382435299769,3.06275449892173,0.00219309900614904,0.00852270986681848,"LOC126273461"
"LOC126273459",246.604460069192,-0.718480048106092,0.161826764417916,-4.43980976008779,9.00384334667329e-06,7.94903624921378e-05,"LOC126273459"
"LOC126272933",41.6765912238851,1.73947800364717,0.229000687966952,7.59595099512628,3.05540147242726e-14,1.73356689764473e-12,"LOC126272933"
"LOC126272600",263.724926284813,0.401906903365103,0.139560058242571,2.87981323901816,0.00397910804424876,0.0139438082055668,"LOC126272600"
"LOC126272098",740.246382838132,-0.225143755304381,0.0569512030276911,-3.95327479201642,7.70888194755424e-05,0.00050675379476044,"LOC126272098"
"LOC126272263",635.22715118858,0.544673771687444,0.160948864538199,3.3841417474441,0.000714011309645978,0.00335853661714832,"LOC126272263"
"LOC126271941",1614.01485577207,-0.279494150891673,0.0754987683943615,-3.70196967229662,0.000213932194914171,0.00122085757723483,"LOC126271941"
"LOC126271944",1457.10885150969,0.140037804520054,0.0530683021601869,2.63882202406532,0.00831946445744132,0.0253899792645699,"LOC126271944"
"LOC126272593",419.529147495984,0.237426737727563,0.0721318285123065,3.29156688003626,0.000996309236435389,0.00444250216986873,"LOC126272593"
"LOC126273177",120.87739224429,-0.458770158925474,0.128233628077255,-3.57761194005278,0.000346747735867699,0.0018291659487963,"LOC126273177"
"LOC126273178",459.553729635428,-0.340139195147359,0.0577230035255192,-5.89261082017301,3.80140986456504e-09,8.71253111867815e-08,"LOC126273178"
"LOC126273180",48.4709596788145,-0.54644257479859,0.166876059996143,-3.27454144597626,0.00105833612959632,0.00466691503641678,"LOC126273180"
"LOC126272307",36.6962470332418,-0.985897089039294,0.232382241499048,-4.24256639698233,2.20978132618847e-05,0.000172012612256842,"LOC126272307"
"LOC126272155",338.16947675694,0.319359898904925,0.0700374800028518,4.55984279976837,5.11919276036072e-06,4.89525204335318e-05,"LOC126272155"
"LOC126272953",1281.19858096502,0.283311244536752,0.098949880832097,2.86317923937158,0.00419413231339022,0.0145495361719401,"LOC126272953"
"LOC126273152",685.304374002771,-0.291375971687252,0.0986818191580649,-2.95268139737612,0.00315026918913835,0.0114969515347456,"LOC126273152"
"LOC126272175",324.307047330545,-0.201971407186661,0.0792592064004798,-2.54823907983816,0.0108268243568585,0.0315711172321744,"LOC126272175"
"LOC126272172",1327.44462118619,0.158099283771157,0.0459112164343075,3.4435873420469,0.00057405114133546,0.00280242327735697,"LOC126272172"
"LOC126272176",77.4922485733287,-0.469862769608074,0.152278486521659,-3.08554924822717,0.00203176573846884,0.00803267928686692,"LOC126272176"
"LOC126272178",131.592745347742,-0.522079729620867,0.20928154063012,-2.49462866170113,0.0126089005631275,0.0355724253235108,"LOC126272178"
"LOC126272180",70.3055649380412,-0.488077405011096,0.140694751519086,-3.46905197060521,0.00052229840849411,0.00258938310013041,"LOC126272180"
"LOC126272292",99.4773447592622,0.548138546024727,0.13989537852185,3.91820338753444,8.9211418583328e-05,0.000575769954314846,"LOC126272292"
"LOC126272293",248.421944793136,0.374311839588305,0.108381636107802,3.45364632820264,0.000553062168596975,0.00271658008630588,"LOC126272293"
"LOC126272679",643.563602085594,0.681483845564199,0.233624753184417,2.91700188561035,0.00353413636269984,0.0126768150621597,"LOC126272679"
"LOC126272639",556.320733854659,0.473056966115185,0.120470677973416,3.92673946949627,8.61051609646988e-05,0.000558829936388075,"LOC126272639"
"LOC126271970",90.8049498217577,0.305555977543447,0.126512584476683,2.41522200188522,0.0157256216736026,0.0426680735994072,"LOC126271970"
"LOC126271971",74.0325519180225,-0.510409668508358,0.134057268670735,-3.80740017732273,0.000140435396493021,0.0008524956118069,"LOC126271971"
"LOC126273321",43.2611384153154,0.711788421427066,0.176112348280662,4.04167242317796,5.30713364388594e-05,0.00037042574137697,"LOC126273321"
"LOC126272788",790.84719599977,0.768824248544179,0.25650122638332,2.99735116040044,0.00272336808059306,0.0102134303516014,"LOC126272788"
