"gene_id","removal_source"
"LOC126356394","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356396","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356397","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356398","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356399","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356400","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356401","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356403","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356404","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356405","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356407","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356408","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356409","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356410","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356411","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356413","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356414","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356416","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356417","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356418","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356419","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356420","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356421","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356422","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356423","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356424","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356425","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356427","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356606","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356723","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126357303","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356378","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356390","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356428","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356429","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356430","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356402","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356415","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356431","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356426","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356437","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356432","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356433","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356434","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356435","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356495","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356436","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356438","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356439","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356440","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356441","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356442","data/excluded_loci/gregaria_rrna_list.txt"
