"gene_id","diet","DEG_set","log2FoldChange","padj","significant"
"LOC126278289","33","Diet 33",-1.87761801999949,0.00182372001062457,TRUE
"LOC126278308","33","Diet 33",1.75985503196029,0.00191009994685589,TRUE
"LOC126278341","33","Diet 33",-1.22914607553627,0.0187802576177988,TRUE
"LOC126278364","33","Diet 33",-2.39617089376686,0.0207937818000638,TRUE
"LOC126278365","33","Diet 33",-2.7111242269993,0.00978595552045832,TRUE
"LOC126278382","33","Diet 33",5.67669131492053,1.2317423921363e-05,TRUE
"LOC126278436","33","Diet 33",8.76776032447922,5.57463534838287e-09,TRUE
"LOC126278447","33","Diet 33",1.21791499129769,9.72430855397209e-05,TRUE
"LOC126278456","33","Diet 33",-2.89293629130977,0.000146994782815248,TRUE
"LOC126278485","33","Diet 33",-8.32593042897526,1.54939779277498e-12,TRUE
"LOC126278499","33","Diet 33",-22.0758860035944,8.63911505371691e-23,TRUE
"LOC126278501","33","Diet 33",-1.65723245092355,0.0305170058860207,TRUE
"LOC126278521","33","Diet 33",1.22455646454709,0.0317940660987775,TRUE
"LOC126278530","33","Diet 33",-1.03280489358629,0.00356753447728422,TRUE
"LOC126278549","33","Diet 33",-1.10677564122943,0.0172705143675063,TRUE
"LOC126278559","33","Diet 33",1.74855377656729,0.0333425244487727,TRUE
"LOC126278566","33","Diet 33",1.23348472434058,0.03754339544411,TRUE
"LOC126278567","33","Diet 33",-1.19329504106269,0.00695842282855625,TRUE
"LOC126278585","33","Diet 33",-4.61132732249668,0.0118829185760316,TRUE
"LOC126278622","33","Diet 33",-2.7579054925968,0.00213969393042347,TRUE
"LOC126278673","33","Diet 33",4.97612770755333,3.53852249178712e-06,TRUE
"LOC126278697","33","Diet 33",-1.23167492746111,0.00105017761286139,TRUE
"LOC126278707","33","Diet 33",2.1095131381396,0.000305630923486239,TRUE
"LOC126278735","33","Diet 33",1.6858877471388,0.005053848326685,TRUE
"LOC126278849","33","Diet 33",1.13082778394519,0.0144674473726156,TRUE
"LOC126278946","33","Diet 33",1.5422970323727,0.00429054626158587,TRUE
"LOC126278962","33","Diet 33",2.87972844982403,3.07673402467088e-12,TRUE
"LOC126278964","33","Diet 33",1.00639817806655,0.0121073688051901,TRUE
"LOC126278972","33","Diet 33",2.44043393044741,0.0145062630485474,TRUE
"LOC126279018","33","Diet 33",2.55877065397333,7.85975515524258e-13,TRUE
"LOC126279039","33","Diet 33",1.24781071474901,0.0317335787977095,TRUE
"LOC126279052","33","Diet 33",-1.58497252632526,0.025023420503897,TRUE
"LOC126279122","33","Diet 33",-1.54778997409428,0.0104038225099689,TRUE
"LOC126279221","33","Diet 33",-1.27741463918165,0.0243467333241805,TRUE
"LOC126279309","33","Diet 33",2.51802324830752,9.87014582873302e-14,TRUE
"LOC126279611","33","Diet 33",2.62771875381285,0.0114744121525683,TRUE
"LOC126280394","33","Diet 33",5.92112760590562,0.000478326404235424,TRUE
"LOC126281049","33","Diet 33",-7.28931840529208,0.0115535967347969,TRUE
"LOC126281065","33","Diet 33",1.5245967134549,0.0428171786262292,TRUE
"LOC126281097","33","Diet 33",1.17098938612603,0.0220869157722208,TRUE
"LOC126281165","33","Diet 33",2.39548294882648,0.00173367085068363,TRUE
"LOC126281245","33","Diet 33",1.16363753940786,0.000146319859848006,TRUE
"LOC126281275","33","Diet 33",-1.80603164596562,0.0269725179065076,TRUE
"LOC126281276","33","Diet 33",-1.8987946781946,0.0424937026390113,TRUE
"LOC126281280","33","Diet 33",-1.90841478361652,0.0322519381606875,TRUE
"LOC126281291","33","Diet 33",1.19265310662142,0.0355879197147761,TRUE
"LOC126281296","33","Diet 33",-1.2130869074069,0.0114744121525683,TRUE
"LOC126281299","33","Diet 33",-3.10024734032175,0.0152867612824782,TRUE
"LOC126281308","33","Diet 33",1.3234221149997,0.0426320546879994,TRUE
"LOC126281310","33","Diet 33",-1.5145371534677,0.0399438671673346,TRUE
"LOC126281341","33","Diet 33",-3.95683547672506,0.00191009994685589,TRUE
"LOC126281351","33","Diet 33",-1.95143088069523,0.00211405819450975,TRUE
