name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Saccharomycodaceae	34365	F	25	448	473	0.00007
Trichomonascaceae	410830	F	15	138	153	0.00002
Schizosaccharomycetaceae	4894	F	140	203	343	0.00005
Glomeraceae	36751	F	547	457	1004	0.00015
Unikaryonidae	36734	F	87	0	87	0.00001
Nosematidae	27974	F	50	9	59	0.00001
Dictyosteliaceae	2058185	F	6149	15575	21724	0.00326
Trypanosomatidae	5654	F	383	126	509	0.00008
Trichomonadidae	181550	F	177	20	197	0.00003
Hexamitidae	5739	F	47	2	49	0.00001
Hemiselmidaceae	589351	F	126	185	311	0.00005
Cyanidiaceae	265316	F	10	3	13	0.00000
Methanosarcinaceae	2206	F	241	10	251	0.00004
Methanomicrobiaceae	2194	F	35	0	35	0.00001
Methanospirillaceae	196137	F	14	2	16	0.00000
Haloferacaceae	1644056	F	63	18	81	0.00001
Natrialbaceae	1644061	F	58	6	64	0.00001
Haloarculaceae	1963268	F	38	2	40	0.00001
Haladaptataceae	3064797	F	21	7	28	0.00000
Natronomonadaceae	3402413	F	15	2	17	0.00000
Methanobacteriaceae	2159	F	123	873	996	0.00015
Methanococcaceae	2183	F	24	10	34	0.00001
Methanocaldococcaceae	196117	F	17	4	21	0.00000
Archaeoglobaceae	2232	F	58	0	58	0.00001
Thermococcaceae	2259	F	46	0	46	0.00001
Candidatus Methanoliparaceae	2545690	F	11	0	11	0.00000
Thermoplasmataceae	46659	F	13	0	13	0.00000
Nitrososphaeraceae	1033997	F	181	0	181	0.00003
Nitrosopumilaceae	338190	F	32	4	36	0.00001
Sulfolobaceae	118883	F	114	2	116	0.00002
Thermoproteaceae	2267	F	56	0	56	0.00001
Promethearchaeaceae	3366644	F	26	8	34	0.00001
Baculoviridae	10442	F	167312	0	167312	0.02512
Ackermannviridae	2169529	F	142	0	142	0.00002
Kyanoviridae	2946160	F	20	0	20	0.00000
Straboviridae	2946170	F	18	0	18	0.00000
Chimalliviridae	3152113	F	10	0	10	0.00000
Mimiviridae	549779	F	72	0	72	0.00001
Marseilleviridae	944644	F	29	0	29	0.00000
Phycodnaviridae	10501	F	11	0	11	0.00000
