"Gene","n_samples_ge_minCount","kept"
"LOC126345439",5,FALSE
"LOC126345465",44,TRUE
"LOC126345481",44,TRUE
"LOC126345497",44,TRUE
"LOC126345513",44,TRUE
"LOC126345529",44,TRUE
"LOC126345545",43,TRUE
"LOC126345588",44,TRUE
"LOC126345561",44,TRUE
"LOC126345604",44,TRUE
"LOC126345620",44,TRUE
"LOC126345646",44,TRUE
"LOC126345672",44,TRUE
"LOC126345708",44,TRUE
"LOC126345875",44,TRUE
"LOC126345893",44,TRUE
"LOC126345949",44,TRUE
"LOC126345965",44,TRUE
"LOC126346021",44,TRUE
"LOC126346037",44,TRUE
"LOC126346074",44,TRUE
"LOC126346130",44,TRUE
"LOC126346176",44,TRUE
"LOC126346192",44,TRUE
"LOC126346209",44,TRUE
"LOC126346225",41,TRUE
"LOC126346251",42,TRUE
"LOC126346267",1,FALSE
"LOC126346278",44,TRUE
"LOC126346304",44,TRUE
"LOC126348230",0,FALSE
"LOC126346320",38,TRUE
"LOC126346336",32,TRUE
"LOC126346393",44,TRUE
"LOC126346409",1,FALSE
"LOC126346425",29,TRUE
"LOC126346522",43,TRUE
"LOC126346548",0,FALSE
"LOC126346564",44,TRUE
"LOC126335413",0,FALSE
"LOC126346622",44,TRUE
"LOC126346580",44,TRUE
"LOC126346606",44,TRUE
"LOC126346648",44,TRUE
"LOC126346684",44,TRUE
"LOC126286453",1,FALSE
"LOC126346830",42,TRUE
"LOC126346862",44,TRUE
"LOC126346846",44,TRUE
"LOC126346878",44,TRUE
"LOC126346894",43,TRUE
"LOC126346910",44,TRUE
"LOC126346926",44,TRUE
"LOC126346953",44,TRUE
"LOC126346969",0,FALSE
"LOC126346985",44,TRUE
"LOC126348386",0,FALSE
"LOC126348544",0,FALSE
"LOC126347021",44,TRUE
"LOC126347047",41,TRUE
"LOC126348697",40,TRUE
"LOC126347063",44,TRUE
"LOC126347079",44,TRUE
"LOC126348854",0,FALSE
"LOC126349011",44,TRUE
"LOC126336639",0,FALSE
"LOC126336760",12,TRUE
"LOC126336895",0,FALSE
"LOC126347151",0,FALSE
"LOC126347167",44,TRUE
"LOC126347270",43,TRUE
"LOC126347233",44,TRUE
"LOC126337511",0,FALSE
"LOC126347296",44,TRUE
"LOC126347322",44,TRUE
"LOC126347338",44,TRUE
"LOC126347374",44,TRUE
"LOC126347401",44,TRUE
"LOC126338238",4,FALSE
"LOC126347417",44,TRUE
"LOC126347560",44,TRUE
"LOC126347463",44,TRUE
"LOC126347677",43,TRUE
"LOC126347621",43,TRUE
"LOC126347740",22,TRUE
"LOC126347693",44,TRUE
"LOC126347751",44,TRUE
"LOC126347767",44,TRUE
"LOC126347783",44,TRUE
"LOC126347864",32,TRUE
"LOC126347880",44,TRUE
"LOC126347901",44,TRUE
"LOC126347927",41,TRUE
"LOC126347943",44,TRUE
"LOC126348080",33,TRUE
"LOC126348001",0,FALSE
"LOC126347975",44,TRUE
"LOC126347959",44,TRUE
"LOC126348063",44,TRUE
"LOC126348037",44,TRUE
"LOC126348146",42,TRUE
"LOC126348162",44,TRUE
"LOC126348188",44,TRUE
"LOC126348204",44,TRUE
"LOC126348271",39,TRUE
"LOC126348287",28,TRUE
"LOC126348365",44,TRUE
"LOC126348392",44,TRUE
"LOC126348329",44,TRUE
"LOC126348303",44,TRUE
"LOC126348418",44,TRUE
"LOC126348459",42,TRUE
"LOC126348475",44,TRUE
"LOC126348491",44,TRUE
"LOC126348533",44,TRUE
"LOC126348507",44,TRUE
"LOC126348550",44,TRUE
"LOC126349167",0,FALSE
"LOC126348631",39,TRUE
"LOC126348728",44,TRUE
"LOC126348744",34,TRUE
"LOC126348796",0,FALSE
"LOC126348760",44,TRUE
"LOC126348812",44,TRUE
"LOC126339643",0,FALSE
"LOC126348838",12,TRUE
"LOC126349326",3,FALSE
"LOC126349483",6,TRUE
"LOC126286376",0,FALSE
"LOC126348855",0,FALSE
"LOC126348871",0,FALSE
"LOC126348887",10,TRUE
"LOC126348903",41,TRUE
"LOC126348989",44,TRUE
"LOC126349000",44,TRUE
"LOC126349037",44,TRUE
"LOC126349083",0,FALSE
"LOC126349639",0,FALSE
"LOC126349094",0,FALSE
"LOC126349145",0,FALSE
"LOC126349156",0,FALSE
"LOC126350317",1,FALSE
"LOC126349173",0,FALSE
"LOC126349184",0,FALSE
"LOC126349195",44,TRUE
"LOC126349211",44,TRUE
"LOC126349227",44,TRUE
"LOC126349273",40,TRUE
"LOC126346516",0,FALSE
"LOC126350473",0,FALSE
"LOC126349289",43,TRUE
"LOC126349315",33,TRUE
"LOC126349342",28,TRUE
"LOC126350630",10,TRUE
"LOC126349353",40,TRUE
"LOC126347709",2,FALSE
"LOC126349369",44,TRUE
"LOC126349385",44,TRUE
"LOC126350781",0,FALSE
"LOC126349411",43,TRUE
"LOC126350939",0,FALSE
"LOC126349427",43,TRUE
"LOC126351095",2,FALSE
"LOC126351251",0,FALSE
"LOC126349494",44,TRUE
"LOC126349587",4,FALSE
"LOC126349520",44,TRUE
"LOC126349633",44,TRUE
"LOC126349650",39,TRUE
