"heatmap_row_order","gene_id","GFF_Description","gene_biotype","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
428,"LOC126284276","mitotic spindle assembly checkpoint protein MAD2A","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.64414131939002,4.50059539198747e-07,1.70972525527472,"1039","Higher than gene mean"
429,"LOC126336750","DNA replication licensing factor Mcm7","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.08894697421774,3.49134864090768e-05,2.11363484934524,"1002","Lower than gene mean"
430,"LOC126336205","uncharacterized LOC126336205","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",3.58008264636997,8.47948983268174e-06,2.58958026612737,"1031","Higher than gene mean"
431,"LOC126337056","protein takeout-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.11678800738269,9.30004933139265e-20,2.22661856738606,"1031","Higher than gene mean"
432,"LOC126336625","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",4.11319359875358,2.62134798120712e-07,3.38010620651702,"1009","Higher than gene mean"
433,"LOC126277880","ribonucleoside-diphosphate reductase large subunit","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.00676790748366,0.00226912848472019,1.9265411681316,"1041","Higher than gene mean"
434,"LOC126282271","histone H2A.V","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.48899966026514,4.46575387281438e-10,2.21337823378898,"1039","Higher than gene mean"
435,"LOC126284573","deoxyuridine 5'-triphosphate nucleotidohydrolase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",2.00903793849306,1.42265984178028e-06,2.03622770235901,"1049","Lower than gene mean"
436,"LOC126295329","uncharacterized LOC126295329","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",1.20820808942014,0.0162270231115536,3.17458974735304,"1016","Lower than gene mean"
437,"LOC126293546","uncharacterized LOC126293546","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.19922042205976,5.81848524099316e-05,2.63451233446511,"1016","Lower than gene mean"
438,"LOC126342701","citramalyl-CoA lyase, mitochondrial-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.04324711548511,0.0492717871144775,3.3374160433443,"1016","Lower than gene mean"
439,"LOC126295330","uncharacterized LOC126295330","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.81182184264373,1.2129216034396e-05,1.95944428339019,"1041","Higher than gene mean"
440,"LOC126281636","cyclin-A2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.28771015567064,1.64290147620195e-05,1.9222424687797,"1058","Lower than gene mean"
441,"LOC126334907","uncharacterized LOC126334907","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.63959940087535,9.15749968226095e-05,2.40295797558956,"1016","Lower than gene mean"
442,"LOC126279052","thymidine kinase, cytosolic-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.58497252632526,0.00019348787773354,1.99351387224195,"1039","Higher than gene mean"
443,"LOC126298232","uncharacterized LOC126298232","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.29437806713334,0.0258476527754915,1.45970940506247,"1039","Higher than gene mean"
444,"LOC126284310","wee1-like protein kinase","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.19628752759347,0.032466487575311,2.03808739143228,"1020","Lower than gene mean"
445,"LOC126299530","uncharacterized LOC126299530","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.78601329783792,7.38889704430079e-07,2.81351732847814,"1024","Lower than gene mean"
446,"LOC126281576","proline-rich antigen-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.01977009120426,0.0187757937875399,2.42636932795848,"1003","Higher than gene mean"
