"scenario","comparison_type","comparison","phase_class","phase_shift","direction","n_genes"
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Shared head/thorax phase DEG","Mixed head/thorax phase signal","Upregulated",1
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Shared head/thorax phase DEG","Numerator more gregarious-like","Downregulated",22
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Shared head/thorax phase DEG","Numerator more gregarious-like","Upregulated",5
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Shared head/thorax phase DEG","Numerator more solitarious-like","Downregulated",8
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Shared head/thorax phase DEG","Numerator more solitarious-like","Upregulated",5
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Thorax phase DEG only","Numerator more gregarious-like","Downregulated",41
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Thorax phase DEG only","Numerator more gregarious-like","Upregulated",12
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Thorax phase DEG only","Numerator more solitarious-like","Downregulated",3
"Current outliers removed","Infection within diet","Diet 33: infected vs control","Thorax phase DEG only","Numerator more solitarious-like","Upregulated",14
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Head phase DEG only","Numerator more gregarious-like","Downregulated",4
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Head phase DEG only","Numerator more gregarious-like","Upregulated",16
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Head phase DEG only","Numerator more solitarious-like","Downregulated",3
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Head phase DEG only","Numerator more solitarious-like","Upregulated",20
"Current outliers removed","Infection within diet","Diet 50: infected vs control","No phase DEG","Not phase-associated","Downregulated",185
"Current outliers removed","Infection within diet","Diet 50: infected vs control","No phase DEG","Not phase-associated","Upregulated",286
"Current outliers removed","Infection within diet","Diet 50: infected vs control","No phase reference","Not phase-associated","Downregulated",153
"Current outliers removed","Infection within diet","Diet 50: infected vs control","No phase reference","Not phase-associated","Upregulated",2053
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Shared head/thorax phase DEG","Mixed head/thorax phase signal","Upregulated",2
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Shared head/thorax phase DEG","Numerator more gregarious-like","Downregulated",19
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Shared head/thorax phase DEG","Numerator more gregarious-like","Upregulated",15
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Shared head/thorax phase DEG","Numerator more solitarious-like","Downregulated",5
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Shared head/thorax phase DEG","Numerator more solitarious-like","Upregulated",11
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Thorax phase DEG only","Numerator more gregarious-like","Downregulated",49
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Thorax phase DEG only","Numerator more gregarious-like","Upregulated",21
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Thorax phase DEG only","Numerator more solitarious-like","Downregulated",14
"Current outliers removed","Infection within diet","Diet 50: infected vs control","Thorax phase DEG only","Numerator more solitarious-like","Upregulated",29
"Current outliers removed","Infection within diet","Diet 83: infected vs control","Head phase DEG only","Numerator more gregarious-like","Downregulated",3
"Current outliers removed","Infection within diet","Diet 83: infected vs control","Head phase DEG only","Numerator more gregarious-like","Upregulated",8
"Current outliers removed","Infection within diet","Diet 83: infected vs control","Head phase DEG only","Numerator more solitarious-like","Downregulated",1
"Current outliers removed","Infection within diet","Diet 83: infected vs control","Head phase DEG only","Numerator more solitarious-like","Upregulated",11
"Current outliers removed","Infection within diet","Diet 83: infected vs control","No phase DEG","Not phase-associated","Downregulated",74
"Current outliers removed","Infection within diet","Diet 83: infected vs control","No phase DEG","Not phase-associated","Upregulated",140
"Current outliers removed","Infection within diet","Diet 83: infected vs control","No phase reference","Not phase-associated","Downregulated",58
"Current outliers removed","Infection within diet","Diet 83: infected vs control","No phase reference","Not phase-associated","Upregulated",154
"Current outliers removed","Infection within diet","Diet 83: infected vs control","Shared head/thorax phase DEG","Numerator more gregarious-like","Downregulated",14
"Current outliers removed","Infection within diet","Diet 83: infected vs control","Shared head/thorax phase DEG","Numerator more gregarious-like","Upregulated",5
"Current outliers removed","Infection within diet","Diet 83: infected vs control","Shared head/thorax phase DEG","Numerator more solitarious-like","Downregulated",2
"Current outliers removed","Infection within diet","Diet 83: infected vs control","Shared head/thorax phase DEG","Numerator more solitarious-like","Upregulated",4
"Current outliers removed","Infection within diet","Diet 83: infected vs control","Thorax phase DEG only","Numerator more gregarious-like","Downregulated",25
"Current outliers removed","Infection within diet","Diet 83: infected vs control","Thorax phase DEG only","Numerator more gregarious-like","Upregulated",9
"Current outliers removed","Infection within diet","Diet 83: infected vs control","Thorax phase DEG only","Numerator more solitarious-like","Upregulated",11
"Expanded outlier set","Diet contrasts among control","Control 33 vs 50","No phase reference","Not phase-associated","Upregulated",2
"Expanded outlier set","Diet contrasts among control","Control 33 vs 50","Shared head/thorax phase DEG","Numerator more solitarious-like","Upregulated",4
"Expanded outlier set","Diet contrasts among control","Control 83 vs 33","Head phase DEG only","Numerator more gregarious-like","Downregulated",1
"Expanded outlier set","Diet contrasts among control","Control 83 vs 33","Head phase DEG only","Numerator more gregarious-like","Upregulated",2
"Expanded outlier set","Diet contrasts among control","Control 83 vs 33","No phase DEG","Not phase-associated","Downregulated",2
"Expanded outlier set","Diet contrasts among control","Control 83 vs 33","No phase DEG","Not phase-associated","Upregulated",18
"Expanded outlier set","Diet contrasts among control","Control 83 vs 33","No phase reference","Not phase-associated","Downregulated",17
"Expanded outlier set","Diet contrasts among control","Control 83 vs 33","No phase reference","Not phase-associated","Upregulated",47
"Expanded outlier set","Diet contrasts among control","Control 83 vs 33","Shared head/thorax phase DEG","Numerator more gregarious-like","Downregulated",6
"Expanded outlier set","Diet contrasts among control","Control 83 vs 33","Shared head/thorax phase DEG","Numerator more gregarious-like","Upregulated",2
"Expanded outlier set","Diet contrasts among control","Control 83 vs 33","Shared head/thorax phase DEG","Numerator more solitarious-like","Downregulated",2
"Expanded outlier set","Diet contrasts among control","Control 83 vs 33","Thorax phase DEG only","Numerator more gregarious-like","Downregulated",5
"Expanded outlier set","Diet contrasts among control","Control 83 vs 33","Thorax phase DEG only","Numerator more solitarious-like","Upregulated",2
"Expanded outlier set","Diet contrasts among control","Control 83 vs 50","Head phase DEG only","Numerator more gregarious-like","Downregulated",1
"Expanded outlier set","Diet contrasts among control","Control 83 vs 50","No phase DEG","Not phase-associated","Upregulated",11
"Expanded outlier set","Diet contrasts among control","Control 83 vs 50","No phase reference","Not phase-associated","Downregulated",1
"Expanded outlier set","Diet contrasts among control","Control 83 vs 50","No phase reference","Not phase-associated","Upregulated",9
"Expanded outlier set","Diet contrasts among control","Control 83 vs 50","Shared head/thorax phase DEG","Numerator more gregarious-like","Upregulated",2
