"gene_id","vst_variance","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway","PFAMs","n_phase_tissues","phase_tissues","phase_directions","phase_mean_log2FC","phase_max_abs_log2FC","head_phase_log2FC","thorax_phase_log2FC","head_phase_padj","thorax_phase_padj","phase_consensus","phase_class","label"
"LOC126334878",6.07024678946188,"unannotated","Larval serum protein",NA,NA,NA,NA,2,"Head + Thorax","Solitarious-up",-6.2801778440626,6.45457516685712,-6.45457516685712,-6.10578052126808,2.04034789654704e-23,2.19035347212795e-14,"Solitarious-up","Shared head/thorax phase DEG","LOC126334878 | unannotated | Larval serum protein"
"LOC126282092",6.05232573736248,"unannotated","N-terminal domain in C. elegans NRF-6 (Nose Resistant to Fluoxetine-4) and NDG-4 (resistant to nordihydroguaiaretic acid-4).",NA,NA,NA,"Acyl_transf_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126282092 | unannotated | N-terminal domain in C. elegans NRF-6 (..."
"LOC126284004",6.01152022682654,"unannotated","Pacifastin inhibitor (LCMII)",NA,NA,NA,"Pacifastin_I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126284004 | unannotated | Pacifastin inhibitor (LCMII)"
"LOC126294949",6.00045874919727,"unannotated","meprin and TRAF homology","GO:0000151,GO:0000209,GO:0001654,GO:0001736,GO:0001738,GO:0001745,GO:0001932,GO:0001934,GO:0002009,GO:0003002,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006464,GO:0006508,GO:0006511,GO:0006515,GO:0006807,GO:0006950,GO:0007163,GO:0007164,GO:0007275,GO:0007350,GO:0007365,GO:0007367,GO:0007389,GO:0007423,GO:0008150,GO:0008152,GO:0008589,GO:0009056,GO:0009057,GO:0009653,GO:0009790,GO:0009880,GO:0009887,GO:0009888,GO:0009893,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0010033,GO:0010498,GO:0010562,GO:0010604,GO:0010646,GO:0010647,GO:0010648,GO:0010941,GO:0010942,GO:0016567,GO:0019005,GO:0019220,GO:0019222,GO:0019538,GO:0019899,GO:0019941,GO:0023051,GO:0023056,GO:0023057,GO:0030162,GO:0030163,GO:0031323,GO:0031325,GO:0031399,GO:0031401,GO:0031461,GO:0031625,GO:0031647,GO:0031648,GO:0032268,GO:0032270,GO:0032386,GO:0032387,GO:0032446,GO:0032501,GO:0032502,GO:0032872,GO:0032874,GO:0032879,GO:0032880,GO:0032991,GO:0033157,GO:0033554,GO:0035282,GO:0035966,GO:0035967,GO:0036211,GO:0042067,GO:0042221,GO:0042306,GO:0042308,GO:0042325,GO:0042327,GO:0042802,GO:0042803,GO:0042981,GO:0043065,GO:0043067,GO:0043068,GO:0043161,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043408,GO:0043410,GO:0043412,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044389,GO:0044424,GO:0044464,GO:0045879,GO:0045937,GO:0046328,GO:0046330,GO:0046822,GO:0046823,GO:0046983,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0048592,GO:0048729,GO:0048731,GO:0048749,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0051049,GO:0051051,GO:0051171,GO:0051173,GO:0051174,GO:0051223,GO:0051224,GO:0051246,GO:0051247,GO:0051603,GO:0051716,GO:0051788,GO:0051865,GO:0060255,GO:0060341,GO:0060429,GO:0065007,GO:0065008,GO:0070201,GO:0070302,GO:0070304,GO:0070647,GO:0070887,GO:0071218,GO:0071310,GO:0071630,GO:0071704,GO:0080090,GO:0080134,GO:0080135,GO:0090087,GO:0090317,GO:0090596,GO:1900180,GO:1900181,GO:1901044,GO:1901564,GO:1901565,GO:1901575,GO:1902494,GO:1902531,GO:1902533,GO:1903827,GO:1903828,GO:1904589,GO:1904590,GO:1904950,GO:1990234","ko:K10523","ko04340,ko04341,map04340,map04341","BTB,MATH",1,"Thorax","Solitarious-up",-1.00504157373989,1.00504157373989,NA,-1.00504157373989,NA,0.00226366716481666,"Solitarious-up","Thorax phase DEG only","LOC126294949 | unannotated | meprin and TRAF homology"
"LOC126339612",5.9673030627354,"unannotated","Vault protein inter-alpha-trypsin domain",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126339612 | unannotated | Vault protein inter-alpha-trypsin domain"
"LOC126323918",5.92226901391381,"unannotated","It is involved in the biological process described with carbohydrate metabolic process",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126323918 | unannotated | It is involved in the biological proces..."
"LOC126271975",5.91247505818661,"unannotated","Alpha-lactalbumin / lysozyme C","GO:0003674,GO:0003796,GO:0003824,GO:0004553,GO:0005575,GO:0005576,GO:0005615,GO:0006950,GO:0006952,GO:0008150,GO:0008152,GO:0009056,GO:0009605,GO:0009607,GO:0009617,GO:0009987,GO:0016787,GO:0016798,GO:0016998,GO:0042742,GO:0043170,GO:0043207,GO:0044036,GO:0044237,GO:0044248,GO:0044260,GO:0044421,GO:0050829,GO:0050830,GO:0050896,GO:0051704,GO:0051707,GO:0061783,GO:0071554,GO:0071704,GO:0098542","ko:K13915","ko04970,map04970","Lys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126271975 | unannotated | Alpha-lactalbumin / lysozyme C"
"LOC126334873",5.87976281191597,"unannotated","Larval serum protein",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126334873 | unannotated | Larval serum protein"
"LOC126335114",5.86636362610612,"unannotated","Belongs to the type-B carboxylesterase lipase family",NA,NA,NA,"COesterase",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126335114 | unannotated | Belongs to the type-B carboxylesterase ..."
"LOC126282065",5.83564280117285,"TRPL","Belongs to the transient receptor (TC 1.A.4) family","GO:0000041,GO:0003008,GO:0003674,GO:0005215,GO:0005216,GO:0005261,GO:0005262,GO:0005488,GO:0005515,GO:0005516,GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0005887,GO:0005902,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0006828,GO:0006873,GO:0006874,GO:0006875,GO:0006950,GO:0007154,GO:0007165,GO:0007589,GO:0007600,GO:0007601,GO:0007602,GO:0007603,GO:0007605,GO:0008150,GO:0008324,GO:0009314,GO:0009416,GO:0009581,GO:0009582,GO:0009583,GO:0009584,GO:0009605,GO:0009628,GO:0009987,GO:0010461,GO:0015075,GO:0015085,GO:0015267,GO:0015279,GO:0015318,GO:0016020,GO:0016021,GO:0016027,GO:0016028,GO:0019722,GO:0019725,GO:0019897,GO:0019898,GO:0019932,GO:0022803,GO:0022838,GO:0022857,GO:0022890,GO:0023052,GO:0030001,GO:0030003,GO:0030425,GO:0031224,GO:0031226,GO:0031253,GO:0031528,GO:0032501,GO:0032991,GO:0033554,GO:0033583,GO:0034059,GO:0034220,GO:0034702,GO:0034703,GO:0035556,GO:0035996,GO:0035997,GO:0036293,GO:0036294,GO:0036477,GO:0042221,GO:0042592,GO:0042802,GO:0042995,GO:0043005,GO:0044425,GO:0044459,GO:0044463,GO:0044464,GO:0046873,GO:0046903,GO:0046982,GO:0046983,GO:0048878,GO:0050789,GO:0050794,GO:0050801,GO:0050877,GO:0050878,GO:0050896,GO:0050906,GO:0050908,GO:0050953,GO:0050954,GO:0050962,GO:0051179,GO:0051234,GO:0051480,GO:0051606,GO:0051716,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0070482,GO:0070588,GO:0070838,GO:0070887,GO:0071453,GO:0071454,GO:0071944,GO:0072503,GO:0072507,GO:0072511,GO:0097447,GO:0097458,GO:0098590,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0098796,GO:0098797,GO:0098858,GO:0120025,GO:0120038,GO:1902495,GO:1990351","ko:K13803","ko04745,map04745","Ank,Ank_2,Ank_3,Ion_trans,TRP_2",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126282065 | TRPL | Belongs to the transient receptor (TC 1..."
"LOC126284316",5.78325883707175,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126284316 | unannotated | no description"
"LOC126295163",5.77110777173599,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126295163 | unannotated | no description"
"LOC126267970",5.70972100477902,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126267970 | unannotated | no description"
"LOC126355630",5.69995237074922,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126355630 | unannotated | no description"
"LOC126341434",5.57577398927772,"unannotated","Transferase activity, transferring phosphorus-containing groups",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126341434 | unannotated | Transferase activity, transferring phos..."
"LOC126269384",5.56520381980449,"unannotated","Lysosome-associated membrane glycoprotein (Lamp)",NA,NA,NA,"Lamp",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126269384 | unannotated | Lysosome-associated membrane glycoprote..."
"LOC126278166",5.49203974275924,"unannotated","Zinc finger protein",NA,NA,NA,"zf-C2H2",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126278166 | unannotated | Zinc finger protein"
