"scenario","comparison_type","comparison","direction","timecourse_reference_set","n_fat_body_degs","n_reference_genes","n_overlap","percent_fat_body_degs","percent_reference_genes","jaccard","overlap_gene_ids"
"All samples","Infection within diet","Diet 50: infected vs control","Downregulated","Higher in gregarious/crowded reference",518,241,25,4.82625482625483,10.3734439834025,0.0340599455040872,"LOC126268728;LOC126269368;LOC126272370;LOC126277893;LOC126278364;LOC126278365;LOC126278622;LOC126281715;LOC126281958;LOC126284898;LOC126291919;LOC126295285;LOC126299062;LOC126299150;LOC126299171;LOC126327089;LOC126333672;LOC126334779;LOC126335894;LOC126336866;LOC126353877;LOC126354065;LOC126355150;LOC126355184;LOC126356321"
"All samples","Infection within diet","Diet 50: infected vs control","Upregulated","Higher in solitarious/isolated reference",794,133,18,2.26700251889169,13.5338345864662,0.0198019801980198,"LOC126266748;LOC126272290;LOC126272724;LOC126278180;LOC126281635;LOC126282035;LOC126284305;LOC126284880;LOC126285233;LOC126305117;LOC126321085;LOC126334632;LOC126334999;LOC126335117;LOC126336415;LOC126336578;LOC126349825;LOC126356364"
"All samples","Infection within diet","Diet 50: infected vs control","Downregulated","Higher in solitarious/isolated reference",518,133,14,2.7027027027027,10.5263157894737,0.021978021978022,"LOC126267253;LOC126281302;LOC126282020;LOC126295405;LOC126326589;LOC126335450;LOC126336399;LOC126336529;LOC126336534;LOC126336910;LOC126337056;LOC126354081;LOC126354185;LOC126355146"
"All samples","Infection within diet","Diet 83: infected vs control","Upregulated","Top absolute single-pair shifts",342,500,33,9.64912280701754,6.6,0.0407911001236094,"LOC126267936;LOC126271895;LOC126272290;LOC126272997;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126281729;LOC126284371;LOC126284502;LOC126284857;LOC126284880;LOC126285233;LOC126292260;LOC126293693;LOC126305117;LOC126330722;LOC126334632;LOC126335036;LOC126335117;LOC126336415;LOC126336578;LOC126337066;LOC126339239;LOC126349825;LOC126353997;LOC126354672;LOC126354704;LOC126355597;LOC126356328"
"All samples","Infection within diet","Diet 83: infected vs control","Upregulated","Any large single-pair shift",342,374,28,8.18713450292398,7.48663101604278,0.0406976744186047,"LOC126271895;LOC126272290;LOC126272997;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126284371;LOC126284502;LOC126284880;LOC126285233;LOC126292260;LOC126305117;LOC126330722;LOC126334632;LOC126335117;LOC126336415;LOC126336578;LOC126337066;LOC126339239;LOC126349825;LOC126353997;LOC126354672;LOC126354704;LOC126355597;LOC126356328"
"All samples","Infection within diet","Diet 83: infected vs control","Downregulated","Top absolute single-pair shifts",177,500,21,11.864406779661,4.2,0.0320121951219512,"LOC126267104;LOC126281302;LOC126281398;LOC126281520;LOC126281958;LOC126284086;LOC126284088;LOC126284552;LOC126284612;LOC126293692;LOC126298779;LOC126335106;LOC126335184;LOC126336399;LOC126336866;LOC126336910;LOC126337056;LOC126344004;LOC126354081;LOC126354185;LOC126365627"
"All samples","Infection within diet","Diet 83: infected vs control","Downregulated","Any large single-pair shift",177,374,18,10.1694915254237,4.81283422459893,0.0337711069418387,"LOC126267104;LOC126281302;LOC126281398;LOC126281520;LOC126281958;LOC126284086;LOC126284088;LOC126284612;LOC126293692;LOC126298779;LOC126335106;LOC126336399;LOC126336866;LOC126336910;LOC126337056;LOC126354081;LOC126354185;LOC126365627"
"All samples","Infection within diet","Diet 83: infected vs control","Upregulated","Higher in gregarious/crowded reference",342,241,17,4.97076023391813,7.05394190871369,0.0300353356890459,"LOC126271895;LOC126272997;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126284371;LOC126284502;LOC126330722;LOC126337066;LOC126339239;LOC126353997;LOC126354672;LOC126354704;LOC126356328"
"All samples","Infection within diet","Diet 83: infected vs control","Downregulated","Higher in solitarious/isolated reference",177,133,12,6.77966101694915,9.02255639097744,0.0402684563758389,"LOC126281302;LOC126281398;LOC126281520;LOC126284086;LOC126284088;LOC126298779;LOC126335106;LOC126336399;LOC126336910;LOC126337056;LOC126354081;LOC126354185"
"All samples","Infection within diet","Diet 83: infected vs control","Upregulated","Higher in solitarious/isolated reference",342,133,11,3.21637426900585,8.27067669172932,0.0237068965517241,"LOC126272290;LOC126284880;LOC126285233;LOC126292260;LOC126305117;LOC126334632;LOC126335117;LOC126336415;LOC126336578;LOC126349825;LOC126355597"
"All samples","Infection within diet","Diet 83: infected vs control","Downregulated","Higher in gregarious/crowded reference",177,241,6,3.38983050847458,2.4896265560166,0.0145631067961165,"LOC126267104;LOC126281958;LOC126284612;LOC126293692;LOC126336866;LOC126365627"
"Current outliers removed","Diet contrasts among control","Control 33 vs 50","Upregulated","Any large single-pair shift",6,374,1,16.6666666666667,0.267379679144385,0.00263852242744063,"LOC126272465"
"Current outliers removed","Diet contrasts among control","Control 33 vs 50","Upregulated","Higher in gregarious/crowded reference",6,241,1,16.6666666666667,0.4149377593361,0.0040650406504065,"LOC126272465"
"Current outliers removed","Diet contrasts among control","Control 33 vs 50","Upregulated","Top absolute single-pair shifts",6,500,1,16.6666666666667,0.2,0.00198019801980198,"LOC126272465"
"Current outliers removed","Diet contrasts among control","Control 33 vs 50","Upregulated","Higher in solitarious/isolated reference",6,133,0,0,0,0,""
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Downregulated","Top absolute single-pair shifts",33,500,12,36.3636363636364,2.4,0.0230326295585413,"LOC126272465;LOC126278199;LOC126281231;LOC126284988;LOC126291424;LOC126336534;LOC126336535;LOC126336866;LOC126337066;LOC126344004;LOC126354934;LOC126355150"
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Downregulated","Any large single-pair shift",33,374,9,27.2727272727273,2.40641711229947,0.0226130653266332,"LOC126272465;LOC126278199;LOC126284988;LOC126291424;LOC126336534;LOC126336866;LOC126337066;LOC126354934;LOC126355150"
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Downregulated","Higher in gregarious/crowded reference",33,241,8,24.2424242424242,3.3195020746888,0.0300751879699248,"LOC126272465;LOC126278199;LOC126284988;LOC126291424;LOC126336866;LOC126337066;LOC126354934;LOC126355150"
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Upregulated","Top absolute single-pair shifts",71,500,6,8.45070422535211,1.2,0.0106194690265487,"LOC126268018;LOC126272511;LOC126278052;LOC126295405;LOC126334600;LOC126336910"
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Upregulated","Any large single-pair shift",71,374,5,7.04225352112676,1.33689839572193,0.0113636363636364,"LOC126268018;LOC126272511;LOC126295405;LOC126334600;LOC126336910"
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Upregulated","Higher in solitarious/isolated reference",71,133,5,7.04225352112676,3.7593984962406,0.0251256281407035,"LOC126268018;LOC126272511;LOC126295405;LOC126334600;LOC126336910"
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Downregulated","Higher in solitarious/isolated reference",33,133,1,3.03030303030303,0.75187969924812,0.00606060606060606,"LOC126336534"
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Upregulated","Higher in gregarious/crowded reference",71,241,0,0,0,0,""
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Upregulated","Top absolute single-pair shifts",25,500,6,24,1.2,0.0115606936416185,"LOC126268018;LOC126272511;LOC126278052;LOC126295405;LOC126297583;LOC126356065"
