"gene_id","timecourse_fatbody_gregarious_minus_solitarious","abs_timecourse_delta","tissue_matched_direction","exploratory_shift"
"LOC126267635",-0.162516239226987,0.162516239226987,"Higher in solitarious/isolated reference",FALSE
"LOC126266931",-0.284078571512216,0.284078571512216,"Higher in solitarious/isolated reference",FALSE
"LOC126267202",-0.723118378484495,0.723118378484495,"Higher in solitarious/isolated reference",FALSE
"LOC126267465",-0.12241123065298,0.12241123065298,"Higher in solitarious/isolated reference",FALSE
"LOC126266618",-0.309682574341343,0.309682574341343,"Higher in solitarious/isolated reference",FALSE
"LOC126266847",-0.652346436079176,0.652346436079176,"Higher in solitarious/isolated reference",FALSE
"LOC126266845",0.323818953337206,0.323818953337206,"Higher in gregarious/crowded reference",FALSE
"LOC126267893",-0.108769234632192,0.108769234632192,"Higher in solitarious/isolated reference",FALSE
"LOC126266848",0,0,"No difference in single-pair reference",FALSE
"LOC126267894",0.0473412670747226,0.0473412670747226,"Higher in gregarious/crowded reference",FALSE
"LOC126266850",-0.106132549269913,0.106132549269913,"Higher in solitarious/isolated reference",FALSE
"LOC126365848",0.134326063801372,0.134326063801372,"Higher in gregarious/crowded reference",FALSE
"LOC126365849",-0.109578429311355,0.109578429311355,"Higher in solitarious/isolated reference",FALSE
"LOC126267895",0.18745771784346,0.18745771784346,"Higher in gregarious/crowded reference",FALSE
"LOC126267456",-0.123035722281033,0.123035722281033,"Higher in solitarious/isolated reference",FALSE
"LOC126266689",-0.0426815887676408,0.0426815887676408,"Higher in solitarious/isolated reference",FALSE
"LOC126267898",0.228624700959638,0.228624700959638,"Higher in gregarious/crowded reference",FALSE
"LOC126365962",0.0137858388493566,0.0137858388493566,"Higher in gregarious/crowded reference",FALSE
"LOC126365963",0.543689401099934,0.543689401099934,"Higher in gregarious/crowded reference",FALSE
"LOC126267449",0.0762206700887962,0.0762206700887962,"Higher in gregarious/crowded reference",FALSE
"LOC126267450",0,0,"No difference in single-pair reference",FALSE
"LOC126266892",-0.0819982006405215,0.0819982006405215,"Higher in solitarious/isolated reference",FALSE
"LOC126267899",0.0567004080369502,0.0567004080369502,"Higher in gregarious/crowded reference",FALSE
"LOC126266677",0.657860863497863,0.657860863497863,"Higher in gregarious/crowded reference",FALSE
"LOC126365893",0.0480282335668871,0.0480282335668871,"Higher in gregarious/crowded reference",FALSE
"LOC126267237",-0.135818874743164,0.135818874743164,"Higher in solitarious/isolated reference",FALSE
"LOC126267589",-0.172957901601407,0.172957901601407,"Higher in solitarious/isolated reference",FALSE
"LOC126365936",-0.372346557365955,0.372346557365955,"Higher in solitarious/isolated reference",FALSE
"LOC126365932",-0.275037974931726,0.275037974931726,"Higher in solitarious/isolated reference",FALSE
"LOC126365935",0.220957192429814,0.220957192429814,"Higher in gregarious/crowded reference",FALSE
"LOC126365934",-0.080611245342185,0.080611245342185,"Higher in solitarious/isolated reference",FALSE
"LOC126365933",-0.475273025097625,0.475273025097625,"Higher in solitarious/isolated reference",FALSE
"LOC126365767",-0.227059376461394,0.227059376461394,"Higher in solitarious/isolated reference",FALSE
"LOC126365765",0.271855561303276,0.271855561303276,"Higher in gregarious/crowded reference",FALSE
"LOC126365782",-0.0057808761685969,0.0057808761685969,"Higher in solitarious/isolated reference",FALSE
"LOC126365784",0,0,"No difference in single-pair reference",FALSE
"LOC126267900",-0.28543555594888,0.28543555594888,"Higher in solitarious/isolated reference",FALSE
"LOC126266714",0.0491755110485323,0.0491755110485323,"Higher in gregarious/crowded reference",FALSE
"LOC126267902",-0.283560606389486,0.283560606389486,"Higher in solitarious/isolated reference",FALSE
"LOC126266716",0.00147336141525845,0.00147336141525845,"Higher in gregarious/crowded reference",FALSE
"LOC126266717",0.0353805605779689,0.0353805605779689,"Higher in gregarious/crowded reference",FALSE
"LOC126267904",0.206734899894733,0.206734899894733,"Higher in gregarious/crowded reference",FALSE
"LOC126266718",0.122180019017501,0.122180019017501,"Higher in gregarious/crowded reference",FALSE
"LOC126266719",0.443493973975375,0.443493973975375,"Higher in gregarious/crowded reference",FALSE
"LOC126266720",-0.0214069768649798,0.0214069768649798,"Higher in solitarious/isolated reference",FALSE
"LOC126267905",0.342562842805348,0.342562842805348,"Higher in gregarious/crowded reference",FALSE
"LOC126266721",0.0945917787938289,0.0945917787938289,"Higher in gregarious/crowded reference",FALSE
"LOC126267907",0.0567004080369502,0.0567004080369502,"Higher in gregarious/crowded reference",FALSE
"LOC126267908",-0.12414422592878,0.12414422592878,"Higher in solitarious/isolated reference",FALSE
"LOC126266722",0.0651212816449425,0.0651212816449425,"Higher in gregarious/crowded reference",FALSE
"LOC126267909",0,0,"No difference in single-pair reference",FALSE
"LOC126267910",0.240879017621845,0.240879017621845,"Higher in gregarious/crowded reference",FALSE
"LOC126267155",-0.215269125376817,0.215269125376817,"Higher in solitarious/isolated reference",FALSE
"LOC126365823",0.190694233680315,0.190694233680315,"Higher in gregarious/crowded reference",FALSE
"LOC126365826",0.176049603562532,0.176049603562532,"Higher in gregarious/crowded reference",FALSE
"LOC126365825",-0.390793826228061,0.390793826228061,"Higher in solitarious/isolated reference",FALSE
"LOC126365828",0.0209207778117468,0.0209207778117468,"Higher in gregarious/crowded reference",FALSE
"LOC126365829",-0.281563867921255,0.281563867921255,"Higher in solitarious/isolated reference",FALSE
"LOC126365830",0.0201824922575051,0.0201824922575051,"Higher in gregarious/crowded reference",FALSE
"LOC126365827",-0.0791160639423989,0.0791160639423989,"Higher in solitarious/isolated reference",FALSE
"LOC126365929",-0.466266240037081,0.466266240037081,"Higher in solitarious/isolated reference",FALSE
"LOC126365817",0.270245719800932,0.270245719800932,"Higher in gregarious/crowded reference",FALSE
"LOC126365818",0.128619399415298,0.128619399415298,"Higher in gregarious/crowded reference",FALSE
"LOC126365819",0.20697950039827,0.20697950039827,"Higher in gregarious/crowded reference",FALSE
"LOC126267914",-0.0214069768649798,0.0214069768649798,"Higher in solitarious/isolated reference",FALSE
"LOC126267915",0.00147336141525845,0.00147336141525845,"Higher in gregarious/crowded reference",FALSE
"LOC126267916",0.454137118850798,0.454137118850798,"Higher in gregarious/crowded reference",FALSE
"LOC126267518",0.2692330026489,0.2692330026489,"Higher in gregarious/crowded reference",FALSE
