"gene_id","n_reference_tissues","tissue_vst_range","highest_reference_tissue","lowest_reference_tissue","reference_tissue_means"
"LOC126272583",3,0.297887570345872,"Head","Fat body","Fat body=5.82; Head=6.12; Thorax=6"
"LOC126272584",3,1.71293656154528,"Fat body","Thorax","Fat body=9; Head=7.9; Thorax=7.28"
"LOC126272585",3,0.113036705688957,"Fat body","Thorax","Fat body=6.76; Head=6.72; Thorax=6.65"
"LOC126272586",3,0.469759649031338,"Thorax","Fat body","Fat body=7.48; Head=7.79; Thorax=7.95"
"LOC126272587",3,1.14125860850056,"Head","Thorax","Fat body=9.04; Head=9.39; Thorax=8.25"
"LOC126272588",3,0.360307427048284,"Thorax","Fat body","Fat body=6.35; Head=6.67; Thorax=6.71"
"LOC126272589",3,2.08723391395663,"Head","Fat body","Fat body=6.92; Head=9.01; Thorax=8.1"
"LOC126272590",3,0.350542653089978,"Thorax","Fat body","Fat body=5.94; Head=6.24; Thorax=6.3"
"LOC126272591",3,0.165215334157326,"Thorax","Fat body","Fat body=8.06; Head=8.22; Thorax=8.22"
"LOC126272592",3,0.250444426689648,"Head","Fat body","Fat body=6.04; Head=6.29; Thorax=6.27"
"LOC126272593",3,0.546923014086083,"Fat body","Thorax","Fat body=8.63; Head=8.11; Thorax=8.08"
"LOC126272594",3,0.310435266669528,"Thorax","Fat body","Fat body=6.5; Head=6.7; Thorax=6.81"
"LOC126272595",3,0.0899761487570965,"Fat body","Thorax","Fat body=6.95; Head=6.89; Thorax=6.86"
"LOC126272596",3,0.141712492672321,"Thorax","Head","Fat body=8.43; Head=8.43; Thorax=8.57"
"LOC126272597",3,0,"Fat body","Fat body","Fat body=5.37; Head=5.37; Thorax=5.37"
"LOC126272598",3,5.49291755323789,"Fat body","Head","Fat body=11.38; Head=5.89; Thorax=7.58"
"LOC126272599",3,1.29890947168507,"Fat body","Head","Fat body=7.59; Head=6.29; Thorax=6.42"
"LOC126272600",3,1.30356704652029,"Head","Fat body","Fat body=6.33; Head=7.63; Thorax=6.64"
"LOC126272601",3,0.0707138943650145,"Thorax","Head","Fat body=6.75; Head=6.7; Thorax=6.77"
"LOC126272602",3,0.661679641803889,"Fat body","Thorax","Fat body=7.99; Head=7.47; Thorax=7.33"
