"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database","pathway_theme","pathway_scope"
"ko04742","Taste transduction","8/630","17/3983",0.470588235294118,2.97516339869281,3.5371645255522,0.0024097887241492,0.0604440834728775,0.0604440834728775,"LOC126298404/LOC126281810/LOC126297585/LOC126298918/LOC126281447/LOC126278518/LOC126355437/LOC126355973",8,"All infection DEGs","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko01120","Microbial metabolism in diverse environments","37/630","149/3983",0.248322147651007,1.56994780014914,3.07330942291897,0.00247353936379996,0.0604440834728775,0.0604440834728775,"LOC126336251/LOC126298632/LOC126334613/LOC126335505/LOC126336244/LOC126297494/LOC126325353/LOC126284898/LOC126354995/LOC126334596/LOC126281958/LOC126334891/LOC126298400/LOC126365957/LOC126281954/LOC126355949/LOC126266827/LOC126268126/LOC126323251/LOC126272256/LOC126355885/LOC126336866/LOC126268518/LOC126350022/LOC126365941/LOC126335242/LOC126272511/LOC126274964/LOC126354574/LOC126272888/LOC126272715/LOC126293368/LOC126336122/LOC126281446/LOC126281532/LOC126354590/LOC126295405",37,"All infection DEGs","KEGG_pathway","Detoxification and secondary metabolism","Broad KEGG reference map"
"ko00980","Metabolism of xenobiotics by cytochrome P450","25/630","90/3983",0.277777777777778,1.75617283950617,3.14488126192253,0.00248662368717534,0.0604440834728775,0.0604440834728775,"LOC126267788/LOC126331335/LOC126281562/LOC126282422/LOC126336730/LOC126282396/LOC126272831/LOC126272928/LOC126272560/LOC126272724/LOC126272716/LOC126281954/LOC126336692/LOC126341237/LOC126293679/LOC126336695/LOC126281694/LOC126336625/LOC126343748/LOC126336888/LOC126293680/LOC126281410/LOC126281404/LOC126272926/LOC126354649",25,"All infection DEGs","KEGG_pathway","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko00410","beta-Alanine metabolism","11/630","29/3983",0.379310344827586,2.39808429118774,3.2750516109096,0.00319458034548113,0.0672991592781357,0.0672991592781357,"LOC126336251/LOC126298632/LOC126284548/LOC126335256/LOC126297821/LOC126354995/LOC126337850/LOC126268126/LOC126292317/LOC126350022/LOC126281446",11,"All infection DEGs","KEGG_pathway","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko01523","Antifolate resistance","11/630","29/3983",0.379310344827586,2.39808429118774,3.2750516109096,0.00319458034548113,0.0672991592781357,0.0672991592781357,"LOC126335579/LOC126325353/LOC126284428/LOC126297511/LOC126335577/LOC126335166/LOC126282030/LOC126355148/LOC126293737/LOC126271913/LOC126298974",11,"All infection DEGs","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko04740","Olfactory transduction","9/630","22/3983",0.409090909090909,2.58636363636364,3.23381961682851,0.00417817685668548,0.0803488223606844,0.0803488223606844,"LOC126334943/LOC126353858/LOC126297585/LOC126354034/LOC126363150/LOC126335781/LOC126355586/LOC126284350/LOC126336082",9,"All infection DEGs","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko04624","Toll and Imd signaling pathway","17/630","56/3983",0.303571428571429,1.91924603174603,3.00261363545454,0.00444350612849333,0.0803488223606844,0.0803488223606844,"LOC126282207/LOC126355040/LOC126334780/LOC126266641/LOC126267545/LOC126281204/LOC126298648/LOC126355037/LOC126355748/LOC126267442/LOC126282030/LOC126355041/LOC126293578/LOC126281581/LOC126336325/LOC126293579/LOC126334779",17,"All infection DEGs","KEGG_pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko05204","Chemical carcinogenesis - DNA adducts","24/630","89/3983",0.269662921348315,1.70486891385768,2.91480505021245,0.0045768316534567,0.0803488223606844,0.0803488223606844,"LOC126267788/LOC126331335/LOC126281562/LOC126282422/LOC126336730/LOC126282396/LOC126272831/LOC126272928/LOC126272560/LOC126272724/LOC126272716/LOC126281954/LOC126336692/LOC126341237/LOC126293679/LOC126336695/LOC126336625/LOC126343748/LOC126336888/LOC126293680/LOC126281410/LOC126281404/LOC126272926/LOC126354649",24,"All infection DEGs","KEGG_pathway","Genetic information processing","Reference disease pathway"
"ko00982","Drug metabolism - cytochrome P450","23/630","85/3983",0.270588235294118,1.71071895424837,2.8707182428894,0.00520902078934701,0.0862289912386026,0.0862289912386026,"LOC126267788/LOC126331335/LOC126281562/LOC126282422/LOC126336730/LOC126282396/LOC126272831/LOC126272928/LOC126272560/LOC126272724/LOC126272716/LOC126281954/LOC126336692/LOC126341237/LOC126266827/LOC126336695/LOC126336625/LOC126336888/LOC126272888/LOC126281410/LOC126281404/LOC126272926/LOC126354649",23,"All infection DEGs","KEGG_pathway","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko01130","Biosynthesis of antibiotics","45/630","198/3983",0.227272727272727,1.43686868686869,2.73309480252872,0.00566468169170315,0.0862289912386026,0.0862289912386026,"LOC126299078/LOC126336251/LOC126334613/LOC126298865/LOC126335505/LOC126278485/LOC126336244/LOC126278697/LOC126297494/LOC126324953/LOC126298221/LOC126325353/LOC126284898/LOC126336379/LOC126334596/LOC126281958/LOC126281265/LOC126293404/LOC126361126/LOC126298400/LOC126299364/LOC126365957/LOC126281954/LOC126333363/LOC126268218/LOC126272256/LOC126284756/LOC126352958/LOC126282460/LOC126350022/LOC126365941/LOC126335242/LOC126274964/LOC126291591/LOC126354574/LOC126267473/LOC126293368/LOC126293737/LOC126281672/LOC126299185/LOC126281446/LOC126281532/LOC126354590/LOC126295405/LOC126284812",45,"All infection DEGs","KEGG_pathway","Detoxification and secondary metabolism","Broad KEGG reference map"
