"term","gene"
"ko04614","LOC126351857"
"ko04010","LOC126352059"
"ko04214","LOC126352059"
"ko04390","LOC126352059"
"ko04391","LOC126352059"
"ko04392","LOC126352059"
"ko00534","LOC126352265"
"ko01100","LOC126352265"
"ko00480","LOC126352401"
"ko00590","LOC126352401"
"ko04918","LOC126352401"
"ko00480","LOC126352417"
"ko00590","LOC126352417"
"ko04918","LOC126352417"
"ko04024","LOC126353813"
"ko04080","LOC126353813"
"ko04918","LOC126353813"
"ko04923","LOC126353813"
"ko05320","LOC126353813"
"ko04138","LOC126352433"
"ko04140","LOC126352433"
"ko04141","LOC126352433"
"ko05160","LOC126352433"
"ko05162","LOC126352433"
"ko05164","LOC126352433"
"ko05168","LOC126352433"
"ko05169","LOC126352433"
"ko03010","LOC126352550"
"ko00130","LOC126352722"
"ko01100","LOC126352722"
"ko01110","LOC126352722"
"ko04624","LOC126352738"
"ko04115","LOC126352829"
"ko04120","LOC126352829"
"ko04712","LOC126352829"
"ko04714","LOC126352855"
"ko00330","LOC126352958"
"ko01100","LOC126352958"
"ko01110","LOC126352958"
"ko01130","LOC126352958"
"ko04146","LOC126353066"
"ko00515","LOC126353082"
"ko01100","LOC126353082"
"ko00515","LOC126365859"
"ko01100","LOC126365859"
"ko04970","LOC126353098"
"ko04978","LOC126353098"
"ko03008","LOC126353207"
"ko03013","LOC126353207"
"ko05166","LOC126353207"
"ko05169","LOC126353207"
"ko04130","LOC126353114"
"ko04721","LOC126353114"
"ko04911","LOC126353114"
"ko05031","LOC126353114"
"ko00230","LOC126354885"
"ko00240","LOC126354885"
"ko01100","LOC126354885"
"ko03020","LOC126354885"
"ko03030","LOC126353476"
"ko03410","LOC126353476"
"ko03420","LOC126353476"
"ko03430","LOC126353476"
"ko00860","LOC126353502"
"ko03320","LOC126353529"
"ko04151","LOC126353529"
"ko04659","LOC126353529"
"ko04919","LOC126353529"
"ko04920","LOC126353529"
"ko04932","LOC126353529"
"ko04976","LOC126353529"
"ko05160","LOC126353529"
"ko05200","LOC126353529"
"ko05202","LOC126353529"
"ko05216","LOC126353529"
"ko05222","LOC126353529"
"ko05223","LOC126353529"
"ko05226","LOC126353529"
"ko00532","LOC126269276"
"ko04550","LOC126353863"
"ko03010","LOC126353946"
"ko04142","LOC126354011"
"ko03008","LOC126354059"
"ko03013","LOC126354059"
"ko04714","LOC126354066"
"ko05225","LOC126354066"
"ko04919","LOC126354082"
"ko01521","LOC126354139"
"ko04010","LOC126354139"
"ko04014","LOC126354139"
"ko00020","LOC126354194"
"ko00561","LOC126354194"
"ko00564","LOC126354194"
"ko00565","LOC126354194"
"ko00600","LOC126354194"
"ko00640","LOC126354194"
"ko01100","LOC126354194"
"ko01110","LOC126354194"
"ko01120","LOC126354194"
"ko01130","LOC126354194"
"ko01200","LOC126354194"
