"gene_id","diet","DEG_set","log2FoldChange","padj","significant"
"LOC126336465",33,"Diet 33",-2.71781983525557,0.0227757248573464,TRUE
"LOC126336471",33,"Diet 33",-1.08511013068014,0.0312229306561386,TRUE
"LOC126336499",33,"Diet 33",3.13290166838412,1.52475271885416e-06,TRUE
"LOC126336535",33,"Diet 33",-4.40953390118952,0.00170400458447589,TRUE
"LOC126336534",33,"Diet 33",-5.57738528898355,8.06453619346945e-06,TRUE
"LOC126336529",33,"Diet 33",-3.36672447198408,0.00191267572122278,TRUE
"LOC126336539",33,"Diet 33",-4.59150214157914,3.05380657505451e-06,TRUE
"LOC126336538",33,"Diet 33",-4.3278423471974,3.70787075892069e-05,TRUE
"LOC126336531",33,"Diet 33",-3.19902284484474,0.00762278274088451,TRUE
"LOC126336537",33,"Diet 33",-2.99412793983673,0.0118130728414451,TRUE
"LOC126336532",33,"Diet 33",-3.56378649112848,0.000747961725008365,TRUE
"LOC126336541",33,"Diet 33",-3.12044860322582,0.0135232354969731,TRUE
"LOC126336533",33,"Diet 33",-3.97422465974292,9.19217029915555e-05,TRUE
"LOC126335678",33,"Diet 33",-4.99841234704623,0.0221384400782417,TRUE
"LOC126336542",33,"Diet 33",-2.26249737926403,0.0110485660231424,TRUE
"LOC126336543",33,"Diet 33",-1.79012720058255,0.0342643024752567,TRUE
"LOC126336546",33,"Diet 33",4.11964749890153,1.90266659797307e-06,TRUE
"LOC126336549",33,"Diet 33",4.44931957079894,0.0258832088004927,TRUE
"LOC126336554",33,"Diet 33",7.63646070580556,5.38564737801755e-10,TRUE
"LOC126336557",33,"Diet 33",-1.09706348038002,0.0289981314858744,TRUE
"LOC126335606",33,"Diet 33",1.97874884525715,0.043761106193301,TRUE
"LOC126335605",33,"Diet 33",1.47643892343594,0.0286539430871559,TRUE
"LOC126336562",33,"Diet 33",-1.01873718552425,0.00307812231546526,TRUE
"LOC126336565",33,"Diet 33",1.98023517492587,1.1113781415059e-05,TRUE
"LOC126335682",33,"Diet 33",-1.37742747190808,0.0418864550910582,TRUE
"LOC126336578",33,"Diet 33",5.19772798416463,4.41155876172595e-10,TRUE
"LOC126336593",33,"Diet 33",2.20798721918242,0.00171950485297096,TRUE
