"GeneID","Description"
"LOC126267584","uncharacterized LOC126267584"
"LOC126267585","atrial natriuretic peptide receptor 1-like"
"LOC126267588","lipase 3-like"
"LOC126267596","Down syndrome cell adhesion molecule-like protein Dscam2"
"LOC126267611","uncharacterized LOC126267611"
"LOC126267612","uncharacterized LOC126267612"
"LOC126267620","serine/arginine repetitive matrix protein 1-like"
"LOC126267626","uncharacterized LOC126267626"
"LOC126267627","uncharacterized LOC126267627"
"LOC126267628","uncharacterized LOC126267628"
"LOC126267629","uncharacterized LOC126267629"
"LOC126267652","peptidoglycan-recognition protein SC1a-like"
"LOC126267655","trypsin-1-like"
"LOC126267658","synaptic vesicle glycoprotein 2A-like"
"LOC126267661","uncharacterized LOC126267661"
"LOC126267666","uncharacterized LOC126267666"
"LOC126267670","uncharacterized LOC126267670"
"LOC126267671","peptidoglycan-recognition protein SD-like"
"LOC126267678","insulinoma-associated protein 1a-like"
"LOC126267681","facilitated trehalose transporter Tret1-like"
"LOC126267684","uncharacterized LOC126267684"
"LOC126267685","homeobox protein Hox-B4-like"
"LOC126267690","proclotting enzyme-like"
"LOC126267691","A disintegrin and metalloproteinase with thrombospondin motifs adt-2-like"
"LOC126267711","hairy/enhancer-of-split related with YRPW motif protein"
"LOC126267719","zinc finger MYM-type protein 5-like"
"LOC126267733","trace amine-associated receptor 1-like"
"LOC126267739","homeobox protein Hox-D9-like"
"LOC126267743","paired box protein Pax-1"
"LOC126267745","synaptotagmin-5"
"LOC126267750","protein masquerade"
"LOC126267752","acetylcholinesterase collagenic tail peptide-like"
"LOC126267755","uncharacterized LOC126267755"
"LOC126267759","AF4/FMR2 family member lilli-like"
"LOC126267767","E3 ubiquitin-protein ligase Zswim2-like"
"LOC126267772","laminin subunit gamma-1-like"
"LOC126267773","laminin subunit gamma-1-like"
"LOC126267774","G-protein coupled receptor 52-like"
"LOC126267781","translation initiation factor IF-2-like"
"LOC126267782","endothelin-converting enzyme-like 1"
"LOC126267787","ecdysone-induced protein 78C"
"LOC126267795","dopamine receptor 2-like"
"LOC126267806","sodium/potassium/calcium exchanger Nckx30C"
"LOC126267809","TWiK family of potassium channels protein 7-like"
"LOC126267821","kappa-type opioid receptor-like"
"LOC126267822","neuropeptide Y receptor type 1-like"
"LOC126267831","proline-rich protein 36-like"
"LOC126267832","nascent polypeptide-associated complex subunit alpha%2C muscle-specific form-like"
"LOC126267836","piggyBac transposable element-derived protein 3-like"
"LOC126267838","plasma membrane calcium-transporting ATPase 4-like"
"LOC126267844","uncharacterized LOC126267844"
"LOC126267846","uncharacterized LOC126267846"
"LOC126267853","piggyBac transposable element-derived protein 3-like"
"LOC126267854","piggyBac transposable element-derived protein 2-like"
"LOC126267855","uncharacterized LOC126267855"
"LOC126267856","uncharacterized LOC126267856"
