"heatmap_row_order","gene_id","Description","DEG_scope","n_infection_diets","infection_diets","directions","comparisons","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
2067,"LOC126329584","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.33295195497348,0.00336211692002185,3.22393481740696,"1037","Higher than gene average"
2068,"LOC126318444","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",8.3231148046496,0.00201994825583362,3.03845755455498,"1037","Higher than gene average"
2069,"LOC126316432","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.76072304993371,0.00465367166871262,2.8611191839119,"1037","Higher than gene average"
2070,"LOC126319963","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",8.14864819570999,0.00161205315670924,3.05955535245138,"1037","Higher than gene average"
2071,"LOC126318670","U5 snRNA binding. It is involved in the biological process described with mRNA splicing, via spliceosome","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.98170796848111,0.00145158543129431,3.18393892562179,"1037","Higher than gene average"
2072,"LOC126318198","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.46477220241306,0.00970955410832556,3.38772906630889,"1037","Higher than gene average"
2073,"LOC126314427","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.32205851458108,0.00972679220063739,3.13046786042995,"1037","Higher than gene average"
2074,"LOC126326045","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.71837938455883,0.00704287247473206,3.04764803422833,"1037","Higher than gene average"
2075,"LOC126326124","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.40601873702326,0.00993797629542478,3.04307449823618,"1037","Higher than gene average"
2076,"LOC126326520","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.36795798952081,0.00555454362271126,3.22600398154865,"1037","Higher than gene average"
2077,"LOC126318207","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.67648457688028,0.00772636832892403,3.14804154308497,"1037","Higher than gene average"
2078,"LOC126326076","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.45535876342663,0.00492389650123763,3.22273897769967,"1037","Higher than gene average"
2079,"LOC126326509","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.9021772381111,0.00548091403240013,3.29745745141461,"1037","Higher than gene average"
2080,"LOC126316998","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.0725202303345,0.00652708481567226,3.33768221517177,"1037","Higher than gene average"
2081,"LOC126319957","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.45221869262946,0.0046174448512547,3.16319230501216,"1037","Higher than gene average"
2082,"LOC126316772","Dimerisation and cyclophilin-binding domain of Mon2","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",8.44919955799043,0.00236743536539828,3.17378719675413,"1037","Higher than gene average"
2083,"LOC126332764","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",8.09572922986544,0.00201748612105006,3.01129654238408,"1037","Higher than gene average"
2084,"LOC126313368","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.71260258878602,0.00215994202960285,2.9902104485231,"1037","Higher than gene average"
2085,"LOC126329981","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.85514987445804,0.00206408750850475,3.01645459570717,"1037","Higher than gene average"
2086,"LOC126326200","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",8.17543568025978,0.0027063573124692,3.15631525112115,"1037","Higher than gene average"
2087,"LOC126311225","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.95023166052071,0.0032943585444364,3.25072361755151,"1037","Higher than gene average"
2088,"LOC126320362","CPSF A subunit region","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.45943236543545,0.00421822523239023,3.07544520197016,"1037","Higher than gene average"
2089,"LOC126316973","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.55160548216239,0.00230787088854219,3.1061611786923,"1037","Higher than gene average"
2090,"LOC126316674","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.85049242541231,0.00421224519168741,2.92927993902362,"1037","Higher than gene average"
2091,"LOC126311180","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.74876489069795,0.0030935393017451,3.12227315648295,"1037","Higher than gene average"
2092,"LOC126315336","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.24208531021204,0.00382080171829365,3.03992576570575,"1037","Higher than gene average"
2093,"LOC126326229","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.82194861611502,0.00216303985285883,3.0710431795861,"1037","Higher than gene average"
2094,"LOC126316747","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.66113322971726,0.0081367362419103,3.14364398199508,"1037","Higher than gene average"
