source_sheet,umbrella,subcategory,gene_id,description_workbook,description_gff,gene_biotype,seqid,significant_in_current_unplaced_analysis,n_significant_contrasts,significant_contrasts,higher_expression_conditions
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126325806,60S ribosomal protein L6-like,60S ribosomal protein L6-like,protein_coding,NW_026062299.1,TRUE,3,Infected: diet 50 vs 33; Infected: diet 83 vs 33; Diet 33: infected vs control,Infected diet 50; Infected diet 83; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126325812,40S ribosomal protein S2-like,40S ribosomal protein S2-like,protein_coding,NW_026062299.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,RNA Polymerases & Transcription Machinery,LOC126326048,RNA polymerase-associated protein RTF1 homolog,RNA polymerase-associated protein RTF1 homolog,protein_coding,NW_026062315.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126326057,40S ribosomal protein S4-like,40S ribosomal protein S4-like,protein_coding,NW_026062315.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,RNA Polymerases & Transcription Machinery,LOC126326066,RNA polymerase-associated protein CTR9 homolog,RNA polymerase-associated protein CTR9 homolog,protein_coding,NW_026062315.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126326116,translation initiation factor eIF-2B subunit delta-like,translation initiation factor eIF-2B subunit delta-like,protein_coding,NW_026062325.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126326525,eukaryotic translation initiation factor 3 subunit D-like,eukaryotic translation initiation factor 3 subunit D-like,protein_coding,NW_026062344.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126329065,elongation factor 1-alpha-like,elongation factor 1-alpha-like,protein_coding,NW_026062491.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,RNA Polymerases & Transcription Machinery,LOC126332392,DNA-directed RNA polymerase III subunit rpc2-like,DNA-directed RNA polymerase III subunit rpc2-like,protein_coding,NW_026062747.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Protein Synthesis & Translation,RNA Polymerases & Transcription Machinery,LOC126332393,DNA-directed RNA polymerase I subunit rpa1-like,DNA-directed RNA polymerase I subunit rpa1-like,protein_coding,NW_026062747.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
