"DEG_context","comparison_type","comparison","numerator","denominator","diet","gene_id","log2FoldChange"
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278849",1.13082778394519
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278946",1.5422970323727
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278962",2.87972844982403
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278964",1.00639817806655
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126278972",2.44043393044741
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126279018",2.55877065397333
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126279039",1.24781071474901
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126279052",-1.58497252632526
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126279122",-1.54778997409428
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126279221",-1.27741463918165
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126279309",2.51802324830752
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126279611",2.62771875381285
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126280394",5.92112760590562
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281049",-7.28931840529208
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281065",1.5245967134549
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281097",1.17098938612603
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281165",2.39548294882648
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281245",1.16363753940786
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281275",-1.80603164596562
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281276",-1.8987946781946
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281280",-1.90841478361652
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281291",1.19265310662142
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281296",-1.2130869074069
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281299",-3.10024734032175
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281308",1.3234221149997
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281310",-1.5145371534677
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281341",-3.95683547672506
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281351",-1.95143088069523
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281387",-2.23829405468345
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281398",-1.59707417907169
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281399",-1.4690155740824
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281404",-1.56964135868518
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281421",-1.73050272332213
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281438",-5.76684456563178
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281446",-1.25011117057628
