"gene_id","experiment_deg","n_experiment_contrasts","experiment_families","experiment_comparisons","experiment_directions","experiment_max_abs_log2FC","experiment_min_padj"
"LOC126334891",TRUE,1,"Infection within diet","Diet 83: infected vs control","Downregulated",1.0361654374447,0.0432555777770106
"LOC126334907",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.24870459781137,0.000751010204182856
"LOC126334909",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.48746712042969,0.0106726609070615
"LOC126334929",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",1.32047717626637,0.000144780326436763
"LOC126334943",TRUE,1,"Infection within diet","Diet 33: infected vs control","Downregulated",1.38638260866915,5.02950354313334e-05
"LOC126334946",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Downregulated",1.38142986195083,0.00108124517616951
"LOC126334947",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.81298175982154,5.93014721125264e-10
"LOC126334948",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Downregulated",1.4278112325999,1.60264263917064e-06
"LOC126334955",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",2.33720560764467,0.000200003897148171
"LOC126334969",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",1.46636211013255,3.47949111150749e-09
"LOC126334976",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",4.65513997890127,4.35101515384881e-10
"LOC126334991",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",1.48113932416404,1.97878400017264e-05
"LOC126334994",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",3.67299168774858,7.98934208770363e-08
"LOC126334998",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",2.33081152897404,2.57967072608914e-06
"LOC126334999",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",3.27702032087794,1.59478156785931e-09
"LOC126335001",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",5.05442260720545,3.97373949421562e-07
"LOC126335013",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",1.50178211583693,0.00212569681973131
"LOC126335014",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",3.15563689445935,1.11207221732685e-05
"LOC126335021",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Downregulated",1.62388015841651,0.00397704831994
