"gene_id","tissue_reference_deg","phase_reference_deg","diet_control_deg","fatbody_infection_deg","membership_label","diet_infected_deg","head_phase_deg","thorax_phase_deg","phase_reference_source","fatbody_experiment_deg","n_tissue_contrasts","tissue_comparisons","tissue_directions","tissue_max_abs_log2FC","tissue_min_padj","experiment_deg","n_experiment_contrasts","experiment_families","experiment_comparisons","experiment_directions","experiment_max_abs_log2FC","experiment_min_padj","head_log2FC","head_padj","head_direction","thorax_log2FC","thorax_padj","thorax_direction","Preferred_name","Description","combined_priority_score","any_phase_change","fatbody_diet_deg","has_tissue_overlay","has_phase_overlay","primary_annotation_group","logical_category","heatmap_category","gene_label"
"LOC126285463",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,TRUE,TRUE,"Head + thorax",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",7.15396924579224,4.04532587446698e-09,NA,NA,NA,NA,NA,NA,NA,-2.47771286915097,1.23754730063141e-35,"Solitarious-up",-1.94922214252029,2.62267679083644e-07,"Solitarious-up","unannotated","Juvenile hormone binding protein domains in insects.",85.4626441649428,TRUE,FALSE,TRUE,TRUE,"DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","LOC126285463 | unannotated | Juvenile hormone binding protein do..."
"LOC126353961",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,TRUE,TRUE,"Head + thorax",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",6.39419188018009,0.00166585582937551,NA,NA,NA,NA,NA,NA,NA,-2.01217343169992,3.87816083331082e-12,"Solitarious-up",-5.3267957129311,3.78917993676528e-42,"Solitarious-up","Y-h","Major royal jelly protein",85.3443525668213,TRUE,FALSE,TRUE,TRUE,"DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","LOC126353961 | Y-h | Major royal jelly protein"
"LOC126336342",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,TRUE,FALSE,"Head",FALSE,1,"Fat body vs Head","Higher in Head",1.43484363568527,0.0023818275649204,NA,NA,NA,NA,NA,NA,NA,1.33497985156587,2.16517473929554e-72,"Gregarious-up",NA,NA,NA,"unannotated","no description",85.0574202185898,TRUE,FALSE,TRUE,TRUE,"DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","LOC126336342 | unannotated | no description"
"LOC126337060",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,FALSE,TRUE,"Thorax",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",8.12603819445656,5.93721127256739e-49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.05712863053574,0.00183911888295304,"Solitarious-up","unannotated","Haemolymph juvenile hormone binding protein (JHBP)",84.1449745181627,TRUE,FALSE,TRUE,TRUE,"DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","LOC126337060 | unannotated | Haemolymph juvenile hormone binding..."
"LOC126354240",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,TRUE,TRUE,"Head + thorax",FALSE,2,"Fat body vs Head; Head vs Thorax","Higher in Fat body; Higher in Thorax",2.14268585945962,0.00249030612034506,NA,NA,NA,NA,NA,NA,NA,1.35538523522635,5.60364339886532e-11,"Gregarious-up",2.92884334500702,3.95389696821412e-48,"Gregarious-up","unannotated","It is involved in the biological process described with transmembrane transport",82.6851658654715,TRUE,FALSE,TRUE,TRUE,"DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","LOC126354240 | unannotated | It is involved in the biological pr..."
"LOC126278052",TRUE,FALSE,TRUE,FALSE,"DEG tissues + DEG Diet (controls)",FALSE,FALSE,FALSE,"Not phase",TRUE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",2.06169226959897,0.000293449535662256,TRUE,3,"Diet contrasts: controls; Diet contrasts: infected","Control 83 vs 33; Control 83 vs 50; Infected 83 vs 33","Upregulated",7.02825925767748,1.21091788917064e-43,NA,NA,NA,NA,NA,NA,"unannotated","GTP binding. It is involved in the biological process described with gluconeogenesis",101.539303405454,FALSE,TRUE,TRUE,FALSE,"DEG Diet (controls), no phase","DEG Diet (controls), no phase","DEG Diet (controls), no phase","LOC126278052 | unannotated | GTP binding. It is involved in the ..."
"LOC126299365",TRUE,FALSE,TRUE,FALSE,"DEG tissues + DEG Diet (controls)",FALSE,FALSE,FALSE,"Not phase",TRUE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",3.32452639506084,9.46011085558416e-62,TRUE,1,"Diet contrasts: controls","Control 83 vs 33","Upregulated",1.42175616928318,0.00396527859927803,NA,NA,NA,NA,NA,NA,"ade5","It is involved in the biological process described with 'de novo' IMP biosynthetic process",94.1721126326327,FALSE,TRUE,TRUE,FALSE,"DEG Diet (controls), no phase","DEG Diet (controls), no phase","DEG Diet (controls), no phase","LOC126299365 | ade5 | It is involved in the biological pr..."
"LOC126268018",TRUE,FALSE,TRUE,FALSE,"DEG tissues + DEG Diet (controls)",FALSE,FALSE,FALSE,"Not phase",TRUE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Fat body; Higher in Head",3.0843444396793,4.82116976913711e-18,TRUE,4,"Diet contrasts: controls; Diet contrasts: infected","Control 83 vs 33; Control 83 vs 50; Infected 33 vs 50; Infected 83 vs 33","Downregulated; Upregulated",2.93695312579256,0.000183939962179497,NA,NA,NA,NA,NA,NA,"unannotated","Major Facilitator Superfamily",91.07346904794,FALSE,TRUE,TRUE,FALSE,"DEG Diet (controls), no phase","DEG Diet (controls), no phase","DEG Diet (controls), no phase","LOC126268018 | unannotated | Major Facilitator Superfamily"
"LOC126356047",TRUE,FALSE,TRUE,FALSE,"DEG tissues + DEG Diet (controls)",FALSE,FALSE,FALSE,"Not phase",TRUE,1,"Fat body vs Thorax","Higher in Fat body",3.16924140605744,0.0418727586374275,TRUE,5,"Diet contrasts: controls; Diet contrasts: infected","Control 33 vs 50; Control 83 vs 33; Control 83 vs 50; Infected 33 vs 50; Infected 83 vs 33","Downregulated; Upregulated",7.87556482129656,9.36622013055102e-14,NA,NA,NA,NA,NA,NA,"unannotated","no description",83.4513102929598,FALSE,TRUE,TRUE,FALSE,"DEG Diet (controls), no phase","DEG Diet (controls), no phase","DEG Diet (controls), no phase","LOC126356047 | unannotated | no description"
"LOC126354610",TRUE,FALSE,TRUE,FALSE,"DEG tissues + DEG Diet (controls)",FALSE,FALSE,FALSE,"Not phase",TRUE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",3.06819051177875,1.01000847234529e-33,TRUE,2,"Diet contrasts: controls; Diet contrasts: infected","Control 83 vs 33; Infected 83 vs 33","Upregulated",2.19506706319369,2.23496429932313e-05,NA,NA,NA,NA,NA,NA,"unannotated","It is involved in the biological process described with purine nucleobase biosynthetic process",78.9096619679147,FALSE,TRUE,TRUE,FALSE,"DEG Diet (controls), no phase","DEG Diet (controls), no phase","DEG Diet (controls), no phase","LOC126354610 | unannotated | It is involved in the biological pr..."
