"gene","control_only","infection_only","pairwise_diet","within_diet","full_model"
"LOC126304692",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304694",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304696",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304682",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304683",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304699",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304732",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304733",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304734",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304660",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304654",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304653",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304678",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304736",FALSE,TRUE,FALSE,FALSE,FALSE
"LOC126304710",FALSE,TRUE,FALSE,FALSE,FALSE
