"heatmap_row_order","gene_id","Description","DEG_scope","n_infection_diets","infection_diets","directions","comparisons","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
1073,"LOC126273028","Insect pheromone-binding family, A10/OS-D","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",5.46842629513459,0.000361131438881546,2.90509811600734,"1046","Higher than gene average"
1074,"LOC126273032","Insect pheromone-binding family, A10/OS-D","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.25552576670618,0.00064191602973365,3.85059044077117,"1027","Higher than gene average"
1075,"LOC126271618","zinc metalloproteinase","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",3.95617533305859,0.00204844731059798,2.34725272599158,"1025","Higher than gene average"
1076,"LOC126298233","ionotropic glutamate receptor activity","DEG in 3 diets",3,"33; 50; 83","Higher in infected","Diet 33; Diet 50; Diet 83: infected vs control",7.76694447139593,3.45344483542158e-09,2.14434906465188,"1046","Higher than gene average"
1077,"LOC126299559","Transmembrane transporter activity. It is involved in the biological process described with transmembrane transport","DEG in 3 diets",3,"33; 50; 83","Higher in infected","Diet 33; Diet 50; Diet 83: infected vs control",3.13514168383545,8.76372956149559e-17,2.61700045402374,"1023","Higher than gene average"
1078,"LOC126337850","Oxidoreductase activity. It is involved in the biological process described with oxidation-reduction process","DEG in 3 diets",3,"33; 50; 83","Higher in infected","Diet 33; Diet 50; Diet 83: infected vs control",3.50082566166168,1.23571222423576e-16,2.01450935170304,"1023","Higher than gene average"
1079,"LOC126293579","Domain abundant in complement control proteins; SUSHI repeat; short complement-like repeat (SCR)","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",4.44620150103155,1.59837546849853e-06,2.86673144018928,"1023","Higher than gene average"
1080,"LOC126293578","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",3.62677487146662,0.00146667485836075,3.21284795752525,"1023","Higher than gene average"
1081,"LOC126273030","Insect pheromone-binding family, A10/OS-D","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",6.50255925058151,1.17323130104608e-05,2.88927134982432,"1046","Higher than gene average"
1082,"LOC126273029","Insect pheromone-binding family, A10/OS-D","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",4.48702076474349,0.000396824367959799,2.41338267769215,"1046","Higher than gene average"
1083,"LOC126298520","DDB1-and CUL4-substrate receptor 15, WD repeat","DEG in 1 diet",1,"33","Higher in infected","Diet 33: infected vs control",1.02180840624079,0.0175863630142883,3.22280516550229,"1057","Higher than gene average"
1084,"LOC126299002","procollagen-proline 3-dioxygenase activity","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.27180332184585,2.45809451277916e-06,2.95886452781685,"1029","Higher than gene average"
1085,"LOC126281635","-","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",2.22463309086179,4.21873531660901e-06,2.44133512339234,"1015","Higher than gene average"
1086,"LOC126284041","heparan sulfate-N-deacetylase","DEG in 1 diet",1,"33","Higher in infected","Diet 33: infected vs control",1.06233975385188,0.000735824789362553,3.33108983551367,"1029","Higher than gene average"
1087,"LOC126273757","no description","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",1.53907778759092,8.05012216570262e-05,2.0250522213454,"1057","Higher than gene average"
1088,"LOC126302565","no description","DEG in 2 diets",2,"50; 83","Higher in infected","Diet 50; Diet 83: infected vs control",3.03473698036667,2.55033455307448e-05,3.19432129325151,"1023","Higher than gene average"
1089,"LOC126282165","Leucine rich repeat C-terminal domain","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.08341551969743,4.00446636498214e-06,2.20085810849918,"1057","Higher than gene average"
1090,"LOC126297487","-","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",4.06960115546048,0.00651641468546611,3.08726668359839,"1027","Higher than gene average"
1091,"LOC126356154","Integrin alpha","DEG in 3 diets",3,"33; 50; 83","Higher in infected","Diet 33; Diet 50; Diet 83: infected vs control",1.93151230302341,0.000323604125441141,2.12570935343703,"1023","Higher than gene average"
1092,"LOC126284747","transporter activity. It is involved in the biological process described with transport","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",4.3927427520366,0.00149499298493988,2.62133002734892,"1049","Higher than gene average"
1093,"LOC126335545","Belongs to the serpin family","DEG in 3 diets",3,"33; 50; 83","Higher in infected","Diet 33; Diet 50; Diet 83: infected vs control",3.75902806575993,7.43812672642909e-07,3.12580098086064,"1029","Higher than gene average"
1094,"LOC126298804","phosphatidylinositol phospholipase C activity","DEG in 3 diets",3,"33; 50; 83","Higher in infected","Diet 33; Diet 50; Diet 83: infected vs control",1.98182080402046,3.86907708020992e-08,2.49495895307843,"1029","Higher than gene average"
1095,"LOC126281994","Chondroitin N-acetylgalactosaminyltransferase","DEG in 3 diets",3,"33; 50; 83","Higher in infected","Diet 33; Diet 50; Diet 83: infected vs control",2.14869845126657,6.25412560655568e-06,2.77793115835463,"1027","Higher than gene average"
