name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Conexibacteraceae	320583	F	13	2	15	0.00000
Rubrobacteraceae	84997	F	14	0	14	0.00000
Bacillaceae	186817	F	11022	30440	41462	0.00527
Paenibacillaceae	186822	F	1572	289	1861	0.00024
Staphylococcaceae	90964	F	954	3611	4565	0.00058
Caryophanaceae	186818	F	391	123	514	0.00007
Listeriaceae	186820	F	203	84	287	0.00004
Anoxybacillaceae	3120669	F	72	152	224	0.00003
Alicyclobacillaceae	186823	F	61	2	63	0.00001
Pasteuriaceae	538998	F	59	1	60	0.00001
Fictibacillaceae	3120697	F	45	11	56	0.00001
Gemellaceae	539738	F	24	7	31	0.00000
Thermoactinomycetaceae	186824	F	23	1	24	0.00000
Sporolactobacillaceae	186821	F	19	1	20	0.00000
Lactobacillaceae	33958	F	3101	768	3869	0.00049
Streptococcaceae	1300	F	640	1109	1749	0.00022
Enterococcaceae	81852	F	436	2616	3052	0.00039
Carnobacteriaceae	186828	F	102	58	160	0.00002
Aerococcaceae	186827	F	52	36	88	0.00001
Clostridiaceae	31979	F	1748	767	2515	0.00032
Oscillospiraceae	216572	F	149	67	216	0.00003
Desulfitobacteriaceae	2937909	F	113	11	124	0.00002
Eubacteriaceae	186806	F	54	20	74	0.00001
Peptococcaceae	186807	F	22	1	23	0.00000
Acutalibacteraceae	3082771	F	18	5	23	0.00000
Syntrophomonadaceae	68298	F	17	7	24	0.00000
Heliobacteriaceae	31984	F	14	0	14	0.00000
Aristaeellaceae	3046368	F	12	0	12	0.00000
Lachnospiraceae	186803	F	790	293	1083	0.00014
Vallitaleaceae	2603322	F	28	1	29	0.00000
Cellulosilyticaceae	3018741	F	21	0	21	0.00000
Defluviitaleaceae	1185407	F	19	4	23	0.00000
Peptostreptococcaceae	186804	F	430	267	697	0.00009
Anaerovoracaceae	543314	F	63	2	65	0.00001
Natronincolaceae	3118656	F	42	13	55	0.00001
Caminicellaceae	3118654	F	36	1	37	0.00000
Halothermotrichaceae	3046412	F	28	0	28	0.00000
Halanaerobiaceae	972	F	23	0	23	0.00000
Natranaerofabaceae	2807496	F	53	0	53	0.00001
Natranaerobiaceae	485255	F	11	0	11	0.00000
Thermoanaerobacteraceae	186814	F	62	8	70	0.00001
Neomoorellaceae	3039168	F	16	0	16	0.00000
Acetivibrionaceae	3120654	F	18	6	24	0.00000
Tepidanaerobacteraceae	2770092	F	16	0	16	0.00000
Lutisporaceae	3120708	F	16	10	26	0.00000
Peptoniphilaceae	1570339	F	181	186	367	0.00005
Tissierellaceae	1737406	F	51	2	53	0.00001
Tepidimicrobiaceae	2992719	F	25	5	30	0.00000
Sporanaerobacteraceae	2992718	F	24	1	25	0.00000
Acidilutibacteraceae	2992717	F	10	4	14	0.00000
Limnochordaceae	1676650	F	345	1	346	0.00004
Sporomusaceae	1843490	F	87	5	92	0.00001
Selenomonadaceae	1843491	F	60	4	64	0.00001
Veillonellaceae	31977	F	144	35	179	0.00002
Acidaminococcaceae	909930	F	16	1	17	0.00000
Erysipelotrichaceae	128827	F	89	148	237	0.00003
Coprobacillaceae	2810280	F	83	50	133	0.00002
Turicibacteraceae	2810281	F	12	1	13	0.00000
Caldicellulosiruptoraceae	3071002	F	128	36	164	0.00002
Nostocaceae	1162	F	1103	23	1126	0.00014
Hapalosiphonaceae	1892263	F	40	5	45	0.00001
Aphanizomenonaceae	1892259	F	38	8	46	0.00001
Nodulariaceae	3079761	F	37	1	38	0.00000
Calotrichaceae	2661849	F	18	0	18	0.00000
Scytonemataceae	1182	F	11	0	11	0.00000
Geminocystaceae	2815910	F	202	5	207	0.00003
Aphanothecaceae	1890450	F	65	0	65	0.00001
Microcystaceae	1890449	F	47	0	47	0.00001
Halothecacae	3079756	F	14	0	14	0.00000
Microcoleaceae	1892252	F	60	1	61	0.00001
Oscillatoriaceae	1892254	F	30	1	31	0.00000
Sirenicapillariaceae	2934961	F	12	0	12	0.00000
Synechococcaceae	1890426	F	169	22	191	0.00002
Prochlorococcaceae	2881426	F	108	23	131	0.00002
Leptolyngbyaceae	1890438	F	57	7	64	0.00001
Gloeobacteraceae	1890422	F	43	0	43	0.00001
Pseudanabaenaceae	1890436	F	37	1	38	0.00000
Pleurocapsaceae	1890500	F	26	0	26	0.00000
Oculatellaceae	2303507	F	19	2	21	0.00000
Acaryochloridaceae	1890429	F	14	0	14	0.00000
Chroococcidiopsidaceae	1890528	F	11	0	11	0.00000
Desertifilaceae	1969992	F	10	0	10	0.00000
Spiroplasmataceae	2131	F	201	8	209	0.00003
Entomoplasmataceae	33925	F	67	5	72	0.00001
Mycoplasmataceae	2092	F	165	21	186	0.00002
Acholeplasmataceae	2146	F	79	6	85	0.00001
Candidatus Izemoplasmataceae	2975520	F	17	0	17	0.00000
Metamycoplasmataceae	2895623	F	337	32	369	0.00005
Mycoplasmoidaceae	2790998	F	22	4	26	0.00000
Anaerolineaceae	292628	F	65	0	65	0.00001
Chloroflexaceae	1106	F	48	0	48	0.00001
Dehalococcoidaceae	1202464	F	32	0	32	0.00000
Candidatus Promineifilaceae	3085097	F	15	0	15	0.00000
Fusobacteriaceae	203492	F	394	105	499	0.00006
Leptotrichiaceae	1129771	F	124	31	155	0.00002
Thermaceae	188786	F	270	3	273	0.00003
Deinococcaceae	183710	F	73	3	76	0.00001
Fervidobacteriaceae	1643950	F	50	12	62	0.00001
Thermotogaceae	188709	F	31	0	31	0.00000
Petrotogaceae	1643949	F	47	9	56	0.00001
Kosmotogaceae	1643948	F	11	0	11	0.00000
Haloferacaceae	1644056	F	216	29	245	0.00003
Haloarculaceae	1963268	F	108	1	109	0.00001
Natrialbaceae	1644061	F	71	2	73	0.00001
Natronomonadaceae	3402413	F	29	2	31	0.00000
Haladaptataceae	3064797	F	26	2	28	0.00000
Halobacteriaceae	2236	F	11	2	13	0.00000
Methanosarcinaceae	2206	F	319	7	326	0.00004
Methanomicrobiaceae	2194	F	41	0	41	0.00001
Methanoregulaceae	1198451	F	20	0	20	0.00000
Methanospirillaceae	196137	F	16	0	16	0.00000
Methanotrichaceae	143067	F	10	0	10	0.00000
Methanobacteriaceae	2159	F	136	254	390	0.00005
Methanococcaceae	2183	F	34	9	43	0.00001
Methanocaldococcaceae	196117	F	24	5	29	0.00000
Archaeoglobaceae	2232	F	174	0	174	0.00002
Thermococcaceae	2259	F	94	0	94	0.00001
Nitrososphaeraceae	1033997	F	380	0	380	0.00005
Nitrosopumilaceae	338190	F	103	19	122	0.00002
Sulfolobaceae	118883	F	196	5	201	0.00003
Thermoproteaceae	2267	F	133	0	133	0.00002
Desulfurococcaceae	2272	F	25	1	26	0.00000
Caldisphaeraceae	255472	F	12	4	16	0.00000
Thermofilaceae	114378	F	12	0	12	0.00000
Promethearchaeaceae	3366644	F	22	3	25	0.00000
Baculoviridae	10442	F	32658	0	32658	0.00415
Ackermannviridae	2169529	F	199	0	199	0.00003
Straboviridae	2946170	F	22	0	22	0.00000
Kyanoviridae	2946160	F	12	0	12	0.00000
Chimalliviridae	3152113	F	16	0	16	0.00000
Herelleviridae	2560065	F	11	0	11	0.00000
Orthoherpesviridae	3044472	F	12	0	12	0.00000
Mimiviridae	549779	F	72	0	72	0.00001
Marseilleviridae	944644	F	23	0	23	0.00000
Iridoviridae	10486	F	11	0	11	0.00000
Poxviridae	10240	F	17	0	17	0.00000
Peribunyaviridae	1980416	F	10	0	10	0.00000
