"heatmap_row_order","gene_id","Description","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction","cluster_id"
1680,"LOC126318273","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.98743766094747,0.00415260588431329,2.64121645328241,1007,"Higher than gene average","upper_branch_k4_4"
1681,"LOC126320441","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.5456514717443,0.00568934472392954,2.73016115738748,1016,"Higher than gene average","upper_branch_k4_4"
1682,"LOC126317096","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.6149461941588,0.00964125907700604,3.08117666984722,1037,"Higher than gene average","upper_branch_k4_4"
1683,"LOC126317080","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.32556530519553,0.0380904293035857,3.03532904341308,1037,"Higher than gene average","upper_branch_k4_4"
1684,"LOC126332403","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.8456047963967,0.0270171223887714,2.9534817110417,1037,"Higher than gene average","upper_branch_k4_4"
1685,"LOC126320472","dolichol-phosphate","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.06671303722047,0.0304377102098908,2.9264978033324,1016,"Higher than gene average","upper_branch_k4_4"
1686,"LOC126318445","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.41061206092662,0.0254286751172818,3.11858905391564,1037,"Higher than gene average","upper_branch_k4_4"
1687,"LOC126315290","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.33843116504885,0.038803596965069,3.18633377487596,1037,"Higher than gene average","upper_branch_k4_4"
1688,"LOC126316971","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.28529648997234,0.0273844706926221,2.947389021683,1037,"Higher than gene average","upper_branch_k4_4"
1689,"LOC126328217","It is involved in the biological process described with histone lysine methylation","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.57269393315483,0.00590562487674095,3.05607334825071,1037,"Higher than gene average","upper_branch_k4_4"
1690,"LOC126322428","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.09023984940803,0.011447694473307,3.13966361960729,1037,"Higher than gene average","upper_branch_k4_4"
1691,"LOC126316779","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.11424803395278,0.0231303259690804,3.50679360283857,1037,"Higher than gene average","upper_branch_k4_4"
1692,"LOC126315301","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.17698144074849,0.0182606271404325,3.63709347450938,1037,"Higher than gene average","upper_branch_k4_4"
1693,"LOC126316965","Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.09088992163787,0.0194653368320827,3.27297760582888,1037,"Higher than gene average","upper_branch_k4_4"
1694,"LOC126325942","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.97280245708215,0.0131612895919251,3.00527345714629,1037,"Higher than gene average","upper_branch_k4_4"
1695,"LOC126329091","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.22291095009894,0.0319574297544646,2.77420698883176,1037,"Higher than gene average","upper_branch_k4_4"
1696,"LOC126304979","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.06558281185973,0.0279254715778093,3.47566915317083,1037,"Higher than gene average","upper_branch_k4_4"
1697,"LOC126315352","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.57601802075328,0.00668392106032773,3.54014190041864,1037,"Higher than gene average","upper_branch_k4_4"
1698,"LOC126319854","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.02344245531849,0.0137372781006379,3.3970844332797,1037,"Higher than gene average","upper_branch_k4_4"
1699,"LOC126315425","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.73313070172842,0.00996503431385065,3.01501497549126,1037,"Higher than gene average","upper_branch_k4_4"
1700,"LOC126330065","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.68396729487801,0.012327244127302,3.07162367455896,1037,"Higher than gene average","upper_branch_k4_4"
1701,"LOC126305004","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.70022332660423,0.0338759760784381,3.17407888212271,1037,"Higher than gene average","upper_branch_k4_4"
1702,"LOC126326077","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.51172213749338,0.0171210617901193,2.89132679030984,1007,"Higher than gene average","upper_branch_k4_4"
1703,"LOC126313357","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.38489734360603,0.0232388537937457,2.97438485644085,1037,"Higher than gene average","upper_branch_k4_4"
1704,"LOC126319950","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.29992512002144,0.00654883085479965,2.9687838109461,1007,"Higher than gene average","upper_branch_k4_4"
1705,"LOC126325485","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.46381846920115,0.0137372781006379,3.20262879958662,1037,"Higher than gene average","upper_branch_k4_4"
1706,"LOC126319855","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.7499291791852,0.0334020495523759,3.37817101192557,1037,"Higher than gene average","upper_branch_k4_4"
1707,"LOC126325863","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.55899952952472,0.0363035339818094,2.93100147035998,1007,"Higher than gene average","upper_branch_k4_4"
1708,"LOC126318218","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.83551876177956,0.00631952749433689,2.96142611412149,1037,"Higher than gene average","upper_branch_k4_4"
1709,"LOC126323245","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.2564029087444,0.0452435956203846,3.23297902588148,1037,"Higher than gene average","upper_branch_k4_4"
1710,"LOC126319983","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.63075000509933,0.030948427747548,3.05393195740378,1016,"Higher than gene average","upper_branch_k4_4"
