"gene_id","Description","gene_biotype","comparison_type","comparison","numerator_condition","denominator_condition","higher_in","lower_in","signed_direction","log2FoldChange","lfcSE","baseMean","stat","pvalue","padj","GOs","KEGG_ko","KEGG_Pathway","PFAMs"
"LOC126324735","tubulin beta-1 chain-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Control diet 50","Infected diet 50","Downregulated",-1.22015874048085,0.183868287096171,153.428421443172,-6.63604779133368,3.22205412522947e-11,6.89910134814285e-09,"","","",""
"LOC126272352","uncharacterized LOC126272352","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",2.8430618306737,0.428576332150686,81.4065788625073,6.63373503713241,3.27297135294837e-11,6.90352703878602e-09,NA,NA,NA,NA
"LOC126336416","allergen Cr-PI-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",2.37991369547463,0.359036345427553,7771.16331215399,6.62861497389783,3.38851142580758e-11,7.04212403963422e-09,"","","",""
"LOC126354547","cuticle protein 16.5-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Control diet 50","Infected diet 50","Downregulated",-4.4456227174791,0.67110620763465,54.4904477908669,-6.62432066177414,3.48848752566698e-11,7.04275795896083e-09,NA,NA,NA,NA
"LOC126355940","proton-coupled amino acid transporter-like protein CG1139","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",3.77242794087048,0.569431201232075,408.77473749814,6.6249055771937,3.47470215730511e-11,7.04275795896083e-09,"GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0006810,GO:0006811,GO:0006820,GO:0006865,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015318,GO:0015711,GO:0015849,GO:0016020,GO:0022857,GO:0031090,GO:0034220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0098588,GO:0098656,GO:0098805,GO:1903825,GO:1905039","ko:K14209","ko04138,map04138","Aa_trans"
"LOC126354656","inter-alpha-trypsin inhibitor heavy chain H4-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",6.05444397837267,0.920329102314804,86.8612256762969,6.57856408446129,4.75013137649818e-11,9.45476853699609e-09,"","","",""
"LOC126278673","DNA-binding protein D-ETS-6-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",4.13732433155798,0.630395916301503,724.874598382917,6.56305700048221,5.27156843198181e-11,1.00672709568604e-08,"GO:0000981,GO:0003674,GO:0003700,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0006357,GO:0006950,GO:0006952,GO:0008150,GO:0009605,GO:0009607,GO:0009617,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0042742,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051252,GO:0051704,GO:0051707,GO:0060255,GO:0065007,GO:0080090,GO:0098542,GO:0140110,GO:1903506,GO:2000112,GO:2001141","ko:K09437,ko:K09443","ko05202,map05202","Ets,SAM_PNT"
"LOC126292011","XK-related protein 7-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",4.04066025245718,0.615316103659775,261.257487340037,6.56680400272992,5.14066378507831e-11,1.00672709568604e-08,"","","","XK-related"
"LOC126291582","sortilin-related receptor-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",2.49949864532136,0.380778989734857,841.418533505606,6.56417163946416,5.23229057409613e-11,1.00672709568604e-08,"","","","Ldl_recept_a,Ldl_recept_b,Sortilin-Vps10,Sortilin_C,fn3"
"LOC126273412","uncharacterized LOC126273412","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",3.74978410898423,0.57199057056864,133.184683238866,6.55567469452585,5.53908620015298e-11,1.03735371609831e-08,NA,NA,NA,NA
"LOC126336399","androgen-induced gene 1 protein-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Control diet 50","Infected diet 50","Downregulated",-3.4044659666527,0.519400236140959,1053.88108869879,-6.55460997081405,5.57874911006733e-11,1.03735371609831e-08,"GO:0005575,GO:0005623,GO:0012505,GO:0044464","","","Far-17a_AIG1"
"LOC126359055","toll-like receptor 2","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",3.77507142809465,0.578529543799885,189.909907046328,6.52528720192804,6.7871355130171e-11,1.24565972818127e-08,"","ko:K18808","","TIR"
"LOC126294950","ankyrin repeat domain-containing protein 39-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",4.61970450629671,0.708354124415418,2772.1010070919,6.52174434659953,6.94943939085623e-11,1.25909586502026e-08,NA,NA,NA,NA
"LOC126278232","UDP-galactose transporter senju","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",1.86356278901226,0.286145496828557,580.421519623799,6.51264063096127,7.38410262571754e-11,1.32091314312203e-08,"GO:0002225,GO:0002682,GO:0002683,GO:0002684,GO:0002697,GO:0002699,GO:0002700,GO:0002702,GO:0002759,GO:0002760,GO:0002784,GO:0002831,GO:0002833,GO:0002920,GO:0002922,GO:0003674,GO:0005215,GO:0005338,GO:0005459,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005795,GO:0005797,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0008592,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009968,GO:0010556,GO:0010557,GO:0010559,GO:0010560,GO:0010604,GO:0010646,GO:0010648,GO:0012505,GO:0015165,GO:0015711,GO:0015780,GO:0015931,GO:0015932,GO:0019222,GO:0022857,GO:0023051,GO:0023057,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031347,GO:0031348,GO:0031399,GO:0031401,GO:0031984,GO:0031985,GO:0032101,GO:0032103,GO:0032268,GO:0032270,GO:0034220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043900,GO:0043902,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0045088,GO:0045751,GO:0045824,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0050776,GO:0050777,GO:0050778,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051179,GO:0051234,GO:0051246,GO:0051247,GO:0055085,GO:0060049,GO:0060050,GO:0060255,GO:0065007,GO:0071702,GO:0071705,GO:0072334,GO:0080090,GO:0080134,GO:0090481,GO:0098656,GO:0098791,GO:1901264,GO:1901505,GO:1903018,GO:1903020,GO:2000112","","","Nuc_sug_transp"
"LOC126334702","macrophage mannose receptor 1-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",2.78607917201255,0.429507010197268,82.4189566209797,6.48669080100214,8.77421446637553e-11,1.54996498548524e-08,NA,NA,NA,NA
"LOC126267162","uncharacterized LOC126267162","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",1.86773773747252,0.288054249925695,5009.89193850911,6.48397910447186,8.93345995907409e-11,1.55861303878562e-08,"","ko:K01446","","Amidase_2"
"LOC126335115","esterase E4-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",5.3982112094694,0.833351571061416,1496.9666085791,6.47771168487012,9.31240757694114e-11,1.58352468181989e-08,"","","","COesterase"
"LOC126365778","uncharacterized LOC126365778","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",5.10493625616163,0.787880256491488,42.4619355214481,6.47933009375618,9.2130747417905e-11,1.58352468181989e-08,NA,NA,NA,NA
"LOC126281499","multidrug resistance protein homolog 49-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",4.59137068079956,0.708971614667149,279.608439966716,6.47609944575162,9.41240258087111e-11,1.58352468181989e-08,"","ko:K05658","ko02010,ko04976,ko05206,ko05226,map02010,map04976,map05206,map05226","ABC_membrane,ABC_tran"
"LOC126284548","spermine synthase-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",3.91191024725905,0.60453159675866,1106.11919933229,6.47097731240797,9.73710555423718e-11,1.61887971402917e-08,"GO:0003674,GO:0003824,GO:0006576,GO:0006595,GO:0006596,GO:0006597,GO:0006807,GO:0008150,GO:0008152,GO:0008215,GO:0009058,GO:0009308,GO:0009309,GO:0009987,GO:0016740,GO:0016765,GO:0016768,GO:0017144,GO:0034641,GO:0042401,GO:0044106,GO:0044237,GO:0044249,GO:0044271,GO:0071704,GO:0097164,GO:1901564,GO:1901566,GO:1901576","ko:K00802","ko00270,ko00330,ko00410,ko00480,ko01100,map00270,map00330,map00410,map00480,map01100","Spermine_synt_N,Spermine_synth"
"LOC126267343","uncharacterized LOC126267343","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",2.14926419377094,0.332362429482236,973.431577198816,6.46662800340919,1.0021394157834e-10,1.64677142137803e-08,"GO:0000270,GO:0001932,GO:0001933,GO:0002376,GO:0003674,GO:0005488,GO:0005539,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006022,GO:0006026,GO:0006027,GO:0006807,GO:0006950,GO:0006952,GO:0006955,GO:0006959,GO:0007154,GO:0007165,GO:0007166,GO:0007275,GO:0007568,GO:0008150,GO:0008152,GO:0008340,GO:0009056,GO:0009057,GO:0009253,GO:0009605,GO:0009607,GO:0009617,GO:0009892,GO:0009966,GO:0009968,GO:0009987,GO:0010259,GO:0010563,GO:0010605,GO:0010646,GO:0010648,GO:0016020,GO:0016021,GO:0019220,GO:0019222,GO:0019730,GO:0019731,GO:0023051,GO:0023052,GO:0023057,GO:0030203,GO:0031224,GO:0031226,GO:0031323,GO:0031324,GO:0031399,GO:0031400,GO:0032268,GO:0032269,GO:0032501,GO:0032502,GO:0032872,GO:0032873,GO:0042325,GO:0042326,GO:0042742,GO:0042834,GO:0043170,GO:0043207,GO:0043408,GO:0043409,GO:0044425,GO:0044459,GO:0044464,GO:0045936,GO:0046328,GO:0046329,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051174,GO:0051246,GO:0051248,GO:0051704,GO:0051707,GO:0051716,GO:0060255,GO:0061057,GO:0065007,GO:0070302,GO:0070303,GO:0071704,GO:0071944,GO:0080090,GO:0080134,GO:0080135,GO:0097367,GO:0098542,GO:1901135,GO:1901136,GO:1901564,GO:1901565,GO:1901575,GO:1902531,GO:1902532","ko:K01446","","Amidase_2"
"LOC126278127","uncharacterized LOC126278127","lncRNA","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",6.4188993397923,0.994226749673932,197.072139748725,6.4561724394334,1.07384244865112e-10,1.74431511314226e-08,NA,NA,NA,NA
"LOC126335565","cytochrome P450 9e2-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",4.18483001617394,0.651156124486111,241.500308906975,6.42676903250597,1.30344635857172e-10,2.09321635674268e-08,"","ko:K15003","","p450"
"LOC126343175","transferrin","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",3.47559632145356,0.540960178838852,16898.7237581879,6.42486537348051,1.3198627470781e-10,2.09576408333795e-08,"GO:0007610,GO:0007635,GO:0008150,GO:0009605,GO:0009607,GO:0009620,GO:0042048,GO:0042221,GO:0043207,GO:0050896,GO:0051704,GO:0051707","ko:K06569","","Transferrin"
"LOC126336593","zinc finger protein 479-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",3.75374262361214,0.584770962927871,56.1725661797944,6.41916726647582,1.37021791362988e-10,2.15154661726861e-08,"","","","zf-C2H2"
"LOC126299001","uncharacterized LOC126299001","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",2.31456476224994,0.361726741483798,46.8121609106595,6.39865538487874,1.56751173772234e-10,2.43429405247166e-08,NA,NA,NA,NA
"LOC126355303","spidroin-1-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",3.66804542627133,0.57357315049737,324.512597577611,6.39507868018335,1.60464706893699e-10,2.46487743241495e-08,"GO:0003674,GO:0005215,GO:0005351,GO:0005355,GO:0005402,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008324,GO:0008643,GO:0008645,GO:0015075,GO:0015077,GO:0015078,GO:0015144,GO:0015145,GO:0015149,GO:0015291,GO:0015293,GO:0015294,GO:0015295,GO:0015318,GO:0015672,GO:0015749,GO:0022804,GO:0022857,GO:0022890,GO:0034219,GO:0034220,GO:0046323,GO:0051119,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0098655,GO:0098660,GO:0098662,GO:1902600,GO:1904659","ko:K08145","","Sugar_tr"
"LOC126336244","acetyl-CoA acetyltransferase%2C mitochondrial","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Control diet 50","Infected diet 50","Downregulated",-1.32262780894186,0.207525238142077,521.104365061184,-6.37333473645436,1.84961573068155e-10,2.81062037698835e-08,"GO:0003674,GO:0003824,GO:0003985,GO:0003988,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005777,GO:0006082,GO:0006090,GO:0006629,GO:0006631,GO:0006633,GO:0006635,GO:0008150,GO:0008152,GO:0008610,GO:0009056,GO:0009058,GO:0009062,GO:0009987,GO:0016042,GO:0016053,GO:0016054,GO:0016407,GO:0016408,GO:0016453,GO:0016740,GO:0016746,GO:0016747,GO:0019395,GO:0019752,GO:0030258,GO:0032787,GO:0034440,GO:0042579,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044249,GO:0044255,GO:0044281,GO:0044282,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046395,GO:0055114,GO:0071704,GO:0072329,GO:0072330,GO:1901575,GO:1901576","ko:K00626","ko00071,ko00072,ko00280,ko00310,ko00362,ko00380,ko00620,ko00630,ko00640,ko00650,ko00720,ko00900,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,ko02020,map00071,map00072,map00280,map00310,map00362,map00380,map00620,map00630,map00640,map00650,map00720,map00900,map01100,map01110,map01120,map01130,map01200,map01212,map02020","DUF836,Thiolase_C,Thiolase_N"
"LOC126272290","uncharacterized LOC126272290","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",4.03492786453498,0.634234029203659,5847.23533087532,6.36189116121886,1.99284641043295e-10,2.99605377364239e-08,"","ko:K01435","ko00780,ko01100,ko04977,map00780,map01100,map04977","CN_hydrolase"
"LOC126272321","uncharacterized LOC126272321","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",2.49105752990259,0.392414158245978,1936.4681067879,6.34803173523906,2.18087101865179e-10,3.24421781427232e-08,"GO:0000902,GO:0000904,GO:0006928,GO:0006935,GO:0007275,GO:0007399,GO:0007409,GO:0007411,GO:0008037,GO:0008038,GO:0008039,GO:0008045,GO:0008150,GO:0009605,GO:0009653,GO:0009987,GO:0016043,GO:0016201,GO:0022008,GO:0030030,GO:0030154,GO:0030182,GO:0031175,GO:0032501,GO:0032502,GO:0032989,GO:0032990,GO:0040011,GO:0042221,GO:0042330,GO:0048468,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050896,GO:0050919,GO:0061564,GO:0071840,GO:0097485,GO:0120036,GO:0120039","","","Collagen,I-set,Ig_3,OLF"
"LOC126267226","ovarian-specific serine/threonine-protein kinase Lok-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",3.76363487864109,0.594817659661739,826.666354309289,6.32737582267043,2.49365499005016e-10,3.67086794993634e-08,"GO:0000003,GO:0000075,GO:0000077,GO:0000278,GO:0003006,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006282,GO:0006355,GO:0006357,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006915,GO:0006919,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007093,GO:0007154,GO:0007165,GO:0007276,GO:0007281,GO:0007292,GO:0007346,GO:0008150,GO:0008152,GO:0008219,GO:0008630,GO:0009314,GO:0009628,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010212,GO:0010332,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010623,GO:0010628,GO:0010941,GO:0010942,GO:0010950,GO:0010952,GO:0012501,GO:0016043,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018105,GO:0018107,GO:0018193,GO:0018209,GO:0018210,GO:0019219,GO:0019222,GO:0019538,GO:0019953,GO:0022402,GO:0022412,GO:0022414,GO:0023052,GO:0030154,GO:0030162,GO:0030717,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031570,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032504,GO:0033554,GO:0035234,GO:0035556,GO:0036211,GO:0042770,GO:0042981,GO:0043065,GO:0043067,GO:0043068,GO:0043085,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043280,GO:0043281,GO:0043412,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0044703,GO:0044773,GO:0044774,GO:0045786,GO:0045862,GO:0045893,GO:0045930,GO:0045935,GO:0045944,GO:0048468,GO:0048477,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048609,GO:0048856,GO:0048869,GO:0050321,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051052,GO:0051090,GO:0051091,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0051252,GO:0051254,GO:0051276,GO:0051321,GO:0051336,GO:0051345,GO:0051704,GO:0051716,GO:0051726,GO:0052547,GO:0052548,GO:0060255,GO:0061982,GO:0061988,GO:0065007,GO:0065009,GO:0070192,GO:0071214,GO:0071478,GO:0071479,GO:0071480,GO:0071704,GO:0071840,GO:0072331,GO:0072332,GO:0080090,GO:0080134,GO:0080135,GO:0097190,GO:0097193,GO:0104004,GO:0140096,GO:1901564,GO:1902680,GO:1903046,GO:1903047,GO:1903506,GO:1903508,GO:2000112,GO:2000116,GO:2001020,GO:2001056,GO:2001141","ko:K06641","ko04110,ko04111,ko04115,ko04218,ko05166,map04110,map04111,map04115,map04218,map05166","FHA,Pkinase"
"LOC126291886","ankyrin-1-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",3.831189199894,0.605946916302145,589.550283623171,6.32264823340341,2.57118171599015e-10,3.74597319694565e-08,NA,NA,NA,NA
"LOC126281818","uncharacterized LOC126281818","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",2.91266862731146,0.461410435167913,275.323945109402,6.31253306235153,2.74504791710358e-10,3.9584711392355e-08,"","","",""
"LOC126299206","uncharacterized LOC126299206","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",3.55753584199321,0.563824603348002,127.530533782173,6.30964988201737,2.7966741126318e-10,3.99218167269824e-08,"GO:0002009,GO:0002165,GO:0003674,GO:0005198,GO:0005201,GO:0005575,GO:0005576,GO:0007275,GO:0007424,GO:0007444,GO:0007472,GO:0007475,GO:0007476,GO:0007552,GO:0007560,GO:0007591,GO:0008150,GO:0008362,GO:0008587,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0022404,GO:0031012,GO:0032501,GO:0032502,GO:0035107,GO:0035114,GO:0035120,GO:0035220,GO:0035239,GO:0035295,GO:0040003,GO:0040005,GO:0042303,GO:0042335,GO:0044421,GO:0044719,GO:0048513,GO:0048563,GO:0048569,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048856,GO:0060429,GO:0060541,GO:0060562,GO:0065007,GO:0065008,GO:0090066","","","EGF_CA"
"LOC126284651","PI-PLC X domain-containing protein 1-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",4.06231360771188,0.644479287336132,563.154178590644,6.30324928595131,2.91469524567159e-10,4.11904732118309e-08,"","","","PI-PLC-X"
"LOC126278308","selenoprotein N-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",2.83497238134239,0.451158261174422,774.72037271158,6.28376475687843,3.30470653098027e-10,4.62397155404091e-08,NA,NA,NA,NA
"LOC126334947","leucine-rich repeat-containing G-protein coupled receptor 5-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",1.62983981898421,0.262358288761242,8429.88751570757,6.21226730315898,5.22254864291631e-10,7.23578994330326e-08,"GO:0000902,GO:0000904,GO:0005575,GO:0005576,GO:0005615,GO:0007275,GO:0007399,GO:0007409,GO:0008150,GO:0009653,GO:0009987,GO:0016043,GO:0022008,GO:0030030,GO:0030154,GO:0030182,GO:0031175,GO:0032501,GO:0032502,GO:0032989,GO:0032990,GO:0044421,GO:0048468,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0061564,GO:0071840,GO:0120036,GO:0120039","","","LRR_8"
"LOC126299510","trypsin-1-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",5.1063009350558,0.822571385747684,307.377954370801,6.20772983783576,5.37554578411009e-10,7.37545757485862e-08,"","ko:K01312","ko04080,ko04972,ko04974,ko05164,map04080,map04972,map04974,map05164","Trypsin"
"LOC126299332","uncharacterized LOC126299332","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",1.6799758285795,0.271209464831785,29809.907520272,6.19438495489636,5.85130604087097e-10,7.95102470861429e-08,"GO:0003674,GO:0005102,GO:0005215,GO:0005319,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0005623,GO:0005886,GO:0006810,GO:0006869,GO:0008150,GO:0010876,GO:0015850,GO:0015918,GO:0016020,GO:0032368,GO:0032370,GO:0032879,GO:0033036,GO:0034196,GO:0044421,GO:0044464,GO:0045178,GO:0048518,GO:0050789,GO:0051049,GO:0051050,GO:0051179,GO:0051234,GO:0065007,GO:0070325,GO:0071702,GO:0071944,GO:1905952,GO:1905954","","","DUF1081,DUF1943,VWD,Vitellogenin_N"
"LOC126272850","protein rolling stone-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",3.55234747819968,0.574638844468644,329.327721385481,6.18187843093772,6.33432992900432e-10,8.44497646761217e-08,"","","",""
"LOC126293577","leucine-rich repeat-containing protein 15-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",2.61255349782551,0.422834882138751,68.7995749976438,6.1786612415014,6.46474420560975e-10,8.53829580501654e-08,NA,NA,NA,NA
"LOC126358740","ionotropic receptor 21a","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",2.68898860976063,0.437431508658719,202.583673302144,6.14722203712709,7.88517139910446e-10,1.0223233230472e-07,"GO:0003008,GO:0003674,GO:0005215,GO:0005216,GO:0005575,GO:0006810,GO:0006811,GO:0007600,GO:0007606,GO:0008150,GO:0009593,GO:0015075,GO:0015267,GO:0015276,GO:0015318,GO:0016020,GO:0016021,GO:0022803,GO:0022834,GO:0022836,GO:0022838,GO:0022839,GO:0022857,GO:0031224,GO:0032501,GO:0034220,GO:0042221,GO:0044425,GO:0050877,GO:0050896,GO:0050906,GO:0050907,GO:0051179,GO:0051234,GO:0051606,GO:0055085","","","Lig_chan"
"LOC126266789","uncharacterized LOC126266789","lncRNA","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",4.90376853534301,0.798120295882119,17.9269720947249,6.14414714253462,8.03942918630529e-10,1.0328473932806e-07,NA,NA,NA,NA
"LOC126336375","sialin-like","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",2.60883107680111,0.425272876562423,1836.30622369589,6.13448733878557,8.54342475167253e-10,1.08770881613186e-07,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0044425,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944","ko:K12301","ko04142,map04142","MFS_1"
"LOC126299221","uncharacterized LOC126299221","protein_coding","Infection within diet","Diet 50: infected vs control","Infected diet 50","Control diet 50","Infected diet 50","Control diet 50","Upregulated",2.85013348480951,0.466634101989041,235.879990479188,6.10785511101898,1.0097895703257e-09,1.27413805427168e-07,"","","",""
