name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Intrasporangiaceae	85021	F	26	4	30	0.00000
Brevibacteriaceae	85019	F	21	32	53	0.00001
Ornithinimicrobiaceae	2805590	F	10	1	11	0.00000
Mycobacteriaceae	1762	F	398	4	402	0.00004
Nocardiaceae	85025	F	308	5	313	0.00003
Corynebacteriaceae	1653	F	142	18	160	0.00002
Gordoniaceae	85026	F	30	2	32	0.00000
Tsukamurellaceae	85028	F	18	0	18	0.00000
Micromonosporaceae	28056	F	595	22	617	0.00007
Streptosporangiaceae	2004	F	444	7	451	0.00005
Thermomonosporaceae	2012	F	64	9	73	0.00001
Nocardiopsidaceae	83676	F	54	1	55	0.00001
Nocardioidaceae	85015	F	283	8	291	0.00003
Propionibacteriaceae	31957	F	168	2	170	0.00002
Kribbellaceae	2726069	F	55	0	55	0.00001
Pseudonocardiaceae	2070	F	384	7	391	0.00004
Actinomycetaceae	2049	F	91	6	97	0.00001
Bifidobacteriaceae	31953	F	90	20	110	0.00001
Candidatus Nanopelagicaceae	2162846	F	77	0	77	0.00001
Allobogoriellaceae	145358	F	42	2	44	0.00000
Jatrophihabitantaceae	2805416	F	24	0	24	0.00000
Geodermatophilaceae	85030	F	22	1	23	0.00000
Nakamurellaceae	85031	F	16	0	16	0.00000
Kineosporiaceae	83778	F	10	0	10	0.00000
Egibacteraceae	1747769	F	94	1	95	0.00001
Iamiaceae	633392	F	19	0	19	0.00000
Atopobiaceae	1643824	F	10	1	11	0.00000
Bacillaceae	186817	F	9739	12706	22445	0.00242
Paenibacillaceae	186822	F	1522	258	1780	0.00019
Staphylococcaceae	90964	F	542	816	1358	0.00015
Caryophanaceae	186818	F	258	66	324	0.00003
Pasteuriaceae	538998	F	146	7	153	0.00002
Listeriaceae	186820	F	70	18	88	0.00001
Fictibacillaceae	3120697	F	35	70	105	0.00001
Gemellaceae	539738	F	30	7	37	0.00000
Anoxybacillaceae	3120669	F	29	4	33	0.00000
Alicyclobacillaceae	186823	F	20	0	20	0.00000
Thermoactinomycetaceae	186824	F	16	0	16	0.00000
Sporolactobacillaceae	186821	F	13	0	13	0.00000
Guptibacillaceae	3421337	F	11	11	22	0.00000
Lactobacillaceae	33958	F	1229	319	1548	0.00017
Streptococcaceae	1300	F	379	558	937	0.00010
Enterococcaceae	81852	F	307	2157	2464	0.00027
Carnobacteriaceae	186828	F	76	54	130	0.00001
Aerococcaceae	186827	F	33	26	59	0.00001
Clostridiaceae	31979	F	1353	227	1580	0.00017
Oscillospiraceae	216572	F	136	55	191	0.00002
Desulfitobacteriaceae	2937909	F	81	11	92	0.00001
Eubacteriaceae	186806	F	34	7	41	0.00000
Peptococcaceae	186807	F	27	8	35	0.00000
Acutalibacteraceae	3082771	F	10	1	11	0.00000
Lachnospiraceae	186803	F	567	149	716	0.00008
Vallitaleaceae	2603322	F	21	1	22	0.00000
Peptostreptococcaceae	186804	F	284	779	1063	0.00011
Anaerovoracaceae	543314	F	45	0	45	0.00000
Caminicellaceae	3118654	F	27	0	27	0.00000
Natronincolaceae	3118656	F	18	3	21	0.00000
Natranaerofabaceae	2807496	F	58	0	58	0.00001
Halanaerobiaceae	972	F	16	0	16	0.00000
Halothermotrichaceae	3046412	F	13	0	13	0.00000
Thermoanaerobacteraceae	186814	F	40	4	44	0.00000
Lutisporaceae	3120708	F	30	22	52	0.00001
Neomoorellaceae	3039168	F	15	0	15	0.00000
Acetivibrionaceae	3120654	F	12	4	16	0.00000
Veillonellaceae	31977	F	84	30	114	0.00001
Sporomusaceae	1843490	F	59	2	61	0.00001
Selenomonadaceae	1843491	F	18	1	19	0.00000
Acidaminococcaceae	909930	F	24	7	31	0.00000
Peptoniphilaceae	1570339	F	97	88	185	0.00002
