"gene_id","Diet 33","Diet 50","Diet 83","intersection"
"LOC126282396",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126282416",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282419",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282422",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282431",TRUE,FALSE,FALSE,"Diet 33"
"LOC126282434",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126282446",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282450",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282455",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282456",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282460",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282474",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282477",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282480",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282517",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126282528",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126282638",FALSE,FALSE,TRUE,"Diet 83"
"LOC126282679",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126282836",FALSE,FALSE,TRUE,"Diet 83"
"LOC126282979",FALSE,FALSE,TRUE,"Diet 83"
"LOC126282995",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126283383",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126283409",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126283788",FALSE,TRUE,FALSE,"Diet 50"
"LOC126283952",TRUE,FALSE,TRUE,"Diet 33 + Diet 83"
"LOC126283953",FALSE,FALSE,TRUE,"Diet 83"
"LOC126283954",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126283957",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126283959",FALSE,TRUE,FALSE,"Diet 50"
"LOC126283960",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126283961",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126283962",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126283972",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126283976",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126283978",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126283982",TRUE,FALSE,FALSE,"Diet 33"
"LOC126283987",TRUE,FALSE,TRUE,"Diet 33 + Diet 83"
"LOC126283989",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284002",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284005",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284006",TRUE,FALSE,FALSE,"Diet 33"
"LOC126284016",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284030",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126284033",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284038",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284041",TRUE,FALSE,TRUE,"Diet 33 + Diet 83"
"LOC126284043",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126284044",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284047",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284086",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284088",TRUE,FALSE,TRUE,"Diet 33 + Diet 83"
"LOC126284095",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284105",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284106",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284107",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284111",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284169",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284170",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284182",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284198",TRUE,FALSE,FALSE,"Diet 33"
"LOC126284203",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284216",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284218",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284220",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284222",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126284231",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284232",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284235",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284250",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284251",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284252",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284254",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284265",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284269",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126284272",TRUE,FALSE,TRUE,"Diet 33 + Diet 83"
"LOC126284276",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
