"gene_id","Infection within diets","Diet DEGs in controls","Diet DEGs in infected","Infection vs control","intersection"
"LOC126288932",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126289098",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126289264",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126290759",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126291091",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126291424",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126291459",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126291467",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126291470",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126291503",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126291514",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126291516",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126291537",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126291582",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126291591",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126291606",TRUE,FALSE,TRUE,TRUE,"Infection within diets + Diet DEGs in infected + Infection vs control"
"LOC126291637",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126291642",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126291645",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126291647",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126291650",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126291654",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126291679",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
