"term","name","ontology"
"GO:0090101","negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","BP"
"GO:0090520","sphingolipid mediated signaling pathway","BP"
"GO:0097708","intracellular vesicle","CC"
"GO:0098657","import into cell","BP"
"GO:0098852","lytic vacuole membrane","CC"
"GO:0099003","vesicle-mediated transport in synapse","BP"
"GO:0099504","synaptic vesicle cycle","BP"
"GO:1902742","apoptotic process involved in development","BP"
"GO:1904396","regulation of neuromuscular junction development","BP"
"GO:1904748","regulation of apoptotic process involved in development","BP"
"GO:1905879","regulation of oogenesis","BP"
"GO:2000241","regulation of reproductive process","BP"
"GO:0000165","MAPK cascade","BP"
"GO:0001654","eye development","BP"
"GO:0001708","cell fate specification","BP"
"GO:0001745","compound eye morphogenesis","BP"
"GO:0001763","morphogenesis of a branching structure","BP"
"GO:0001932","regulation of protein phosphorylation","BP"
"GO:0004385","GMP kinase activity","MF"
"GO:0005911","cell-cell junction","CC"
"GO:0005912","adherens junction","CC"
"GO:0005917","nephrocyte diaphragm","CC"
"GO:0005938","cell cortex","CC"
"GO:0006163","purine nucleotide metabolic process","BP"
"GO:0006468","protein phosphorylation","BP"
"GO:0006753","nucleoside phosphate metabolic process","BP"
"GO:0006793","phosphorus metabolic process","BP"
"GO:0006796","phosphate-containing compound metabolic process","BP"
"GO:0007043","cell-cell junction assembly","BP"
"GO:0007155","cell adhesion","BP"
"GO:0007163","establishment or maintenance of cell polarity","BP"
"GO:0007166","cell surface receptor signaling pathway","BP"
"GO:0007219","Notch signaling pathway","BP"
"GO:0007254","JNK cascade","BP"
"GO:0007423","sensory organ development","BP"
"GO:0007424","open tracheal system development","BP"
"GO:0007444","imaginal disc development","BP"
"GO:0008360","regulation of cell shape","BP"
"GO:0009116","nucleoside metabolic process","BP"
"GO:0009117","nucleotide metabolic process","BP"
"GO:0009119","ribonucleoside metabolic process","BP"
"GO:0009123","nucleoside monophosphate metabolic process","BP"
"GO:0009126","purine nucleoside monophosphate metabolic process","BP"
"GO:0009132","nucleoside diphosphate metabolic process","BP"
"GO:0009135","purine nucleoside diphosphate metabolic process","BP"
"GO:0009150","purine ribonucleotide metabolic process","BP"
"GO:0009165","nucleotide biosynthetic process","BP"
"GO:0009167","purine ribonucleoside monophosphate metabolic process","BP"
"GO:0009179","purine ribonucleoside diphosphate metabolic process","BP"
"GO:0009185","ribonucleoside diphosphate metabolic process","BP"
"GO:0009259","ribonucleotide metabolic process","BP"
"GO:0009887","animal organ morphogenesis","BP"
"GO:0016301","kinase activity","MF"
"GO:0016310","phosphorylation","BP"
"GO:0016323","basolateral plasma membrane","CC"
"GO:0016476","regulation of embryonic cell shape","BP"
"GO:0016740","transferase activity","MF"
"GO:0016772","transferase activity, transferring phosphorus-containing groups","MF"
"GO:0016776","phosphotransferase activity, phosphate group as acceptor","MF"
"GO:0019205","nucleobase-containing compound kinase activity","MF"
"GO:0019538","protein metabolic process","BP"
"GO:0019637","organophosphate metabolic process","BP"
"GO:0019693","ribose phosphate metabolic process","BP"
"GO:0019899","enzyme binding","MF"
"GO:0019904","protein domain specific binding","MF"
"GO:0022416","chaeta development","BP"
"GO:0022603","regulation of anatomical structure morphogenesis","BP"
"GO:0022604","regulation of cell morphogenesis","BP"
"GO:0030054","cell junction","CC"
"GO:0030155","regulation of cell adhesion","BP"
"GO:0030424","axon","CC"
"GO:0031098","stress-activated protein kinase signaling cascade","BP"
"GO:0031399","regulation of protein modification process","BP"
"GO:0031625","ubiquitin protein ligase binding","MF"
"GO:0032872","regulation of stress-activated MAPK cascade","BP"
"GO:0034329","cell junction assembly","BP"
"GO:0034330","cell junction organization","BP"
"GO:0034332","adherens junction organization","BP"
"GO:0034333","adherens junction assembly","BP"
"GO:0035146","tube fusion","BP"
"GO:0035147","branch fusion, open tracheal system","BP"
"GO:0035153","epithelial cell type specification, open tracheal system","BP"
"GO:0035156","fusion cell fate specification","BP"
"GO:0035220","wing disc development","BP"
"GO:0035239","tube morphogenesis","BP"
"GO:0036056","filtration diaphragm","CC"
"GO:0036058","filtration diaphragm assembly","BP"
"GO:0036059","nephrocyte diaphragm assembly","BP"
"GO:0036211","protein modification process","BP"
"GO:0042278","purine nucleoside metabolic process","BP"
"GO:0042325","regulation of phosphorylation","BP"
"GO:0042995","cell projection","CC"
"GO:0043005","neuron projection","CC"
"GO:0043408","regulation of MAPK cascade","BP"
"GO:0043412","macromolecule modification","BP"
"GO:0044389","ubiquitin-like protein ligase binding","MF"
"GO:0045165","cell fate commitment","BP"
"GO:0045176","apical protein localization","BP"
"GO:0045177","apical part of cell","CC"
"GO:0045216","cell-cell junction organization","BP"
"GO:0046037","GMP metabolic process","BP"
"GO:0046128","purine ribonucleoside metabolic process","BP"
"GO:0046328","regulation of JNK cascade","BP"
"GO:0046710","GDP metabolic process","BP"
"GO:0046940","nucleoside monophosphate phosphorylation","BP"
"GO:0048513","animal organ development","BP"
"GO:0048592","eye morphogenesis","BP"
"GO:0048749","compound eye development","BP"
"GO:0048754","branching morphogenesis of an epithelial tube","BP"
"GO:0050145","nucleoside monophosphate kinase activity","MF"
"GO:0050699","WW domain binding","MF"
"GO:0050839","cell adhesion molecule binding","MF"
"GO:0051174","regulation of phosphorus metabolic process","BP"
"GO:0051246","regulation of protein metabolic process","BP"
"GO:0051403","stress-activated MAPK cascade","BP"
"GO:0055086","nucleobase-containing small molecule metabolic process","BP"
"GO:0060446","branching involved in open tracheal system development","BP"
"GO:0060541","respiratory system development","BP"
"GO:0060562","epithelial tube morphogenesis","BP"
"GO:0061138","morphogenesis of a branching epithelium","BP"
"GO:0070161","anchoring junction","CC"
"GO:0070302","regulation of stress-activated protein kinase signaling cascade","BP"
"GO:0072521","purine-containing compound metabolic process","BP"
"GO:0072697","protein localization to cell cortex","BP"
"GO:0080134","regulation of response to stress","BP"
"GO:0080135","regulation of cellular response to stress","BP"
"GO:0090407","organophosphate biosynthetic process","BP"
"GO:0090596","sensory organ morphogenesis","BP"
"GO:0098590","plasma membrane region","CC"
"GO:0098609","cell-cell adhesion","BP"
"GO:0099568","cytoplasmic region","CC"
"GO:0120025","plasma membrane bounded cell projection","CC"
"GO:1901135","carbohydrate derivative metabolic process","BP"
"GO:1901293","nucleoside phosphate biosynthetic process","BP"
"GO:1990778","protein localization to cell periphery","BP"
"GO:0000096","sulfur amino acid metabolic process","BP"
"GO:0000097","sulfur amino acid biosynthetic process","BP"
"GO:0006082","organic acid metabolic process","BP"
"GO:0006520","amino acid metabolic process","BP"
"GO:0006555","methionine metabolic process","BP"
"GO:0006790","sulfur compound metabolic process","BP"
"GO:0008652","amino acid biosynthetic process","BP"
"GO:0009067","aspartate family amino acid biosynthetic process","BP"
"GO:0016053","organic acid biosynthetic process","BP"
"GO:0016722","oxidoreductase activity, acting on metal ions","MF"
"GO:0016723","oxidoreductase activity, acting on metal ions, NAD or NADP as acceptor","MF"
"GO:0019752","carboxylic acid metabolic process","BP"
"GO:0030586","[methionine synthase] reductase (NADPH) activity","MF"
"GO:0043436","oxoacid metabolic process","BP"
"GO:0044272","sulfur compound biosynthetic process","BP"
"GO:0046394","carboxylic acid biosynthetic process","BP"
"GO:1901605","alpha-amino acid metabolic process","BP"
"GO:1901607","alpha-amino acid biosynthetic process","BP"
"GO:0030111","regulation of Wnt signaling pathway","BP"
"GO:0030178","negative regulation of Wnt signaling pathway","BP"
"GO:0060828","regulation of canonical Wnt signaling pathway","BP"
"GO:0090090","negative regulation of canonical Wnt signaling pathway","BP"
"GO:0004842","ubiquitin-protein transferase activity","MF"
"GO:0016567","protein ubiquitination","BP"
"GO:0019787","ubiquitin-like protein transferase activity","MF"
"GO:0032446","protein modification by small protein conjugation","BP"
"GO:0061630","ubiquitin protein ligase activity","MF"
"GO:0061659","ubiquitin-like protein ligase activity","MF"
"GO:0070647","protein modification by small protein conjugation or removal","BP"
"GO:0140096","catalytic activity, acting on a protein","MF"
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"GO:0002181","cytoplasmic translation","BP"
"GO:0003735","structural constituent of ribosome","MF"
"GO:0005198","structural molecule activity","MF"
"GO:0005829","cytosol","CC"
"GO:0005840","ribosome","CC"
"GO:0006364","rRNA processing","BP"
"GO:0006396","RNA processing","BP"
"GO:0006412","translation","BP"
"GO:0006518","peptide metabolic process","BP"
"GO:0010467","gene expression","BP"
"GO:0015935","small ribosomal subunit","CC"
"GO:0016070","RNA metabolic process","BP"
"GO:0016072","rRNA metabolic process","BP"
"GO:0022613","ribonucleoprotein complex biogenesis","BP"
"GO:0022626","cytosolic ribosome","CC"
"GO:0022627","cytosolic small ribosomal subunit","CC"
"GO:0030490","maturation of SSU-rRNA","BP"
"GO:0042254","ribosome biogenesis","BP"
"GO:0042274","ribosomal small subunit biogenesis","BP"
"GO:0043043","peptide biosynthetic process","BP"
"GO:0043228","membraneless organelle","CC"
"GO:0043232","intracellular membraneless organelle","CC"
"GO:0044391","ribosomal subunit","CC"
"GO:1990904","ribonucleoprotein complex","CC"
"GO:0004407","histone deacetylase activity","MF"
"GO:0005654","nucleoplasm","CC"
"GO:0006325","chromatin organization","BP"
"GO:0006476","protein deacetylation","BP"
"GO:0008134","transcription factor binding","MF"
