"canonical_gene_order","gene_id","Description","gene_biotype","DEG_context","comparisons","directions","max_abs_log2FC","min_padj","candidate_k2","candidate_k3","candidate_k4"
57,"LOC126334596","probable aconitate hydratase, mitochondrial","protein_coding","Infection within diet","infection_average_all_diets","Average control",2.12578961193669,0.0135632998535692,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
58,"LOC126336724","glutathione S-transferase 1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.46225258436274,0.0142453289475936,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
59,"LOC126291804","uncharacterized LOC126291804","protein_coding","Infection within diet","infection_average_all_diets","Average control",2.01477362001208,0.035545473141839,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
60,"LOC126354599","myrosinase 1-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.87614111017232,0.0163900677392979,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
61,"LOC126334984","ATP-binding cassette sub-family C member 4-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.04757691408071,0.018854446852794,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
62,"LOC126335141","solute carrier family 23 member 2","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",2.76434330841376,0.016923465458474,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
63,"LOC126335259","sialin-like","protein_coding","Infection + diet","control_diet83_vs33; control_diet83_vs50; infection_diet83; interaction_diet83_vs33; interaction_diet83_vs50","Control diet 33; Control diet 50; Infected diet 83; Infection response diet 83",24.3028179468028,2.32354796439944e-09,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
64,"LOC126365810","alpha-tocopherol transfer protein-like","protein_coding","Diet in controls","control_diet83_vs33","Control diet 83",2.3203775654495,0.00898892812049811,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
65,"LOC126352026","uncharacterized LOC126352026","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",2.28318948104389,5.08348404398903e-06,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
66,"LOC126335106","sodium-coupled monocarboxylate transporter 1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet83","Average control; Control diet 83",2.39159780754634,0.00124214487685649,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
67,"LOC126336511","uncharacterized LOC126336511","lncRNA","Infection within diet","infection_average_all_diets","Average control",1.2346413261846,0.0117708362788614,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
68,"LOC126271986","mitochondrial uncoupling protein 2-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.0223160157638,0.0158565603064273,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
69,"LOC126284811","glucose dehydrogenase [FAD, quinone]-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",2.39357497208033,7.95851805589176e-09,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
70,"LOC126268199","glucose dehydrogenase [FAD, quinone]-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.67236435944611,7.15121864535861e-10,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
71,"LOC126292163","uncharacterized LOC126292163","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",2.40676779519586,8.10113641447991e-06,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
72,"LOC126284973","uncharacterized LOC126284973","lncRNA","Infection within diet","infection_average_all_diets","Average control",1.19960074683717,0.00888288003265985,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
73,"LOC126335063","uncharacterized LOC126335063","lncRNA","Infection within diet","infection_average_all_diets","Average control",1.11998396444328,0.00635888986656934,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
74,"LOC126298049","uncharacterized LOC126298049","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.19187749925356,0.0460075586523804,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
75,"LOC126267230","atrial natriuretic peptide receptor 1-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.01105552795686,0.019222268057369,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
