"GeneID","Description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneType"
"LOC126316799","uncharacterized LOC126316799",30.4667294456032,2.72280330649411,0.870506459202558,3.12783814262375,0.00176097127438872,0.0416532530149524,"protein_coding"
"LOC126316797","uncharacterized LOC126316797",62.2231340533216,3.02155183274066,0.771967373159,3.91409266479235,9.07447844032614e-05,0.00716457342320609,"protein_coding"
"LOC126316769","diacylglycerol kinase epsilon-like",38.3151807251909,2.78152439869748,0.785194537704564,3.5424652937971,0.000396405581532304,0.0172584663817903,"protein_coding"
"LOC126316771","D-3-phosphoglycerate dehydrogenase-like",19.8423416120009,2.49630661676927,0.704305139173264,3.54435382893772,0.000393576671600089,0.0172276809075563,"protein_coding"
"LOC126316773","uncharacterized LOC126316773",14.5352769904278,2.39973977377797,0.680712271689247,3.52533643594055,0.000422945271290818,0.018082666764922,"protein_coding"
"LOC126316772","brefeldin A-inhibited guanine nucleotide-exchange protein 2-like",60.2889898396486,3.37047921818676,0.747468099691129,4.50919473296522,6.50741571253213e-06,0.00186364210971099,"protein_coding"
"LOC126316815","uncharacterized LOC126316815",71.0254022907883,2.7793761588271,0.846028522368624,3.28520384991949,0.00101908611730785,0.0294382426277587,"protein_coding"
"LOC126316806","serine/threonine-protein kinase pakC-like",52.1779518707317,2.90472826252593,0.807727723813745,3.59617254290968,0.000322933644697534,0.0154083005028727,"protein_coding"
"LOC126316752","serine hydroxymethyltransferase 2-like",28.8038275305874,2.45148520981289,0.705870643624638,3.47299499129833,0.000514684960293877,0.0201935388842131,"protein_coding"
"LOC126316754","uncharacterized LOC126316754",19.1052090059381,2.58920254042887,0.773903521562488,3.34563995160707,0.000820929187920684,0.0256595585674068,"protein_coding"
"LOC126316757","uncharacterized LOC126316757",72.3215279448706,3.75180298904584,0.670763591436792,5.59333129725987,2.22753661242856e-08,4.77769477755719e-05,"protein_coding"
"LOC126316781","protein pirA-like",39.6134123610165,2.35525862356542,0.711953595351839,3.30816311476239,0.000939100949782536,0.0282256450371689,"protein_coding"
"LOC126316789","pepsin A-like",26.3421122236632,2.84996557830168,0.767815208888178,3.71178578557793,0.000205802128622104,0.0116609203522878,"protein_coding"
"LOC126316759","nuclear protein localization protein 4 homolog",43.7038487036729,2.44411497928499,0.745065236505149,3.28040399623194,0.001036585366006,0.0295783083705791,"protein_coding"
"LOC126316761","trimethyllysine dioxygenase%2C mitochondrial-like",19.4677551956536,2.55688147322396,0.745833049314814,3.42822227517664,0.000607547804788025,0.0220552014413395,"protein_coding"
"LOC126316708","zinc finger protein 622-like",24.4589665018302,2.88423097882171,0.631057647180022,4.57047148023693,4.86628147180185e-06,0.00150132247974594,"protein_coding"
"LOC126316715","uncharacterized LOC126316715",6.46334692503993,9.05542508533195,2.68640656983013,3.37083194592714,0.000749415591344169,0.0248562609407425,"protein_coding"
"LOC126316710","uncharacterized LOC126316710",13.6122925109377,2.58793438441911,0.769708541630573,3.3622264070719,0.000773167015954459,0.0250964389367008,"protein_coding"
"LOC126316712","uncharacterized LOC126316712",26.5160442500965,2.18584822260731,0.618776276337269,3.53253398069175,0.000411597325301707,0.017774650937274,"protein_coding"
"LOC126316717","G protein alpha i subunit-like",52.1969710745642,3.00247560222481,0.762327943751893,3.9385616476916,8.19715339516309e-05,0.00692583798153842,"protein_coding"
"LOC126316722","delta-1-pyrroline-5-carboxylate dehydrogenase%2C mitochondrial-like",45.8611527953857,3.31439824937501,0.766494308963884,4.32410027134485,1.53155628719693e-05,0.0029863027060511,"protein_coding"
"LOC126316726","transcription elongation factor SPT5-like",25.3039010654611,2.42337699832873,0.737735657059215,3.2848852771857,0.00102023904048336,0.0294382426277587,"protein_coding"
"LOC126316740","uncharacterized LOC126316740",57.2644436526483,2.59808480348614,0.837791315156159,3.10111212241664,0.00192795273355234,0.0437580665398325,"protein_coding"
"LOC126316920","6-phosphogluconate dehydrogenase%2C decarboxylating-like",55.7951192700841,3.28576063429717,0.815360496647091,4.02982563885399,5.58182410051192e-05,0.00579294309270064,"protein_coding"
