gene_id,description,gene_biotype,sequence_class,seqid,contrast_family,contrast_id,numerator,denominator,log2FoldChange,padj,higher_in
LOC126285411,uncharacterized LOC126285411,protein_coding,Nuclear chromosome,NC_064927.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.582236000466842,1.729977903626086e-5,Average infected
LOC126337058,protein takeout,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.6883475765140292,1.7798102434824388e-5,Average control
LOC126336201,uncharacterized LOC126336201,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,-2.0145935160141955,1.7853784039741845e-5,Average control
LOC126335975,sodium channel protein Nach-like,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.006054374322253,1.785445371788675e-5,Average infected
LOC126334953,low density lipoprotein receptor adapter protein 1-like,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.097059867610688,1.7984894090674648e-5,Average infected
LOC126284936,uncharacterized LOC126284936,lncRNA,Nuclear chromosome,NC_064927.1,Average infection response,infection_average_all_diets,Average infected,Average control,-2.2274403124636075,1.805625630388993e-5,Average control
LOC126298455,uncharacterized LOC126298455,protein_coding,Nuclear chromosome,NC_064931.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.1855289373766202,1.8449718802294598e-5,Average infected
LOC126335543,uncharacterized LOC126335543,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.3572946224458062,1.87268945898373e-5,Average control
LOC126278708,15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like,protein_coding,Nuclear chromosome,NC_064925.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.1697405062874777,1.9157842047768853e-5,Average infected
LOC126278965,uncharacterized LOC126278965,lncRNA,Nuclear chromosome,NC_064925.1,Average infection response,infection_average_all_diets,Average infected,Average control,2.2001586000529243,1.9953797824226704e-5,Average infected
LOC126325353,serine hydroxymethyltransferase,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.3708986976159567,2.0060676418613607e-5,Average control
LOC126299393,uncharacterized LOC126299393,protein_coding,Nuclear chromosome,NC_064931.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.1161946024733265,2.0535746278358313e-5,Average infected
LOC126272470,mitotic checkpoint serine/threonine-protein kinase BUB1-like,protein_coding,Nuclear chromosome,NC_064924.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.104845686747753,2.065807772505474e-5,Average control
LOC126335350,protein lozenge-like,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.2870956061551255,2.09142171770903e-5,Average infected
LOC126295037,uncharacterized LOC126295037,protein_coding,Nuclear chromosome,NC_064930.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.472216450475403,2.1156745286052266e-5,Average infected
LOC126281399,sorbitol dehydrogenase-like,protein_coding,Nuclear chromosome,NC_064926.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.2201545998882715,2.1228569146526367e-5,Average control
LOC126336437,dynein axonemal assembly factor 3,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.5500447001615065,2.1228569146526367e-5,Average infected
LOC126355249,uncharacterized LOC126355249,protein_coding,Nuclear chromosome,NC_064922.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.5114741853162692,2.1855218478507072e-5,Average control
LOC126365969,"probable cytochrome P450 301a1, mitochondrial",protein_coding,Nuclear chromosome,NC_064923.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.4256603130153087,2.1855218478507072e-5,Average control
LOC126273293,protein dead ringer-like,protein_coding,Nuclear chromosome,NC_064924.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.1458181592557177,2.1985872816512045e-5,Average control
LOC126335724,hexamerin-like,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,-2.6425137128465237,2.199186413837475e-5,Average control
LOC126266610,cyclic GMP-AMP synthase-like receptor,protein_coding,Nuclear chromosome,NC_064923.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.2401761286938642,2.2267174327702087e-5,Average infected
LOC126272888,uncharacterized LOC126272888,protein_coding,Nuclear chromosome,NC_064924.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.5191742828240948,2.280995577638574e-5,Average control
LOC126270294,"beta-1,3-glucan-binding protein-like",protein_coding,Nuclear chromosome,NC_064920.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.5845552937613792,2.3841066469686794e-5,Average control
LOC126354198,uncharacterized LOC126354198,protein_coding,Nuclear chromosome,NC_064922.1,Average infection response,infection_average_all_diets,Average infected,Average control,-2.0377250343713453,2.3946704013107154e-5,Average control
LOC126298275,"trimethyllysine dioxygenase, mitochondrial",protein_coding,Nuclear chromosome,NC_064931.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.0183069020991544,2.434019238986228e-5,Average control
LOC126352026,uncharacterized LOC126352026,protein_coding,Nuclear chromosome,NC_064920.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.979374472963663,2.4462092964013143e-5,Average control
LOC126355466,uncharacterized LOC126355466,protein_coding,Nuclear chromosome,NC_064922.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.6680123393659902,2.4531939419961644e-5,Average control
LOC126355457,uncharacterized LOC126355457,protein_coding,Nuclear chromosome,NC_064922.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.4998937584950942,2.4769780540759477e-5,Average control
LOC126284413,protein abnormal spindle-like,protein_coding,Nuclear chromosome,NC_064927.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.4033504191612656,2.5932616372873502e-5,Average control
LOC126324495,muscle M-line assembly protein unc-89-like,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.5789364363461404,2.7633646571230138e-5,Average infected
LOC126334907,uncharacterized LOC126334907,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.0893405279581383,2.7674622205292988e-5,Average control
LOC126291591,UTP--glucose-1-phosphate uridylyltransferase-like,protein_coding,Nuclear chromosome,NC_064928.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.2484513746930403,2.782066704036603e-5,Average control
LOC126354322,uncharacterized LOC126354322,protein_coding,Nuclear chromosome,NC_064920.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.012691287332767,2.8041366153219816e-5,Average control
LOC126336345,uncharacterized LOC126336345,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.1201519499180834,2.8256443929371675e-5,Average control
LOC126353793,carboxypeptidase N subunit 2-like,protein_coding,Nuclear chromosome,NC_064922.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.1055412049065325,2.8359615901024582e-5,Average infected
LOC126266629,uncharacterized LOC126266629,protein_coding,Nuclear chromosome,NC_064923.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.5228013178602513,2.8380557656544226e-5,Average control
LOC126271955,aromatic-L-amino-acid decarboxylase,protein_coding,Nuclear chromosome,NC_064924.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.2633841433544182,2.859891975839648e-5,Average infected
LOC126354276,diuretic hormone receptor-like,protein_coding,Nuclear chromosome,NC_064922.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.3476391707858424,2.8891965200367163e-5,Average control
LOC126271850,uncharacterized LOC126271850,protein_coding,Nuclear chromosome,NC_064924.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.249544144636274,2.8981628893032847e-5,Average control
LOC126335515,protein yellow-like,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.278790361452657,2.903651578982259e-5,Average infected
LOC126284107,cuticle protein 9.5-like,protein_coding,Nuclear chromosome,NC_064927.1,Average infection response,infection_average_all_diets,Average infected,Average control,-2.9004925940743678,2.931555946802549e-5,Average control
LOC126281636,cyclin-A2-like,protein_coding,Nuclear chromosome,NC_064926.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.108673505286874,2.9438391858480948e-5,Average control
LOC126271954,aromatic-L-amino-acid decarboxylase-like,protein_coding,Nuclear chromosome,NC_064924.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.5391382755510672,2.9550467214841326e-5,Average infected
LOC126336038,voltage-dependent T-type calcium channel subunit alpha-1G-like,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.5208193399159136,2.9550467214841326e-5,Average infected
LOC126291948,gamma-interferon-inducible lysosomal thiol reductase-like,protein_coding,Nuclear chromosome,NC_064928.1,Average infection response,infection_average_all_diets,Average infected,Average control,2.361899356004932,3.0287745016077855e-5,Average infected
LOC126283953,high affinity copper uptake protein 1-like,protein_coding,Nuclear chromosome,NC_064927.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.0148382445744621,3.098811369127136e-5,Average control
LOC126323656,pancreatic triacylglycerol lipase-like,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.519586511679598,3.1502428445989804e-5,Average control
LOC126268175,opioid-binding protein/cell adhesion molecule homolog,protein_coding,Nuclear chromosome,NC_064923.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.5901950826051823,3.157407708893228e-5,Average control
LOC126278555,uncharacterized LOC126278555,lncRNA,Nuclear chromosome,NC_064925.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.0468768378030426,3.157407708893228e-5,Average infected
LOC126299471,uncharacterized LOC126299471,protein_coding,Nuclear chromosome,NC_064931.1,Average infection response,infection_average_all_diets,Average infected,Average control,2.7209694515852143,3.157407708893228e-5,Average infected
LOC126353821,potassium voltage-gated channel subfamily KQT member 1-like,protein_coding,Nuclear chromosome,NC_064922.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.3259100863027504,3.157407708893228e-5,Average control
LOC126336607,uncharacterized LOC126336607,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.461296483637331,3.1742619880886295e-5,Average infected
LOC126278734,uncharacterized LOC126278734,protein_coding,Nuclear chromosome,NC_064925.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.1694811484332956,3.216981384514735e-5,Average infected
LOC126284686,uncharacterized LOC126284686,protein_coding,Nuclear chromosome,NC_064927.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.2341972763744404,3.3238917828660746e-5,Average control
LOC126278180,carotenoid isomerooxygenase,protein_coding,Nuclear chromosome,NC_064925.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.1171668652964784,3.4087709362101435e-5,Average infected
LOC126298000,retinol dehydrogenase 13-like,protein_coding,Nuclear chromosome,NC_064931.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.1526453886320487,3.4193233980895615e-5,Average control
LOC126281978,mast/stem cell growth factor receptor kita-like,protein_coding,Nuclear chromosome,NC_064926.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.3985409953677321,3.470821429528628e-5,Average infected
LOC126266641,serine protease snake-like,protein_coding,Nuclear chromosome,NC_064923.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.3632441444166479,3.474011483491818e-5,Average infected
LOC126266714,uncharacterized LOC126266714,protein_coding,Nuclear chromosome,NC_064923.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.8602665796194884,3.474011483491818e-5,Average control
LOC126299078,UDP-N-acetylhexosamine pyrophosphorylase,protein_coding,Nuclear chromosome,NC_064931.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.182872305648765,3.480326130218392e-5,Average control
LOC126332151,uncharacterized LOC126332151,lncRNA,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,7.269567780561158,3.504010514314238e-5,Average infected
LOC126298161,collagen alpha-2(I) chain-like,protein_coding,Nuclear chromosome,NC_064931.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.3899887720801694,3.750868465518281e-5,Average control
LOC126335733,probable glutamate receptor,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.271919508406251,3.750868465518281e-5,Average infected
LOC126291912,cuticle protein 65-like,protein_coding,Nuclear chromosome,NC_064928.1,Average infection response,infection_average_all_diets,Average infected,Average control,-2.5030186026412173,3.7584861315038895e-5,Average control
LOC126278410,astakine-like,protein_coding,Nuclear chromosome,NC_064925.1,Average infection response,infection_average_all_diets,Average infected,Average control,2.194976249407103,3.797586209383804e-5,Average infected
LOC126298232,uncharacterized LOC126298232,protein_coding,Nuclear chromosome,NC_064931.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.719172039795939,3.8423401666197496e-5,Average control
