"heatmap_row_order","gene_id","Description","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
3332,"LOC126336151","Belongs to the CRISP family","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Upregulated",2.89613421009286,0.0450722785867019,2.29163684146642,"1018","Higher than gene average"
3333,"LOC126272274","Thrombospondin type 1 repeats","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Upregulated",1.4952844145545,0.00255201805526225,2.43598388755446,"1050","Higher than gene average"
3334,"LOC126334613","It is involved in the biological process described with cellular amino acid metabolic process","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Upregulated",1.24085068492838,0.00116928481418075,2.31564191941714,"1050","Higher than gene average"
3335,"LOC126272864","Serine-type peptidase activity. It is involved in the biological process described with proteolysis","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Upregulated",1.27527155645552,0.0179569825101145,2.73314296530726,"1050","Higher than gene average"
3336,"LOC126273243","Serine-type peptidase activity. It is involved in the biological process described with proteolysis","Infection within diet","No phase DEG",2,"Diet 33: infected vs control; Diet 83: infected vs control","Upregulated",1.9343998675054,0.0210326461516151,2.73183122991886,"1050","Higher than gene average"
3337,"LOC126284856","transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Upregulated",1.13010127905003,0.00569543706752317,2.7956039115078,"1055","Higher than gene average"
3338,"LOC126336209","no description","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Upregulated",2.44877318847674,0.0381717117355253,2.83836098005795,"1055","Higher than gene average"
3339,"LOC126324495","Defective proboscis extension response","Infection within diet","No phase DEG",2,"Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",2.89736101123582,0.00366634227653717,2.33236120519367,"1054","Higher than gene average"
3340,"LOC126272189","no description","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Upregulated",1.03605043173125,0.00805251818855282,2.33857701162948,"1027","Higher than gene average"
3341,"LOC126295146","Metal dependent phosphohydrolases with conserved 'HD' motif.","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",1.21020037236238,0.00415964780122158,2.22587839884313,"1016","Higher than gene average"
3342,"LOC126339239","no description","Infection within diet","No phase DEG",2,"Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.37278756027016,0.0155046617333227,1.71148882834311,"1014","Higher than gene average"
3343,"LOC126294953","no description","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",3.57271665394874,0.034639673239979,2.94339295452991,"1014","Higher than gene average"
3344,"LOC126270657","heme binding. It is involved in the biological process described with oxidation-reduction process","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",3.37186973677645,0.00057558973064318,2.96107072960634,"1055","Higher than gene average"
3345,"LOC126292145","meprin and TRAF homology","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Upregulated",1.91068871846608,0.0329295548877681,3.10503306542412,"1055","Higher than gene average"
3346,"LOC126268011","no description","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Upregulated",1.03460510417774,0.0238768897669806,2.89324539447628,"1033","Lower than gene average"
3347,"LOC126302632","no description","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",3.05048569011274,0.038808924683816,2.52105891572145,"1024","Higher than gene average"
3348,"LOC126336551","bromo domain","Infection + diet","No phase DEG",2,"Diet 33: infected vs control; Infected 33 vs 50","Upregulated",2.27137501030493,0.0109190600167398,3.16214149470919,"1027","Higher than gene average"
3349,"LOC126272787","Insect pheromone-binding family, A10/OS-D","Infection within diet","Shared head/thorax phase DEG",1,"Diet 50: infected vs control","Upregulated",2.62813638235667,0.00680963446181052,3.00960495582719,"1027","Higher than gene average"
3350,"LOC126354070","no description","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Upregulated",3.34930267990525,0.00260772652400614,2.18704773059078,"1042","Higher than gene average"
3351,"LOC126299489","Forms chloride channels","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Upregulated",1.16391919306391,0.0458542913151499,2.23090405219723,"1024","Higher than gene average"
3352,"LOC126268194","amino acid transporter","Infection within diet","No phase DEG",2,"Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",2.30336417976476,0.00239444535671276,2.92399792641894,"1049","Higher than gene average"
3353,"LOC126284038","ABC-2 family transporter protein","Infection within diet","No phase DEG",2,"Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",1.46525714758,1.78970949049708e-06,2.17607451302704,"1016","Higher than gene average"
3354,"LOC126268005","DUF3585","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Upregulated",1.02432009201246,0.000517758709574727,2.37332278117352,"1002","Lower than gene average"
3355,"LOC126271934","no description","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",3.56332006235965,0.026328157426362,4.46033515897013,"1023","Higher than gene average"
3356,"LOC126300076","no description","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",2.70586988340798,0.0315533882330199,3.47095034251165,"1023","Higher than gene average"
3357,"LOC126270940","no description","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",1.15752024552876,0.0349451366018721,3.66567495437043,"1023","Higher than gene average"
