"scenario","comparison_type","comparison","direction","timecourse_reference_set","n_fat_body_degs","n_reference_genes","n_overlap","percent_fat_body_degs","percent_reference_genes","jaccard","overlap_gene_ids"
"All samples","Infection within diet","Diet 83: infected vs control","Downregulated","Higher in gregarious/crowded reference",177,262,7,3.95480225988701,2.67175572519084,0.0162037037037037,"LOC126267104;LOC126281958;LOC126284552;LOC126284612;LOC126293692;LOC126336866;LOC126365627"
"Current outliers removed","Diet contrasts among control","Control 33 vs 50","Upregulated","Any large single-pair shift",6,414,1,16.6666666666667,0.241545893719807,0.00238663484486874,"LOC126272465"
"Current outliers removed","Diet contrasts among control","Control 33 vs 50","Upregulated","Higher in gregarious/crowded reference",6,262,1,16.6666666666667,0.381679389312977,0.00374531835205993,"LOC126272465"
"Current outliers removed","Diet contrasts among control","Control 33 vs 50","Upregulated","Top absolute single-pair shifts",6,500,1,16.6666666666667,0.2,0.00198019801980198,"LOC126272465"
"Current outliers removed","Diet contrasts among control","Control 33 vs 50","Upregulated","Higher in solitarious/isolated reference",6,152,0,0,0,0,""
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Downregulated","Top absolute single-pair shifts",33,500,12,36.3636363636364,2.4,0.0230326295585413,"LOC126272465;LOC126278199;LOC126281231;LOC126284988;LOC126291424;LOC126336534;LOC126336535;LOC126336866;LOC126337066;LOC126344004;LOC126354934;LOC126355150"
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Downregulated","Any large single-pair shift",33,414,10,30.3030303030303,2.41545893719807,0.022883295194508,"LOC126272465;LOC126278199;LOC126281231;LOC126284988;LOC126291424;LOC126336534;LOC126336866;LOC126337066;LOC126354934;LOC126355150"
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Downregulated","Higher in gregarious/crowded reference",33,262,9,27.2727272727273,3.43511450381679,0.0314685314685315,"LOC126272465;LOC126278199;LOC126281231;LOC126284988;LOC126291424;LOC126336866;LOC126337066;LOC126354934;LOC126355150"
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Upregulated","Top absolute single-pair shifts",71,500,6,8.45070422535211,1.2,0.0106194690265487,"LOC126268018;LOC126272511;LOC126278052;LOC126295405;LOC126334600;LOC126336910"
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Upregulated","Any large single-pair shift",71,414,5,7.04225352112676,1.20772946859903,0.0104166666666667,"LOC126268018;LOC126272511;LOC126295405;LOC126334600;LOC126336910"
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Upregulated","Higher in solitarious/isolated reference",71,152,5,7.04225352112676,3.28947368421053,0.0229357798165138,"LOC126268018;LOC126272511;LOC126295405;LOC126334600;LOC126336910"
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Downregulated","Higher in solitarious/isolated reference",33,152,1,3.03030303030303,0.657894736842105,0.00543478260869565,"LOC126336534"
"Current outliers removed","Diet contrasts among control","Control 83 vs 33","Upregulated","Higher in gregarious/crowded reference",71,262,0,0,0,0,""
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Upregulated","Top absolute single-pair shifts",25,500,7,28,1.4,0.0135135135135135,"LOC126268018;LOC126272511;LOC126278052;LOC126295405;LOC126297583;LOC126299180;LOC126356065"
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Upregulated","Any large single-pair shift",25,414,5,20,1.20772946859903,0.0115207373271889,"LOC126268018;LOC126272511;LOC126295405;LOC126297583;LOC126356065"
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Upregulated","Higher in solitarious/isolated reference",25,152,4,16,2.63157894736842,0.023121387283237,"LOC126268018;LOC126272511;LOC126295405;LOC126297583"
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Downregulated","Any large single-pair shift",2,414,1,50,0.241545893719807,0.00240963855421687,"LOC126337066"
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Downregulated","Higher in gregarious/crowded reference",2,262,1,50,0.381679389312977,0.00380228136882129,"LOC126337066"
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Downregulated","Top absolute single-pair shifts",2,500,1,50,0.2,0.00199600798403194,"LOC126337066"
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Upregulated","Higher in gregarious/crowded reference",25,262,1,4,0.381679389312977,0.0034965034965035,"LOC126356065"
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Downregulated","Higher in solitarious/isolated reference",2,152,0,0,0,0,""
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Upregulated","Top absolute single-pair shifts",10,500,6,60,1.2,0.0119047619047619,"LOC126272144;LOC126272465;LOC126337066;LOC126344004;LOC126350918;LOC126354934"
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Downregulated","Top absolute single-pair shifts",1921,500,5,0.260281103591879,1,0.00206953642384106,"LOC126268018;LOC126272290;LOC126299180;LOC126336409;LOC126352417"
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Upregulated","Any large single-pair shift",10,414,5,50,1.20772946859903,0.0119331742243437,"LOC126272144;LOC126272465;LOC126337066;LOC126350918;LOC126354934"
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Upregulated","Higher in gregarious/crowded reference",10,262,5,50,1.90839694656489,0.0187265917602996,"LOC126272144;LOC126272465;LOC126337066;LOC126350918;LOC126354934"
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Downregulated","Any large single-pair shift",1921,414,4,0.208224882873503,0.966183574879227,0.00171600171600172,"LOC126268018;LOC126272290;LOC126336409;LOC126352417"
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Downregulated","Higher in solitarious/isolated reference",1921,152,4,0.208224882873503,2.63157894736842,0.00193330111164814,"LOC126268018;LOC126272290;LOC126336409;LOC126352417"
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Downregulated","Higher in gregarious/crowded reference",1921,262,0,0,0,0,""
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Upregulated","Higher in solitarious/isolated reference",10,152,0,0,0,0,""
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 33","Upregulated","Top absolute single-pair shifts",14,500,3,21.4285714285714,0.6,0.00587084148727984,"LOC126268018;LOC126278052;LOC126295405"
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 33","Downregulated","Any large single-pair shift",10,414,2,20,0.483091787439614,0.004739336492891,"LOC126272465;LOC126278199"
