"gene_id","timecourse_fatbody_gregarious_minus_solitarious","abs_timecourse_delta","tissue_matched_direction","exploratory_shift"
"LOC126284952",-0.29758401649914,0.29758401649914,"Higher in solitarious/isolated reference",FALSE
"LOC126284655",-0.024272504242977,0.024272504242977,"Higher in solitarious/isolated reference",FALSE
"LOC126285144",0.0563881307836622,0.0563881307836622,"Higher in gregarious/crowded reference",FALSE
"LOC126284396",-0.281360397042971,0.281360397042971,"Higher in solitarious/isolated reference",FALSE
"LOC126284805",0.0433904391584514,0.0433904391584514,"Higher in gregarious/crowded reference",FALSE
"LOC126284767",-0.403650528061932,0.403650528061932,"Higher in solitarious/isolated reference",FALSE
"LOC126284279",0.0823887125984797,0.0823887125984797,"Higher in gregarious/crowded reference",FALSE
"LOC126284280",0,0,"No difference in single-pair reference",FALSE
"LOC126284282",-0.23854157441214,0.23854157441214,"Higher in solitarious/isolated reference",FALSE
"LOC126284228",-0.166094115166348,0.166094115166348,"Higher in solitarious/isolated reference",FALSE
"LOC126284368",-0.444815613549332,0.444815613549332,"Higher in solitarious/isolated reference",FALSE
"LOC126284289",-0.161207728902206,0.161207728902206,"Higher in solitarious/isolated reference",FALSE
"LOC126284290",-0.0818979903421067,0.0818979903421067,"Higher in solitarious/isolated reference",FALSE
"LOC126284489",0.342909848131299,0.342909848131299,"Higher in gregarious/crowded reference",FALSE
"LOC126284676",0.17840943750822,0.17840943750822,"Higher in gregarious/crowded reference",FALSE
"LOC126284374",0.146424375582607,0.146424375582607,"Higher in gregarious/crowded reference",FALSE
"LOC126284378",0.0692724075459683,0.0692724075459683,"Higher in gregarious/crowded reference",FALSE
"LOC126284372",0.0729786454834684,0.0729786454834684,"Higher in gregarious/crowded reference",FALSE
"LOC126284375",0,0,"No difference in single-pair reference",FALSE
"LOC126284377",0,0,"No difference in single-pair reference",FALSE
"LOC126284376",0,0,"No difference in single-pair reference",FALSE
"LOC126285355",1.26255762933785,1.26255762933785,"Higher in gregarious/crowded reference",TRUE
"LOC126285356",1.24326242249936,1.24326242249936,"Higher in gregarious/crowded reference",TRUE
"LOC126285414",0.143502319799229,0.143502319799229,"Higher in gregarious/crowded reference",FALSE
"LOC126285413",0.120647905691603,0.120647905691603,"Higher in gregarious/crowded reference",FALSE
"LOC126284211",0.0871779389903828,0.0871779389903828,"Higher in gregarious/crowded reference",FALSE
"LOC126284110",-0.337652931027148,0.337652931027148,"Higher in solitarious/isolated reference",FALSE
"LOC126284613",-0.0625664531161156,0.0625664531161156,"Higher in solitarious/isolated reference",FALSE
"LOC126284614",0.0882384122092006,0.0882384122092006,"Higher in gregarious/crowded reference",FALSE
"LOC126284615",-0.208575506305301,0.208575506305301,"Higher in solitarious/isolated reference",FALSE
"LOC126284616",0.0181848903298185,0.0181848903298185,"Higher in gregarious/crowded reference",FALSE
"LOC126285146",0.530747261308789,0.530747261308789,"Higher in gregarious/crowded reference",FALSE
"LOC126284849",-0.391284555872778,0.391284555872778,"Higher in solitarious/isolated reference",FALSE
"LOC126284852",0.105188090509775,0.105188090509775,"Higher in gregarious/crowded reference",FALSE
"LOC126284850",-0.0120762727983212,0.0120762727983212,"Higher in solitarious/isolated reference",FALSE
"LOC126284853",0,0,"No difference in single-pair reference",FALSE
"LOC126284885",0,0,"No difference in single-pair reference",FALSE
"LOC126284736",-0.590632685367364,0.590632685367364,"Higher in solitarious/isolated reference",FALSE
"LOC126284734",-0.379813528128348,0.379813528128348,"Higher in solitarious/isolated reference",FALSE
"LOC126285665",0,0,"No difference in single-pair reference",FALSE
"LOC126285664",0,0,"No difference in single-pair reference",FALSE
"LOC126284739",-0.368636177758429,0.368636177758429,"Higher in solitarious/isolated reference",FALSE
"LOC126284737",-0.0864491575485165,0.0864491575485165,"Higher in solitarious/isolated reference",FALSE
"LOC126284738",0.552724682222955,0.552724682222955,"Higher in gregarious/crowded reference",FALSE
"LOC126284768",-0.27515918668175,0.27515918668175,"Higher in solitarious/isolated reference",FALSE
"LOC126284357",-0.102617570072869,0.102617570072869,"Higher in solitarious/isolated reference",FALSE
"LOC126284358",0.0413583612392472,0.0413583612392472,"Higher in gregarious/crowded reference",FALSE
"LOC126284244",0.16422376570928,0.16422376570928,"Higher in gregarious/crowded reference",FALSE
"LOC126284243",-0.14806010837987,0.14806010837987,"Higher in solitarious/isolated reference",FALSE
"LOC126284242",-0.171846994123776,0.171846994123776,"Higher in solitarious/isolated reference",FALSE
"LOC126285318",-0.295130364801711,0.295130364801711,"Higher in solitarious/isolated reference",FALSE
"LOC126285315",-0.279799072745178,0.279799072745178,"Higher in solitarious/isolated reference",FALSE
"LOC126285316",0.62248026572917,0.62248026572917,"Higher in gregarious/crowded reference",FALSE
"LOC126284773",-0.0362462373890224,0.0362462373890224,"Higher in solitarious/isolated reference",FALSE
"LOC126284775",0.146719775145694,0.146719775145694,"Higher in gregarious/crowded reference",FALSE
"LOC126284774",0,0,"No difference in single-pair reference",FALSE
"LOC126284776",-0.259534220961982,0.259534220961982,"Higher in solitarious/isolated reference",FALSE
"LOC126284777",0.433701482762777,0.433701482762777,"Higher in gregarious/crowded reference",FALSE
"LOC126284781",-0.76296676296406,0.76296676296406,"Higher in solitarious/isolated reference",FALSE
"LOC126284779",-0.0330361318750398,0.0330361318750398,"Higher in solitarious/isolated reference",FALSE
"LOC126284457",-0.30797428010689,0.30797428010689,"Higher in solitarious/isolated reference",FALSE
"LOC126284704",-0.3441632137038,0.3441632137038,"Higher in solitarious/isolated reference",FALSE
"LOC126284438",-0.210487197727756,0.210487197727756,"Higher in solitarious/isolated reference",FALSE
"LOC126284695",0.184940904659938,0.184940904659938,"Higher in gregarious/crowded reference",FALSE
"LOC126284913",0,0,"No difference in single-pair reference",FALSE
"LOC126284799",0.130817706299957,0.130817706299957,"Higher in gregarious/crowded reference",FALSE
"LOC126284491",-0.623886305931832,0.623886305931832,"Higher in solitarious/isolated reference",FALSE
"LOC126284711",-0.0847161199811062,0.0847161199811062,"Higher in solitarious/isolated reference",FALSE
"LOC126284086",-1.29482546421805,1.29482546421805,"Higher in solitarious/isolated reference",TRUE
"LOC126284087",-0.154206271373092,0.154206271373092,"Higher in solitarious/isolated reference",FALSE
"LOC126284577",0,0,"No difference in single-pair reference",FALSE
"LOC126284565",-0.376834354087372,0.376834354087372,"Higher in solitarious/isolated reference",FALSE
"LOC126284088",-1.06153651856852,1.06153651856852,"Higher in solitarious/isolated reference",TRUE
"LOC126284089",-0.330059141560205,0.330059141560205,"Higher in solitarious/isolated reference",FALSE
"LOC126284694",-0.535727750591685,0.535727750591685,"Higher in solitarious/isolated reference",FALSE
"LOC126284845",-0.217977036534978,0.217977036534978,"Higher in solitarious/isolated reference",FALSE
"LOC126284417",-0.217977036534978,0.217977036534978,"Higher in solitarious/isolated reference",FALSE
"LOC126284418",-0.0818988379378673,0.0818988379378673,"Higher in solitarious/isolated reference",FALSE
"LOC126284420",0.0307346332868459,0.0307346332868459,"Higher in gregarious/crowded reference",FALSE
"LOC126284425",-0.29261748959479,0.29261748959479,"Higher in solitarious/isolated reference",FALSE
"LOC126284426",-0.154206271373092,0.154206271373092,"Higher in solitarious/isolated reference",FALSE
"LOC126284421",-0.460876847860161,0.460876847860161,"Higher in solitarious/isolated reference",FALSE
"LOC126285149",0.341473305858806,0.341473305858806,"Higher in gregarious/crowded reference",FALSE
"LOC126284428",0.0555672718256277,0.0555672718256277,"Higher in gregarious/crowded reference",FALSE
"LOC126284905",0.487322631576192,0.487322631576192,"Higher in gregarious/crowded reference",FALSE
"LOC126284955",-0.213345507403843,0.213345507403843,"Higher in solitarious/isolated reference",FALSE
"LOC126285153",0.191197901067059,0.191197901067059,"Higher in gregarious/crowded reference",FALSE
"LOC126285394",-0.177156573806934,0.177156573806934,"Higher in solitarious/isolated reference",FALSE
"LOC126285154",0.345404172440151,0.345404172440151,"Higher in gregarious/crowded reference",FALSE
"LOC126285393",0,0,"No difference in single-pair reference",FALSE
"LOC126285395",0,0,"No difference in single-pair reference",FALSE
"LOC126285392",0.130817706299957,0.130817706299957,"Higher in gregarious/crowded reference",FALSE
"LOC126284161",-0.307143895386497,0.307143895386497,"Higher in solitarious/isolated reference",FALSE
"LOC126284505",0.116456715595239,0.116456715595239,"Higher in gregarious/crowded reference",FALSE
"LOC126284510",0,0,"No difference in single-pair reference",FALSE
"LOC126284508",-0.0803716169642259,0.0803716169642259,"Higher in solitarious/isolated reference",FALSE
"LOC126284509",0.335764841360097,0.335764841360097,"Higher in gregarious/crowded reference",FALSE
"LOC126285155",0.453616734505349,0.453616734505349,"Higher in gregarious/crowded reference",FALSE
"LOC126285156",0.200584821151626,0.200584821151626,"Higher in gregarious/crowded reference",FALSE
"LOC126284382",1.80905576117359,1.80905576117359,"Higher in gregarious/crowded reference",TRUE
"LOC126285161",0,0,"No difference in single-pair reference",FALSE
"LOC126284235",0.101913672925845,0.101913672925845,"Higher in gregarious/crowded reference",FALSE
"LOC126284240",-0.154206271373092,0.154206271373092,"Higher in solitarious/isolated reference",FALSE
"LOC126284277",0.0433904391584514,0.0433904391584514,"Higher in gregarious/crowded reference",FALSE
"LOC126284317",-0.0831631535238753,0.0831631535238753,"Higher in solitarious/isolated reference",FALSE
"LOC126284230",-0.311207809481761,0.311207809481761,"Higher in solitarious/isolated reference",FALSE
"LOC126285163",0.130817706299957,0.130817706299957,"Higher in gregarious/crowded reference",FALSE
"LOC126284667",-1.13083222894633,1.13083222894633,"Higher in solitarious/isolated reference",TRUE
"LOC126284085",-0.210499601910184,0.210499601910184,"Higher in solitarious/isolated reference",FALSE
"LOC126284083",0.124439714164395,0.124439714164395,"Higher in gregarious/crowded reference",FALSE
"LOC126284090",-0.0968955194854155,0.0968955194854155,"Higher in solitarious/isolated reference",FALSE
"LOC126284471",0.269624202867304,0.269624202867304,"Higher in gregarious/crowded reference",FALSE
"LOC126285164",0.0682547230531396,0.0682547230531396,"Higher in gregarious/crowded reference",FALSE
