"gene_id","n_phase_tissues","phase_tissues","phase_directions","phase_mean_log2FC","phase_max_abs_log2FC","head_phase_log2FC","thorax_phase_log2FC","head_phase_padj","thorax_phase_padj","phase_consensus","phase_class"
"LOC126278377",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278351",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278353",1,"Thorax","Solitarious-up",-1.20135674906803,1.20135674906803,NA,-1.20135674906803,NA,3.77973927391209e-12,"Solitarious-up","Thorax phase DEG only"
"LOC126278910",1,"Head","Gregarious-up",1.18525916274794,1.18525916274794,1.18525916274794,NA,0.00265408354549522,NA,"Gregarious-up","Head phase DEG only"
"LOC126278119",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278298",1,"Thorax","Solitarious-up",-1.52920688302425,1.52920688302425,NA,-1.52920688302425,NA,1.99953478311802e-16,"Solitarious-up","Thorax phase DEG only"
"LOC126278420",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278587",1,"Thorax","Gregarious-up",1.34872934898964,1.34872934898964,NA,1.34872934898964,NA,0.00174466122010264,"Gregarious-up","Thorax phase DEG only"
"LOC126278308",1,"Thorax","Gregarious-up",1.66558449318512,1.66558449318512,NA,1.66558449318512,NA,5.05925693207589e-13,"Gregarious-up","Thorax phase DEG only"
"LOC126278316",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278412",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278654",1,"Thorax","Gregarious-up",1.42857010995609,1.42857010995609,NA,1.42857010995609,NA,2.59781674364755e-08,"Gregarious-up","Thorax phase DEG only"
"LOC126278083",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126279015",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278243",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278246",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278662",1,"Head","Solitarious-up",-1.01180437948868,1.01180437948868,-1.01180437948868,NA,0.000348371842033865,NA,"Solitarious-up","Head phase DEG only"
"LOC126278697",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278485",2,"Head + Thorax","Solitarious-up",-2.61110903340902,2.76200928087785,-2.46020878594018,-2.76200928087785,0.00303034245446553,0.000138399167360275,"Solitarious-up","Shared head/thorax phase DEG"
"LOC126278507",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278506",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278079",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126277989",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126277990",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126279080",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126279071",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126279073",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126279082",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126277922",1,"Thorax","Solitarious-up",-1.28915973434782,1.28915973434782,NA,-1.28915973434782,NA,8.30400491257166e-13,"Solitarious-up","Thorax phase DEG only"
"LOC126278969",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126279025",2,"Head + Thorax","Solitarious-up",-1.07203864533697,1.10927989140848,-1.10927989140848,-1.03479739926545,4.03434210069575e-08,2.3237744731715e-07,"Solitarious-up","Shared head/thorax phase DEG"
"LOC126279024",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126279029",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126279027",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126279023",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126279030",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278674",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278051",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278518",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126277915",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278923",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278924",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278000",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278001",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278002",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126277953",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126277954",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278523",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278526",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278524",1,"Thorax","Solitarious-up",-1.25862688763202,1.25862688763202,NA,-1.25862688763202,NA,1.23233936331782e-11,"Solitarious-up","Thorax phase DEG only"
"LOC126278527",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278594",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278596",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278325",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
