"heatmap_row_order","gene_id","GFF_Description","gene_biotype","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
918,"LOC126364588","tyrosine-protein phosphatase non-receptor type 13-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.17539864711312,0.00638639430927773,2.06805592619085,"1023","Lower than gene mean"
919,"LOC126298961","toll-like receptor Tollo","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.50999418853272,0.00139953387631678,2.18743882175118,"1029","Lower than gene mean"
920,"LOC126335346","structural maintenance of chromosomes protein 4-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.2222672684345,2.1386816133765e-13,2.04303418878926,"1029","Lower than gene mean"
921,"LOC126284766","roundabout homolog 2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.72009147258905,5.69159745985144e-05,2.22829468102361,"1029","Lower than gene mean"
922,"LOC126273369","BRD4-interacting chromatin-remodeling complex-associated protein-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.97225952784347,0.00875855125480253,1.89542897605849,"1058","Lower than gene mean"
923,"LOC126335680","uncharacterized LOC126335680","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.22090343917784,0.0340735295550409,2.54623032675409,"1029","Lower than gene mean"
924,"LOC126271944","SLIT-ROBO Rho GTPase-activating protein 1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.06042639508281,0.0014262045100096,2.27755970580115,"1054","Lower than gene mean"
925,"LOC126281718","uncharacterized LOC126281718","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.19949561289764,0.0394954081917596,2.33849519073578,"1057","Lower than gene mean"
926,"LOC126354118","uncharacterized LOC126354118","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.13043373217396,0.0193308209418707,2.22267936601457,"1054","Lower than gene mean"
927,"LOC126295214","nostrin","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.10708193238431,0.0117373850390354,1.92096550581735,"1029","Lower than gene mean"
928,"LOC126273256","zinc finger protein Gfi-1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.53778549284103,0.000103358994595217,2.10474978856551,"1029","Lower than gene mean"
929,"LOC126349289","protein rhomboid-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.4223211478337,0.000528090472425984,2.1047806903238,"1027","Lower than gene mean"
930,"LOC126298069","protein eva-1","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_diet50; infection_diet83","Control diet 50; Control diet 83",1.16857453929454,0.0055382459784974,2.34306320992671,"1029","Lower than gene mean"
931,"LOC126327557","nephrin","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.54263986425413,4.33852330866868e-05,2.26928493159783,"1057","Lower than gene mean"
932,"LOC126284774","uncharacterized LOC126284774","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.05262523196298,0.0321943864686396,1.90784849557634,"1057","Lower than gene mean"
933,"LOC126268712","protein scabrous","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",2.01587474888157,2.57348542555426e-07,2.52514151203842,"1029","Lower than gene mean"
