sample_id	source	treatment	diet	abundance_format	abundance_file	kraken_report
1044	all_trimmed	Infected	83	bracken	data/derived/taxonomy/sample1044/all_trimmed/1044.bracken.family.tsv	data/derived/taxonomy/sample1044/all_trimmed/1044.kraken2.report
1044	competitive_unmapped	Infected	83	bracken	data/derived/taxonomy/sample1044/competitive_unmapped/1044.bracken.family.tsv	data/derived/taxonomy/sample1044/competitive_unmapped/1044.kraken2.report
1044	host_unmapped	Infected	83	bracken	data/derived/taxonomy/sample1044/host_unmapped/1044.bracken.family.tsv	data/derived/taxonomy/sample1044/host_unmapped/1044.kraken2.report
1045	all_trimmed	Infected	33	bracken	data/derived/taxonomy/main44/all_trimmed/1045.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1045.kraken2.report
1045	competitive_unmapped	Infected	33	bracken	data/derived/taxonomy/main44/competitive_unmapped/1045.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1045.kraken2.report
1045	host_unmapped	Infected	33	bracken	data/derived/taxonomy/main44/host_unmapped/1045.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1045.kraken2.report
1046	all_trimmed	Infected	50	bracken	data/derived/taxonomy/main44/all_trimmed/1046.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1046.kraken2.report
1046	competitive_unmapped	Infected	50	bracken	data/derived/taxonomy/main44/competitive_unmapped/1046.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1046.kraken2.report
1046	host_unmapped	Infected	50	bracken	data/derived/taxonomy/main44/host_unmapped/1046.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1046.kraken2.report
1049	all_trimmed	Infected	50	bracken	data/derived/taxonomy/main44/all_trimmed/1049.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1049.kraken2.report
1049	competitive_unmapped	Infected	50	bracken	data/derived/taxonomy/main44/competitive_unmapped/1049.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1049.kraken2.report
1049	host_unmapped	Infected	50	bracken	data/derived/taxonomy/main44/host_unmapped/1049.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1049.kraken2.report
1050	all_trimmed	Infected	83	bracken	data/derived/taxonomy/main44/all_trimmed/1050.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1050.kraken2.report
1050	competitive_unmapped	Infected	83	bracken	data/derived/taxonomy/main44/competitive_unmapped/1050.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1050.kraken2.report
1050	host_unmapped	Infected	83	bracken	data/derived/taxonomy/main44/host_unmapped/1050.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1050.kraken2.report
1051	all_trimmed	Infected	33	bracken	data/derived/taxonomy/main44/all_trimmed/1051.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1051.kraken2.report
1051	competitive_unmapped	Infected	33	bracken	data/derived/taxonomy/main44/competitive_unmapped/1051.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1051.kraken2.report
1051	host_unmapped	Infected	33	bracken	data/derived/taxonomy/main44/host_unmapped/1051.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1051.kraken2.report
1052	all_trimmed	Infected	50	bracken	data/derived/taxonomy/main44/all_trimmed/1052.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1052.kraken2.report
1052	competitive_unmapped	Infected	50	bracken	data/derived/taxonomy/main44/competitive_unmapped/1052.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1052.kraken2.report
1052	host_unmapped	Infected	50	bracken	data/derived/taxonomy/main44/host_unmapped/1052.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1052.kraken2.report
1054	all_trimmed	Infected	33	bracken	data/derived/taxonomy/main44/all_trimmed/1054.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1054.kraken2.report
1054	competitive_unmapped	Infected	33	bracken	data/derived/taxonomy/main44/competitive_unmapped/1054.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1054.kraken2.report
1054	host_unmapped	Infected	33	bracken	data/derived/taxonomy/main44/host_unmapped/1054.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1054.kraken2.report
1055	all_trimmed	Infected	50	bracken	data/derived/taxonomy/main44/all_trimmed/1055.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1055.kraken2.report
1055	competitive_unmapped	Infected	50	bracken	data/derived/taxonomy/main44/competitive_unmapped/1055.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1055.kraken2.report
1055	host_unmapped	Infected	50	bracken	data/derived/taxonomy/main44/host_unmapped/1055.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1055.kraken2.report
1057	all_trimmed	Infected	33	bracken	data/derived/taxonomy/main44/all_trimmed/1057.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1057.kraken2.report
1057	competitive_unmapped	Infected	33	bracken	data/derived/taxonomy/main44/competitive_unmapped/1057.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1057.kraken2.report
1057	host_unmapped	Infected	33	bracken	data/derived/taxonomy/main44/host_unmapped/1057.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1057.kraken2.report
1058	all_trimmed	Infected	50	bracken	data/derived/taxonomy/main44/all_trimmed/1058.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1058.kraken2.report
1058	competitive_unmapped	Infected	50	bracken	data/derived/taxonomy/main44/competitive_unmapped/1058.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1058.kraken2.report
1058	host_unmapped	Infected	50	bracken	data/derived/taxonomy/main44/host_unmapped/1058.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1058.kraken2.report
