"enrichment_context","database","family","comparison","direction","plot_label","DEG_set","term_id","term_name","term_description","ontology_or_theme","pathway_scope","GeneRatio","BgRatio","FoldEnrichment","p.adjust","qvalue","Count","n_listed_genes","DEG_gene_IDs","DEG_gene_names"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0043065","positive regulation of apoptotic process","positive regulation of apoptotic process","BP",NA,"15/375","80/5278",2.639,0.0173579589550944,0.0173579589550944,15,15,"LOC126267226; LOC126278128; LOC126281663; LOC126291991; LOC126292145; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295133; LOC126295191; LOC126295425; LOC126326589; LOC126354602","lok; unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0003333","amino acid transmembrane transport","amino acid transmembrane transport","BP",NA,"10/375","41/5278",3.43284552845528,0.018263648681006,0.018263648681006,10,10,"LOC126268194; LOC126272718; LOC126278890; LOC126298679; LOC126337983; LOC126353931; LOC126354788; LOC126355939; LOC126355940; LOC126356065","unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0044283","small molecule biosynthetic process","small molecule biosynthetic process","BP",NA,"20/375","126/5278",2.23407407407407,0.0200431957295604,0.0200431957295604,20,20,"LOC126266959; LOC126276148; LOC126278180; LOC126281861; LOC126281958; LOC126284002; LOC126284573; LOC126292259; LOC126293368; LOC126298001; LOC126298220; LOC126298530; LOC126299150; LOC126299253; LOC126320178; LOC126333165; LOC126336244; LOC126354995; LOC126356204; LOC126365957","Cyp314a1; CYP315A1; Hex-A; ninaB; unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0080134","regulation of response to stress","regulation of response to stress","BP",NA,"27/375","194/5278",1.95884536082474,0.0200431957295604,0.0200431957295604,27,27,"LOC126267038; LOC126267163; LOC126267226; LOC126267343; LOC126278128; LOC126278232; LOC126278893; LOC126281663; LOC126282030; LOC126285462; LOC126291991; LOC126292145; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295133; LOC126295191; LOC126295425; LOC126298648; LOC126326589; LOC126335544; LOC126335545; LOC126335547; LOC126352738; LOC126354602","lok; Rel; spz; unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0031461","cullin-RING ubiquitin ligase complex","cullin-RING ubiquitin ligase complex","CC",NA,"18/375","108/5278",2.34577777777778,0.0205172524130929,0.0205172524130929,18,18,"LOC126278128; LOC126279111; LOC126281663; LOC126291884; LOC126291991; LOC126292145; LOC126293188; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295133; LOC126295191; LOC126295425; LOC126297745; LOC126354672; LOC126356122","Skp2; unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0006865","amino acid transport","amino acid transport","BP",NA,"10/375","42/5278",3.35111111111111,0.0208386115226515,0.0208386115226515,10,10,"LOC126268194; LOC126272718; LOC126278890; LOC126298679; LOC126337983; LOC126353931; LOC126354788; LOC126355939; LOC126355940; LOC126356065","unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0042133","GO:0042133","GO:0042133",NA,NA,"6/375","16/5278",5.278,0.0208386115226515,0.0208386115226515,6,6,"LOC126271955; LOC126333165; LOC126339265; LOC126354995; LOC126356204; LOC126356585","Ddc; Nos; unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0071310","GO:0071310","GO:0071310",NA,NA,"26/375","185/5278",1.97806126126126,0.0208386115226515,0.0208386115226515,26,26,"LOC126266672; LOC126267038; LOC126272746; LOC126276001; LOC126278128; LOC126278442; LOC126281663; LOC126282035; LOC126291991; LOC126292145; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295133; LOC126295191; LOC126295425; LOC126297882; LOC126299541; LOC126334929; LOC126334930; LOC126354602; LOC126355051; LOC126355485; LOC126365747","4EBP; Akhr; DOME; dpp; Hr39; sog; unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0042803","protein homodimerization activity","protein homodimerization activity","MF",NA,"19/375","118/5278",2.26625988700565,0.0214966159802317,0.0214966159802317,19,19,"LOC126273192; LOC126278032; LOC126278128; LOC126278442; LOC126281663; LOC126291991; LOC126292020; LOC126292145; LOC126293672; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295133; LOC126295191; LOC126295425; LOC126298648; LOC126298660","CREG; dpp; spz; Syt1; unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0006955","immune response","immune response","BP",NA,"19/375","119/5278",2.24721568627451,0.0236619911963423,0.0236619911963423,19,19,"LOC126266672; LOC126267038; LOC126267163; LOC126267215; LOC126267216; LOC126267343; LOC126267652; LOC126268068; LOC126282030; LOC126282035; LOC126284030; LOC126285462; LOC126293269; LOC126298648; LOC126299506; LOC126334779; LOC126334929; LOC126352738; LOC126365918","4EBP; DOME; mus209; PGRPLA; Rel; spz; unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:1901575","GO:1901575","GO:1901575",NA,NA,"50/375","448/5278",1.57083333333333,0.0250219777054121,0.0250219777054121,50,50,"LOC126266748; LOC126267215; LOC126267216; LOC126267343; LOC126267477; LOC126267652; LOC126268068; LOC126269625; LOC126269996; LOC126270657; LOC126272746; LOC126278128; LOC126278279; LOC126279111; LOC126280991; LOC126281663; LOC126282517; LOC126284573; LOC126285462; LOC126291884; LOC126291991; LOC126292145; LOC126293188; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295101; LOC126295133; LOC126295191; LOC126295425; LOC126297745; LOC126298861; LOC126333165; LOC126336244; LOC126346021; LOC126346362; LOC126346580; LOC126346606; LOC126346622; LOC126353887; LOC126354672; LOC126354914; LOC126354995; LOC126355485; LOC126356122; LOC126365747; LOC126365918; LOC126365957","Akhr; Cda4; Cyp18a1; Hex-A; PGRPLA; Skp2; unannotated; v"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0008589","regulation of smoothened signaling pathway","regulation of smoothened signaling pathway","BP",NA,"13/375","67/5278",2.73090547263682,0.0259269745649094,0.0259269745649094,13,13,"LOC126271928; LOC126278128; LOC126281663; LOC126291991; LOC126292145; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295133; LOC126295191; LOC126295425","shf; unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0007365","periodic partitioning","periodic partitioning","BP",NA,"12/375","59/5278",2.86264406779661,0.026278946150177,0.026278946150177,12,12,"LOC126278128; LOC126281663; LOC126291991; LOC126292145; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295133; LOC126295191; LOC126295425","unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0004497","monooxygenase activity","monooxygenase activity","MF",NA,"6/375","17/5278",4.96752941176471,0.0274444302028726,0.0274444302028726,6,6,"LOC126270657; LOC126299150; LOC126320178; LOC126333165; LOC126339265; LOC126365745","Cyp18a1; Cyp314a1; CYP315A1; Nos; Th; unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0006030","chitin metabolic process","chitin metabolic process","BP",NA,"6/375","17/5278",4.96752941176471,0.0274444302028726,0.0274444302028726,6,6,"LOC126278279; LOC126299078; LOC126346580; LOC126346606; LOC126346622; LOC126354720","Cda4; mmy; unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0031625","ubiquitin protein ligase binding","ubiquitin protein ligase binding","MF",NA,"14/375","77/5278",2.5590303030303,0.030877390865619,0.030877390865619,14,14,"LOC126278128; LOC126281663; LOC126291991; LOC126292145; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295133; LOC126295191; LOC126295425; LOC126297745; LOC126354914","unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0016831","carboxy-lyase activity","carboxy-lyase activity","MF",NA,"5/375","12/5278",5.86444444444444,0.0316426256419915,0.0316426256419915,5,5,"LOC126268126; LOC126271955; LOC126335036; LOC126353933; LOC126354995","Ddc; SamDC; Tdc1; unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0031647","regulation of protein stability","regulation of protein stability","BP",NA,"14/375","78/5278",2.52622222222222,0.0337571081144991,0.0337571081144991,14,14,"LOC126271928; LOC126278128; LOC126279111; LOC126281663; LOC126291991; LOC126292145; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295133; LOC126295191; LOC126295425","shf; Skp2; unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0042067","establishment of ommatidial planar polarity","establishment of ommatidial planar polarity","BP",NA,"14/375","78/5278",2.52622222222222,0.0337571081144991,0.0337571081144991,14,14,"LOC126268712; LOC126278128; LOC126281598; LOC126281663; LOC126291991; LOC126292145; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295133; LOC126295191; LOC126295425","aop; sca; unannotated"
