"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database"
"ko00280","ko00280","8/252","42/4337",0.19047619047619,3.27815570672713,3.68447268855145,0.00244064731993392,0.0322368833507938,0.0322368833507938,"LOC126350022/LOC126354727/LOC126336244/LOC126335256/LOC126299549/LOC126266840/LOC126336251/LOC126281446",8,"all_infection_within_diet_results__DOWN","KEGG_pathway"
"ko00480","ko00480","12/252","86/4337",0.13953488372093,2.40143964562569,3.26007017814075,0.0036930442571135,0.0463054898769449,0.0463054898769449,"LOC126331335/LOC126278485/LOC126336715/LOC126278697/LOC126277880/LOC126297494/LOC126336695/LOC126335505/LOC126336692/LOC126336724/LOC126281404/LOC126284808",12,"all_infection_within_diet_results__DOWN","KEGG_pathway"
"ko00710","ko00710","6/252","27/4337",0.222222222222222,3.82451499118166,3.65625104731505,0.00381261593816249,0.0463054898769449,0.0463054898769449,"LOC126272037/LOC126336122/LOC126284898/LOC126281958/LOC126336866/LOC126299542",6,"all_infection_within_diet_results__DOWN","KEGG_pathway"
"ko00310","ko00310","9/252","55/4337",0.163636363636364,2.81623376623377,3.36650012961331,0.00394400071507102,0.0463054898769449,0.0463054898769449,"LOC126350022/LOC126349195/LOC126336244/LOC126298275/LOC126266840/LOC126297759/LOC126272262/LOC126336251/LOC126281446",9,"all_infection_within_diet_results__DOWN","KEGG_pathway"
"ko00983","ko00983","14/252","110/4337",0.127272727272727,2.19040404040404,3.14067854443614,0.00419573859814944,0.0475017548433347,0.0475017548433347,"LOC126331335/LOC126272928/LOC126336715/LOC126341237/LOC126336625/LOC126277880/LOC126292317/LOC126272831/LOC126284573/LOC126266939/LOC126281562/LOC126336724/LOC126272926/LOC126281404",14,"all_infection_within_diet_results__DOWN","KEGG_pathway"
"ko00010","ko00010","8/252","46/4337",0.173913043478261,2.99309868875086,3.37502767776194,0.00441174144399848,0.0482248978533627,0.0482248978533627,"LOC126297871/LOC126350022/LOC126284898/LOC126281958/LOC126266840/LOC126282157/LOC126281954/LOC126281446",8,"all_infection_within_diet_results__DOWN","KEGG_pathway"
"ko00630","ko00630","6/252","28/4337",0.214285714285714,3.68792517006803,3.54369894630997,0.00462105811063528,0.0488291807023795,0.0488291807023795,"LOC126267535/LOC126293404/LOC126323251/LOC126365941/LOC126336244/LOC126325353",6,"all_infection_within_diet_results__DOWN","KEGG_pathway"
"ko00071","ko00071","7/252","41/4337",0.170731707317073,2.93834688346883,3.09699261002432,0.00843794990665911,0.0862848425939012,0.0862848425939012,"LOC126350022/LOC126336244/LOC126266840/LOC126297759/LOC126281954/LOC126336251/LOC126281446",7,"all_infection_within_diet_results__DOWN","KEGG_pathway"
"ko00830","ko00830","8/252","52/4337",0.153846153846154,2.64774114774115,2.9686850303515,0.00941818003464001,0.0932988459681526,0.0932988459681526,"LOC126272928/LOC126341237/LOC126336625/LOC126272831/LOC126266939/LOC126281562/LOC126272926/LOC126281954",8,"all_infection_within_diet_results__DOWN","KEGG_pathway"
"ko04624","ko04624","13/233","58/4337",0.224137931034483,4.17204380642297,5.7942996540759,8.06425884256563e-06,0.00255637005309331,0.00255637005309331,"LOC126355041/LOC126282030/LOC126282207/LOC126267545/LOC126267442/LOC126266641/LOC126355748/LOC126293578/LOC126298648/LOC126355037/LOC126293579/LOC126336325/LOC126281928",13,"all_infection_within_diet_results__UP","KEGG_pathway"
